UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q6NYC1	Q9H871	23210	64795	JMJD6	RMND5A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VD28;Dr:Q6PFM0;Mm:Q9ERI5;Rn:Q6AYK2	Ce:U4PBL8	Ce:Q22302;Dm:Q9W2N5;Mm:Q80YQ8;Rn:D3ZWU9	-
Q6NYC1	P37275	23210	6935	JMJD6	ZEB1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VD28;Dr:Q6PFM0;Mm:Q9ERI5;Rn:Q6AYK2	Ce:U4PBL8	Dr:F1QPM7;Mm:Q64318;Rn:F8WG35	-
Q6NYC1	Q8NET4	23210	57529	JMJD6	RTL9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VD28;Dr:Q6PFM0;Mm:Q9ERI5;Rn:Q6AYK2	Ce:U4PBL8	Mm:Q32KG4;Rn:M0R6H3;Sc:P47179	-
Q6NYC1	O14735	23210	10423	JMJD6	CDIPT	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VD28;Dr:Q6PFM0;Mm:Q9ERI5;Rn:Q6AYK2	Ce:U4PBL8	Ce:Q9U2G1;Dm:Q8SX37;Dr:Q6DRN8;Mm:Q8VDP6;Rn:P70500;Sc:P06197	-
Q6NYC1	Q9UPU7	23210	23102	JMJD6	TBC1D2B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VD28;Dr:Q6PFM0;Mm:Q9ERI5;Rn:Q6AYK2	Ce:U4PBL8	Dr:E7FB23;Mm:Q3U0J8;Rn:D3ZAF7	-
Q6NYC1	Q9NRG7	23210	56948	JMJD6	SDR39U1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VD28;Dr:Q6PFM0;Mm:Q9ERI5;Rn:Q6AYK2	Ce:U4PBL8	Dm:Q8T0N5;Mm:Q5M8N4;Rn:D3ZYY0	-
Q6NYC1	P86452	23210	100381270	JMJD6	ZBED6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VD28;Dr:Q6PFM0;Mm:Q9ERI5;Rn:Q6AYK2	Ce:U4PBL8	Dm:Q9VM61;Mm:D2EAC2	-
Q6NYC1	P21554	23210	1268	JMJD6	CNR1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VD28;Dr:Q6PFM0;Mm:Q9ERI5;Rn:Q6AYK2	Ce:U4PBL8	Mm:P47746	Dr:Q7T3Q3;Rn:P20272
Q6NYC1	Q9ULC8	23210	29801	JMJD6	ZDHHC8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VD28;Dr:Q6PFM0;Mm:Q9ERI5;Rn:Q6AYK2	Ce:U4PBL8	Dr:A2CEX1;Mm:Q5Y5T5;Rn:Q2THW6	-
Q6NYC1	Q96T21	23210	79048	JMJD6	SECISBP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VD28;Dr:Q6PFM0;Mm:Q9ERI5;Rn:Q6AYK2	Ce:U4PBL8	Mm:Q3U1C4;Rn:F1LPQ8	-
