UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q7Z589	Q9NUQ2	56946	55326	EMSY	AGPAT5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BMB0;Rn:D4AC97	Dr:F1Q8W2	Ce:Q95R12;Dr:F1QDN6;Mm:Q9D1E8;Rn:G3V965;Sc:P38226	-
Q7Z589	Q9HD40	56946	51091	EMSY	SEPSECS	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BMB0;Rn:D4AC97	Dr:F1Q8W2	Ce:Q18953;Mm:Q6P6M7;Rn:B2GV97	Dm:A0A0C4DHG1;Dr:F1Q668
Q7Z589	Q9BYW1	56946	66035	EMSY	SLC2A11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BMB0;Rn:D4AC97	Dr:F1Q8W2	-	Dr:E7FEA2
Q7Z589	O15431	56946	1317	EMSY	SLC31A1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BMB0;Rn:D4AC97	Dr:F1Q8W2	Ce:D6RYD3;Dm:M9NE97;Dr:F1QKH1;Mm:Q8K211;Rn:Q9JK41	-
Q7Z589	Q07666	56946	10657	EMSY	KHDRBS1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BMB0;Rn:D4AC97	Dr:F1Q8W2	Dr:Q6NW62;Mm:Q60749;Rn:Q91V33	-
Q7Z589	Q8NBI6	56946	152002	EMSY	XXYLT1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BMB0;Rn:D4AC97	Dr:F1Q8W2	Mm:Q3U4G3;Rn:D4ADL7	Dr:E7F9V4
Q7Z589	P53365	56946	23647	EMSY	ARFIP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BMB0;Rn:D4AC97	Dr:F1Q8W2	Dm:Q9VGQ8;Dr:Q567G5;Mm:Q8K221;Rn:Q6AY65	Dr:F1QJ24
Q7Z589	P17031	56946	7574	EMSY	ZNF26	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BMB0;Rn:D4AC97	Dr:F1Q8W2	-	-
Q7Z589	Q8TC20	56946	285782	EMSY	CAGE1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BMB0;Rn:D4AC97	Dr:F1Q8W2	Mm:Q5IR70;Rn:Q66HB6	-
Q7Z589	Q9Y2D2	56946	23443	EMSY	SLC35A3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BMB0;Rn:D4AC97	Dr:F1Q8W2	-	-
Q7Z589	Q9GZU0	56946	81688	EMSY	C6orf62	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BMB0;Rn:D4AC97	Dr:F1Q8W2	Dr:Q1LU97;Mm:Q99LU8	Rn:Q7TP28
Q7Z589	P55899	56946	2217	EMSY	FCGRT	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BMB0;Rn:D4AC97	Dr:F1Q8W2	Rn:P13599	Mm:Q6PKB0
Q7Z589	Q9BTE1	56946	84516	EMSY	DCTN5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BMB0;Rn:D4AC97	Dr:F1Q8W2	Dm:Q9VJQ6;Dr:F1QSK5;Mm:Q9QZB9;Rn:G3V8C0	Ce:Q9N4I1
Q7Z589	Q6UW68	56946	374882	EMSY	TMEM205	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BMB0;Rn:D4AC97	Dr:F1Q8W2	Dr:A1L2F6;Mm:Q91XE8;Rn:D3ZJZ0	Dm:M9PHP2
Q7Z589	Q9Y5V0	56946	51123	EMSY	ZNF706	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BMB0;Rn:D4AC97	Dr:F1Q8W2	Ce:G5EDA6;Ce:G4S035;Dm:Q9VUU7;Dm:Q9VUU8;Dr:Q6TGY0;Dr:Q1LWW6;Mm:Q9D115;Rn:A0A0G2K1A1	-
Q7Z589	Q99661	56946	11004	EMSY	KIF2C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BMB0;Rn:D4AC97	Dr:F1Q8W2	Dr:A9JRA8;Mm:Q922S8;Rn:D3ZQG8	-
Q7Z589	O75439	56946	9512	EMSY	PMPCB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BMB0;Rn:D4AC97	Dr:F1Q8W2	Ce:Q23295;Dm:Q9VFF0;Dr:Q1L8E2;Mm:Q9CXT8;Rn:Q03346	-
