UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9NP66	Q5VY09	10363	51278	HMG20A	IER5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Dr:Q90X37;Mm:O89113	-
Q9NP66	Q8WWB7	10363	112770	HMG20A	GLMP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Mm:Q9JHJ3;Rn:Q68FV6	Dr:Q66HW4
Q9NP66	P46939	10363	7402	HMG20A	UTRN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Mm:E9Q6R7;Rn:A0A0G2JW60	-
Q9NP66	O75962	10363	7204	HMG20A	TRIO	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Mm:Q0KL02	Rn:A0A1P0PBZ6
Q9NP66	Q9BWE0	10363	29803	HMG20A	REPIN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	-	-
Q9NP66	Q8WXE0	10363	57513	HMG20A	CASKIN2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	-	-
Q9NP66	Q01804	10363	54726	HMG20A	OTUD4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Mm:B2RRE7;Rn:F1M7Q7	-
Q9NP66	P13804	10363	2108	HMG20A	ETFA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Ce:Q93615;Dm:Q7KN94;Mm:Q99LC5;Rn:P13803;Sc:Q12480	-
Q9NP66	Q15404	10363	6251	HMG20A	RSU1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Ce:Q09497;Dm:Q9V428;Mm:Q9D031;Rn:D4A8F2	-
Q9NP66	O60383	10363	2661	HMG20A	GDF9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Dr:Q32PR5;Mm:Q07105	Rn:Q9QYW4
Q9NP66	Q96HQ2	10363	91368	HMG20A	CDKN2AIPNL	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Mm:Q9D211;Rn:Q5RK03	Dr:Q5XJM4
Q9NP66	Q9UKX7	10363	10762	HMG20A	NUP50	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Dm:Q7K0D8;Dr:F1R0E4;Mm:Q9JIH2;Rn:G3V7R1	-
Q9NP66	Q6IPW1	10363	54494	HMG20A	C11orf71	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Mm:Q91VN2;Rn:B0BNK2	-
Q9NP66	Q2M3V2	10363	-	HMG20A	SOWAHA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	-	-
Q9NP66	P31483	10363	7072	HMG20A	TIA1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Mm:P52912;Rn:Q5PQR7	Dr:Q7ZVY0
Q9NP66	Q8IVT5	10363	8844	HMG20A	KSR1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	-	-
Q9NP66	Q92536	10363	9057	HMG20A	SLC7A6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Mm:Q8BGK6	Rn:D3ZMM8
Q9NP66	Q05519	10363	9295	HMG20A	SRSF11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	-	-
Q9NP66	Q96MR6	10363	149465	HMG20A	CFAP57	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Dm:Q9W235;Mm:Q9D180	Dr:E7FF14
Q9NP66	Q9Y535	10363	171568	HMG20A	POLR3H	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Ce:Q23645;Dm:Q9VTL6;Dr:A0A0R4IQ64;Mm:Q9D2C6;Rn:B2RZB0;Sc:P35718	-
Q9NP66	Q8NBI2	10363	220002	HMG20A	CYB561A3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Dr:A3KPR5;Mm:Q6P1H1	Dr:E9QC26;Rn:Q5U2W7
Q9NP66	A6NC05	10363	401207	HMG20A	C5orf63	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Dr:E9QBC6;Mm:Q9CWB7;Rn:G3V7R5	-
Q9NP66	Q6UX65	10363	128338	HMG20A	DRAM2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Mm:Q9CR48;Rn:Q5BK09	Dr:F1R7U0
Q9NP66	P07858	10363	1508	HMG20A	CTSB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Ce:O16288;Ce:P43508;Ce:P25807;Ce:Q20950;Ce:P43507;Ce:P43510;Dm:Q9VY87;Dr:Q6PH75;Mm:P10605;Rn:Q6IN22	-
Q9NP66	Q8TEA1	10363	221078	HMG20A	NSUN6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Mm:Q7TS68;Rn:B1WC69	Dm:Q9VNQ1;Dr:A0A0R4IAT4
Q9NP66	P19438	10363	7132	HMG20A	TNFRSF1A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Dr:F1QQS0;Mm:P25118;Rn:A0A0G2JSU9	-
Q9NP66	P55157	10363	4547	HMG20A	MTTP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Dm:Q9VIH3;Dr:A0A0R4IVV0;Mm:O08601;Rn:D4A1W8	-
Q9NP66	Q9BSB4	10363	60673	HMG20A	ATG101	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	Ce:Q95XH2;Dm:Q9VWQ1;Mm:Q9D8Z6;Rn:Q6AY69	-
Q9NP66	Q5T9A4	10363	83858	HMG20A	ATAD3B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9XVG8;Dr:A3KNQ1;Mm:Q9DC33;Rn:D3Z937	-	-	-
