UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9NQX6	Q9NWT8	55422	54998	ZNF331	AURKAIP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Dr:H0WEW6	Mm:Q9DCJ7	-
Q9NQX6	P68363	55422	10376	ZNF331	TUBA1B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Dr:H0WEW6	-	-
Q9NQX6	Q9BSH4	55422	51204	ZNF331	TACO1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Dr:H0WEW6	Ce:Q965T4;Mm:Q8K0Z7;Rn:D4A601;Sc:P53212	Dr:F1QP29;Dr:A0A0G2L877
Q9NQX6	Q96DT6	55422	84938	ZNF331	ATG4C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Dr:H0WEW6	Dr:Q6IQ96;Mm:Q811C2	Rn:F1M3M0
Q9NQX6	O75293	55422	4616	ZNF331	GADD45B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Dr:H0WEW6	Dr:Q5NU21;Mm:P22339;Rn:Q5U3Z2	Dr:Q6PC51
Q9NQX6	Q8ND04	55422	55181	ZNF331	SMG8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Dr:H0WEW6	Dm:Q9VKQ6;Dr:E7FBA3;Mm:Q8VE18;Rn:D3ZQ80	-
Q9NQX6	Q96A44	55422	92369	ZNF331	SPSB4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Dr:H0WEW6	Dm:A1Z6E0;Dr:B0S5W3;Mm:Q8R5B6;Rn:B5DF38	-
Q9NQX6	Q7Z7G8	55422	157680	ZNF331	VPS13B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Dr:H0WEW6	Dm:Q9VAD3;Mm:Q80TY5	-
Q9NQX6	Q9UK13	55422	7638	ZNF331	ZNF221	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Dr:H0WEW6	-	-
Q9NQX6	Q96IY1	55422	25936	ZNF331	NSL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Dr:H0WEW6	Dr:Q5RGS8;Mm:E9QME3;Rn:F1M3N2	-
Q9NQX6	Q9NWH2	55422	729515	ZNF331	TMEM242	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Dr:H0WEW6	Dm:Q9VYX5;Dr:Q4V8S3;Mm:Q8VCR3;Rn:D4A7K0	-
Q9NQX6	Q9Y2X7	55422	28964	ZNF331	GIT1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Dr:H0WEW6	Mm:Q68FF6;Rn:A0A0G2K527	Dr:A0A0R4IPR8
Q9NQX6	Q05193	55422	1759	ZNF331	DNM1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Dr:H0WEW6	Mm:P39053;Rn:P21575	-
