UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8BZ89	P63280	218100	22196	Znf322	Ube2i	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:P63279;Ce:Q95017;Dm:Q7KNM2;Dr:Q9W6H5;Dr:Q9DDJ0;Sc:P50623	Rn:P63281
Q8BZ89	P47740	218100	11671	Znf322	Aldh3a2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:P51648;Rn:A0A0G2JY43	Dm:A0A0B4KEE1
Q8BZ89	O35737	218100	59013	Znf322	Hnrnph1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Rn:A0A0G2JTG7	Hs:G8JLB6
Q8BZ89	Q3UEN2	218100	75698	Znf322	Shld2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:Q86V20;Rn:D3ZH67	-
Q8BZ89	P70302	218100	20866	Znf322	Stim1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:Q13586	Dr:Q1LY88;Rn:A0A0G2K5C8
Q8BZ89	Q9JLR1	218100	57743	Znf322	Sec61a2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:Q9H9S3;Rn:D3ZEH3	-
Q8BZ89	Q3U1T9	218100	329260	Znf322	Dennd1b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:Q6P3S1;Rn:D3Z8F6	-
Q8BZ89	Q9D3B1	218100	70757	Znf322	Hacd2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:Q6Y1H2;Dr:B0V199;Rn:D3ZHG0	-
Q8BZ89	Q9D2E2	218100	68276	Znf322	Toe1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:Q96GM8;Dr:B8A5U4;Rn:A0A0G2JZE8	-
Q8BZ89	P61327	218100	17149	Znf322	Magoh	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	-	-
Q8BZ89	B1AYB6	218100	109241	Znf322	Mbd5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	-	-
Q8BZ89	Q6KAU4	218100	72543	Znf322	Mvb12b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:Q9H7P6;Ce:Q17687;Dr:F1QCV9;Rn:D4A732	-
Q8BZ89	P70178	218100	20475	Znf322	Six5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:Q8N196;Rn:A0A0G2K7K3	-
Q8BZ89	Q5RKZ7	218100	56738	Znf322	Mocs1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:Q9NZB8;Rn:D3ZVG1	Ce:Q20624
Q8BZ89	Q9D489	218100	74434	Znf322	Sohlh2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:Q9NX45	Rn:Q3MHT3
Q8BZ89	P20029	218100	14828	Znf322	Hspa5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:P11021;Ce:P20163;Ce:P27420;Dm:P29844;Dr:Q6P3L3;Rn:P06761;Sc:P16474	-
Q8BZ89	Q8C6I2	218100	66072	Znf322	Sdhaf2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:Q9NX18;Dm:Q4V5I9;Dm:A1Z897;Rn:Q5RJQ7;Sc:Q08230	Hs:F5GYJ5;Dr:A3KP74
Q8BZ89	P09411	218100	18655	Znf322	Pgk1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:P00558;Rn:P16617	Dr:F1QXV8
Q8BZ89	Q9JJ04	218100	56375	Znf322	B4galt4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:O60513;Dr:A0A0R4ICJ7;Rn:Q66HH1	-
Q8BZ89	Q8BIX9	218100	231630	Znf322	Ficd	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:Q9BVA6;Ce:Q23544;Dm:Q8SWV6;Dr:Q6ZM51;Rn:Q6AY47	-
Q8BZ89	Q9Z2F7	218100	12177	Znf322	Bnip3l	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:O60238;Dr:A2BG79;Dr:Q5VK49;Rn:Q4G086	-
Q8BZ89	E9PXB2	218100	381337	Znf322	Fam178b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q6U7Q0;Rn:D3ZJ04	-	Hs:Q8IXR5	Rn:B1H226
