UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8TBC5	P55039	65982	1819	ZSCAN18	DRG2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Rn:D3ZCL4	Dm:Q9VDV2;Dr:Q6TH20;Mm:Q9QXB9;Rn:A0A0G2KAI8;Sc:P53295	Ce:P34280
Q8TBC5	Q9Y3C1	65982	51491	ZSCAN18	NOP16	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Rn:D3ZCL4	Ce:Q94402;Dm:Q9V9U9;Dr:Q6DGI3;Mm:Q9CPT5;Rn:Q1RP77	-
Q8TBC5	Q8WU79	65982	64744	ZSCAN18	SMAP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Rn:D3ZCL4	Dr:Q1LXU3;Mm:Q7TN29;Rn:B1WBX6	-
Q8TBC5	O00622	65982	3491	ZSCAN18	CCN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Rn:D3ZCL4	Dr:F1QL10;Mm:P18406;Rn:Q66HT5	-
Q8TBC5	O43752	65982	10228	ZSCAN18	STX6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Rn:D3ZCL4	Mm:Q9JKK1;Rn:Q63635	Dr:Q567Y3
Q8TBC5	P0DP24	65982	801;805;808	ZSCAN18	CALM2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Rn:D3ZCL4	-	-
Q8TBC5	P15923	65982	6929	ZSCAN18	TCF3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Rn:D3ZCL4	Dr:B1H1L4;Mm:P15806;Rn:A0A0G2K030	-
Q8TBC5	O75438	65982	4707	ZSCAN18	NDUFB1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Rn:D3ZCL4	-	Dr:E7F4Q5;Mm:P0DN34
Q8TBC5	Q9UPN7	65982	22870	ZSCAN18	PPP6R1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Rn:D3ZCL4	Mm:Q7TSI3;Rn:A0A0G2JTK4	-
Q8TBC5	P56134	65982	9551	ZSCAN18	ATP5MF	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Rn:D3ZCL4	Dm:Q9W141;Mm:P56135;Rn:D3ZAF6	Dr:F6P873
Q8TBC5	P0CG48	65982	7316	ZSCAN18	UBC	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Rn:D3ZCL4	Dm:P0CG69;Dm:Q9W418;Dr:F1QHN6;Mm:P0CG50;Rn:F1LML2	-
Q8TBC5	C9JJT5	65982	-	ZSCAN18	ATP5MF-PTCD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Rn:D3ZCL4	-	-
Q8TBC5	Q9NPI6	65982	55802	ZSCAN18	DCP1A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Rn:D3ZCL4	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6
Q8TBC5	Q92540	65982	9887	ZSCAN18	SMG7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Rn:D3ZCL4	Mm:Q5RJH6;Rn:D4ACJ3	Dr:A0A0R4IJJ6
Q8TBC5	Q5VTB9	65982	55182	ZSCAN18	RNF220	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Rn:D3ZCL4	Rn:D4AA66	-
Q8TBC5	Q9H3Q1	65982	23580	ZSCAN18	CDC42EP4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Rn:D3ZCL4	Mm:Q9JM96;Rn:B1WC33	-
Q8TBC5	P0DP23	65982	801;805;808	ZSCAN18	CALM1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Rn:D3ZCL4	-	-
