UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q92785	Q9NUN5	5977	55788	DPF2	LMBRD1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	-	-
Q92785	Q96RD6	5977	56666	DPF2	PANX2	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Mm:Q6IMP4	Dr:Q1LUA3;Rn:R9PXY9
Q92785	P37802	5977	8407	DPF2	TAGLN2	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Mm:Q9WVA4;Rn:Q5XFX0;Sc:Q08873	Dr:Q803W9
Q92785	Q6ZT07	5977	23158	DPF2	TBC1D9	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Mm:Q3UYK3;Rn:A0A0G2K9K0	-
Q92785	Q9H5I5	5977	63895	DPF2	PIEZO2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q92785	P04899	5977	2771	DPF2	GNAI2	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Mm:P08752;Rn:P04897	Ce:Q9BIG5;Dr:X1WDQ5
Q92785	Q96H12	5977	91283	DPF2	MSANTD3	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Mm:Q9CR78;Rn:D4A3I3	-
Q92785	O14879	5977	3437	DPF2	IFIT3	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Mm:Q64345;Mm:E9PV48;Rn:Q6AYE7	-
Q92785	O75122	5977	23122	DPF2	CLASP2	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	-	-
Q92785	Q9BUB5	5977	8569	DPF2	MKNK1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	-	-
Q92785	Q99735	5977	4258	DPF2	MGST2	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Mm:A2RST1;Rn:A0A0G2JU12	Dr:F1QIS1
Q92785	P52198	5977	8153	DPF2	RND2	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Mm:Q9QYM5;Rn:Q5HZE6	Dr:F1RCR8
Q92785	P22223	5977	1001	DPF2	CDH3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P10287	Rn:F1LMI3
Q92785	Q7RTV5	5977	195827	DPF2	PRXL2C	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Mm:Q9D1A0	Dr:F1R5L5
Q92785	Q8IZF4	5977	221188	DPF2	ADGRG5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q3V3Z3	Rn:F1M644
Q92785	O43482	5977	11339	DPF2	OIP5	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Dr:B8A4N0;Mm:A2AQ14;Rn:A0A0G2K615	-
Q92785	Q12981	5977	662	DPF2	BNIP1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Dm:Q9VNI9;Dr:E9QBD8;Mm:Q6QD59;Rn:Q8VHI8	Ce:C0Z1Y7
Q92785	Q92535	5977	5279	DPF2	PIGC	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Ce:O01259;Dm:Q9VZR1;Dr:Q6NUU9;Mm:Q9CXR4;Rn:Q5PQQ4	-
Q92785	H3BUA5	5977	-	DPF2	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q92785	Q96QD5	5977	91614	DPF2	DEPDC7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1Q7L8;Mm:Q91WS7;Rn:Q4QR86	-
Q92785	P04798	5977	1543	DPF2	CYP1A1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P00184;Rn:P00185	-
Q92785	P04183	5977	7083	DPF2	TK1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Ce:G5EEZ5;Mm:P04184;Rn:M0RCX2	Dr:A0A0R4IP36
Q92785	O60281	5977	23036	DPF2	ZNF292	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:E7FBU0;Mm:Q9Z2U2;Rn:D3ZXZ1	-
Q92785	P02778	5977	3627	DPF2	CXCL10	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P17515;Rn:P48973	-
Q92785	Q5IJ48	5977	286204	DPF2	CRB2	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Dr:Q1A5L2;Mm:Q80YA8	Rn:D4A3W2
Q92785	Q0VAA5	5977	257068	DPF2	PLCXD2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
