UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9QY36	J3QPJ9	56292	-	Naa10	Gm10721	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q9QY36	Q80UG8	56292	67534	Naa10	Ttll4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q14679	Rn:D4A331
Q9QY36	Q8C166	56292	266692	Naa10	Cpne1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q99829	Dr:F1QNY5;Rn:D4A1R8
Q9QY36	J3QNQ5	56292	-	Naa10	Btbd35f24	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q9QY36	D3Z5Y8	56292	-	Naa10	Gm15446	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q9QY36	D3Z1I7	56292	-	Naa10	Gm10718	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q9QY36	A0A0R4J2B9	56292	100861966	Naa10	Btbd35f23	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q9QY36	Q5HZJ0	56292	14000	Naa10	Drosha	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9NRR4;Dm:Q7KNF1;Dr:F1QKS5;Rn:E9PTR3	-
Q9QY36	P03899	56292	17718;3338896	Naa10	Mtnd3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P03897;Dr:Q9MIY3;Rn:P05506	-
Q9QY36	Q99JF5	56292	192156	Naa10	Mvd	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P53602;Ce:Q9U294;Dm:Q9VXQ3;Sc:P32377	Dr:A0A0R4IS81;Rn:Q62967
Q9QY36	Q8R1C6	56292	239706	Naa10	Mettl22	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9BUU2;Dr:B3DIQ7;Rn:D3Z9R2	-
Q9QY36	J3QNI2	56292	-	Naa10	Gm11168	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q9QY36	F6TXD3	56292	-	Naa10	Gm28036	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q9QY36	Q9DAQ7	56292	-	Naa10	3110070M22Rik	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q9QY36	A0A0N4SV92	56292	-	Naa10	Duxf3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q9QY36	Q9CPV2	56292	52717	Naa10	Anapc16	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q9QY36	Q8K1R3	56292	71701	Naa10	Pnpt1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8TCS8;Ce:Q965N3;Dm:Q9V9X7;Rn:G3V6G7	-
Q9QY36	P03903	56292	17720	Naa10	Mtnd4l	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P03901;Dm:P18934;Dr:Q9MIY2	Rn:A0A0G2JWA4;Rn:P05507
Q9QY36	P03921	56292	17721	Naa10	Mtnd5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P03915;Dr:Q9MIY0	Rn:P11661
Q9QY36	Q9DCI9	56292	75398	Naa10	Mrpl32	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9BYC8;Rn:D4AEG6	Dr:F1R044
Q9QY36	P58021	56292	68059	Naa10	Tm9sf2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q99805;Ce:O17388;Dm:Q9VIK1;Dr:B0S5D9;Rn:Q66HG5	-
Q9QY36	Q8R4X3	56292	75710	Naa10	Rbm12	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q9QY36	A0A0N4SUK1	56292	-	Naa10	AW822073	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
