UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8WVM7	P62079	10274	10098	STAG1	TSPAN5	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Ce:Q19555;Dm:Q9VM62;Dr:E7FC33;Dr:F1QNA7;Mm:Q9D3E6;Rn:A0A0G2K9G6	-	Mm:P62080;Rn:Q68VK5	-
Q8WVM7	P60059	10274	23480	STAG1	SEC61G	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q19555;Dm:Q9VM62;Dr:E7FC33;Dr:F1QNA7;Mm:Q9D3E6;Rn:A0A0G2K9G6	-	Ce:Q19967;Dm:Q9V668;Dm:Q9VWE9;Dr:F2Z4R1;Rn:B5DEL7;Sc:P35179	-
Q8WVM7	P12883	10274	4625	STAG1	MYH7	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Ce:Q19555;Dm:Q9VM62;Dr:E7FC33;Dr:F1QNA7;Mm:Q9D3E6;Rn:A0A0G2K9G6	-	Mm:Q91Z83;Rn:G3V8B0	-
Q8WVM7	Q8IUD6	10274	84282	STAG1	RNF135	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Ce:Q19555;Dm:Q9VM62;Dr:E7FC33;Dr:F1QNA7;Mm:Q9D3E6;Rn:A0A0G2K9G6	-	Mm:Q9CWS1	Rn:Q6QI24
Q8WVM7	Q9UQL6	10274	10014	STAG1	HDAC5	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Ce:Q19555;Dm:Q9VM62;Dr:E7FC33;Dr:F1QNA7;Mm:Q9D3E6;Rn:A0A0G2K9G6	-	Mm:B7ZDF5	Dr:X1WED5;Rn:F1LM64
Q8WVM7	Q96P47	10274	116988	STAG1	AGAP3	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Ce:Q19555;Dm:Q9VM62;Dr:E7FC33;Dr:F1QNA7;Mm:Q9D3E6;Rn:A0A0G2K9G6	-	Dr:E7FD04;Mm:F8VQE9	Rn:A0A0G2K2D4
Q8WVM7	Q9UBD9	10274	23529	STAG1	CLCF1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Ce:Q19555;Dm:Q9VM62;Dr:E7FC33;Dr:F1QNA7;Mm:Q9D3E6;Rn:A0A0G2K9G6	-	Mm:Q9QZM3	Rn:F7EKG3
Q8WVM7	O75342	10274	242	STAG1	ALOX12B	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Ce:Q19555;Dm:Q9VM62;Dr:E7FC33;Dr:F1QNA7;Mm:Q9D3E6;Rn:A0A0G2K9G6	-	Mm:O70582	Rn:A0A140TAE7
Q8WVM7	Q8WXD5	10274	79833	STAG1	GEMIN6	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Ce:Q19555;Dm:Q9VM62;Dr:E7FC33;Dr:F1QNA7;Mm:Q9D3E6;Rn:A0A0G2K9G6	-	Dr:A0A140LG88;Mm:Q9CX53;Rn:G3V972	-
Q8WVM7	Q9UGY1	10274	79159	STAG1	NOL12	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Ce:Q19555;Dm:Q9VM62;Dr:E7FC33;Dr:F1QNA7;Mm:Q9D3E6;Rn:A0A0G2K9G6	-	-	-
