UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9WTI7	Q9WTJ4	17913	23877	Myo1c	Fiz1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96SL8;Rn:D3ZP93	-
Q9WTI7	Q9ER69	17913	60532	Myo1c	Wtap	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q9WTI7	D3Z1I8	17913	-	Myo1c	Gm10717	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q9WTI7	A2ATK9	17913	269233	Myo1c	Fam171a1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q5VUB5	Rn:D4A7Y4
Q9WTI7	Q8K194	17913	66618	Myo1c	Snrnp27	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8WVK2;Ce:Q21739;Dm:Q9W1I6;Dr:Q6DH74;Rn:D3ZR17	-
Q9WTI7	Q99K24	17913	106947	Myo1c	Slc39a3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9BRY0;Rn:Q5U1X7	Ce:Q19913
Q9WTI7	E9Q7T3	17913	-	Myo1c	Gm10719	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q9WTI7	Q3U309	17913	192236	Myo1c	Hps1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q9WTI7	Q60710	17913	56045	Myo1c	Samhd1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9Y3Z3;Rn:D3Z898	Dr:F1R861
Q9WTI7	Q61164	17913	13018	Myo1c	Ctcf	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P49711;Dr:Q6JAA4;Rn:A0A0H2UHP0	-
Q9WTI7	Q6P9R1	17913	69663	Myo1c	Ddx51	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8N8A6;Dm:P26802;Sc:P53734	Dr:F1R9W2;Rn:A0A0G2K4S4
Q9WTI7	Q91XC0	17913	16475	Myo1c	Ajuba	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96IF1;Rn:Q5U2Z2	-
Q9WTI7	Q9EQQ9	17913	76055	Myo1c	Oga	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O60502;Ce:A8WFI7;Dm:Q9VDC9	Dr:E7F547;Rn:A0A0H2UI10
Q9WTI7	Q3UZY0	17913	78887	Myo1c	Sfi1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:A8K8P3;Dr:F1QNA2;Rn:D3ZTG6	-
Q9WTI7	Q9D0B1	17913	66056	Myo1c	Znf524	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Rn:A0A0G2JUJ1	-
Q9WTI7	D3Z1I5	17913	-	Myo1c	Gm10720	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
