UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9D4J7	Q8JZV7	70998	245847	Phf6	Amdhd2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IWS0;Dr:F1QPB3	Rn:D3ZQV8	Hs:Q9Y303;Ce:P34480;Rn:Q5BJY6	Dm:E1JJR9;Dr:Q6P0U0
Q9D4J7	Q9EQB9	70998	170740	Phf6	Znf287	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IWS0;Dr:F1QPB3	Rn:D3ZQV8	Hs:Q9HBT7	Rn:D4A516
Q9D4J7	Q91YR7	70998	68879	Phf6	Prpf6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IWS0;Dr:F1QPB3	Rn:D3ZQV8	Hs:O94906;Ce:Q9GRZ2;Dm:Q9VVU6;Dr:A0A2R8PWG5;Rn:A1A5S1;Sc:P19735	-
Q9D4J7	Q9ERE2	70998	64818	Phf6	Krt81	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IWS0;Dr:F1QPB3	Rn:D3ZQV8	-	-
Q9D4J7	Q91ZU0	70998	117589	Phf6	Asb7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IWS0;Dr:F1QPB3	Rn:D3ZQV8	Hs:Q9H672;Dr:F6NLA2;Rn:D3ZVT6	-
Q9D4J7	A0A0R4J012	70998	105005	Phf6	Lratd1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IWS0;Dr:F1QPB3	Rn:D3ZQV8	Hs:Q96KN4;Dr:Q6PGW5;Rn:G3V9V1	-
Q9D4J7	Q05186	70998	19672	Phf6	Rcn1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IWS0;Dr:F1QPB3	Rn:D3ZQV8	Hs:Q15293;Dr:F1R369;Rn:D3ZUB0	-
Q9D4J7	Q8C5H1	70998	320091	Phf6	Ano4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IWS0;Dr:F1QPB3	Rn:D3ZQV8	Hs:Q32M45;Rn:A0A0G2K0I0	-
Q9D4J7	Q8BH74	70998	103468	Phf6	Nup107	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IWS0;Dr:F1QPB3	Rn:D3ZQV8	Hs:P57740;Dm:Q9V466;Dr:Q5RGI2;Rn:F1LSL2	-
Q9D4J7	Q60722	70998	21413	Phf6	Tcf4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IWS0;Dr:F1QPB3	Rn:D3ZQV8	-	-
