UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q6N021	P54274	54790	7013	TET2	TERF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Dr:F1QKQ7;Mm:P70371;Rn:Q5EB98	-
Q6N021	Q9NTG7	54790	23410	TET2	SIRT3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Mm:Q8R104;Rn:C6ZII9	-
Q6N021	Q7Z7J7	54790	375323	TET2	LHFPL4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Mm:Q5U4E0;Rn:Q7TSY2	Dr:A0A2R8RTK1
Q6N021	S4R3F8	54790	-	TET2	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	-	-
Q6N021	P21754	54790	7784	TET2	ZP3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Mm:P10761	Dr:F1QIH9;Rn:A1L124
Q6N021	Q9NP58	54790	10058	TET2	ABCB6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Dm:Q9VF20;Dr:F1QCK2;Mm:Q9DC29;Rn:O70595	Ce:G5EFD4;Dr:B0S6D9
Q6N021	Q7Z388	54790	286148	TET2	DPY19L4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Mm:A2AJQ3;Rn:D3Z939	-
Q6N021	Q9H008	54790	64077	TET2	LHPP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Ce:O01926;Dr:A5PLK2;Mm:Q9D7I5;Rn:Q5I0D5	-
Q6N021	O43929	54790	5000	TET2	ORC4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Dm:Q9W102;Mm:O88708;Rn:Q6P9Z8	Dr:F1QRE0
Q6N021	O43314	54790	23262	TET2	PPIP5K2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	-	-
Q6N021	Q7Z6J6	54790	84978	TET2	FRMD5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Dm:Q9VKY7;Mm:Q6P5H6;Rn:F1LT14	-
Q6N021	Q86UD0	54790	89958	TET2	SAPCD2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Dm:Q9W115;Mm:Q9D818;Rn:B0BN66	-
Q6N021	P50748	54790	9735	TET2	KNTC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Dm:Q9V9W7;Dr:A0A0R4IHW6;Mm:Q8C3Y4;Rn:D3ZVJ3	-
Q6N021	Q9BWM5	54790	55659	TET2	ZNF416	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Rn:D3ZVT0	-
Q6N021	Q16629	54790	6432	TET2	SRSF7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Ce:Q18409;Mm:Q8BL97;Rn:D4A720	-
Q6N021	Q86WS5	54790	283471	TET2	TMPRSS12	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Mm:Q3V0Q7;Rn:F1M348	-
Q6N021	Q96FJ2	54790	140735	TET2	DYNLL2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Ce:Q22799;Mm:Q9D0M5;Rn:Q78P75	-
Q6N021	O95391	54790	10569	TET2	SLU7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Ce:Q21278;Dm:Q9VAQ7;Dr:F1RCR0;Mm:Q8BHJ9;Rn:Q80ZG5	-
Q6N021	P62328	54790	7114	TET2	TMSB4X	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	-	-
Q6N021	Q9Y4L5	54790	27246	TET2	RNF115	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Dr:A1A601;Mm:Q9D0C1;Rn:D3ZB96	-
Q6N021	Q13469	54790	4773	TET2	NFATC2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Dr:E7F9Z5;Mm:Q60591;Rn:D4A0I8	-
Q6N021	Q96HY7	54790	55526	TET2	DHTKD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Ce:Q23629;Dm:Q9VA02;Dr:F1R838;Mm:A2ATU0;Rn:Q4KLP0	-
Q6N021	Q9UNF0	54790	11252	TET2	PACSIN2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Dr:A0A0R4IHF0;Mm:Q9WVE8;Rn:Q9QY17	-
Q6N021	Q6AI39	54790	23506	TET2	BICRAL	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Dr:E7F8Y0;Mm:Q8CHH5	Rn:D4A240
Q6N021	Q9NP80	54790	50640	TET2	PNPLA8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Dr:F1RE62;Mm:Q8K1N1;Rn:D3ZRC4	-
Q6N021	P55212	54790	839	TET2	CASP6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Mm:O08738	Dr:F1RB78;Dr:A0A2U9DQL2;Rn:Q6AZ23
Q6N021	O14733	54790	5609	TET2	MAP2K7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Ce:Q21307;Dm:Q23977;Mm:Q8CE90	Dr:F6P5Q1;Rn:D3XAM6
Q6N021	Q3KQZ1	54790	399512	TET2	SLC25A35	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Dr:A3KPP4;Mm:Q5SWT3;Rn:B0BNI6	-
Q6N021	Q504U0	54790	201725	TET2	C4orf46	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Mm:Q3UUX7;Rn:B1WC95	-
Q6N021	Q9UPU5	54790	23358	TET2	USP24	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Ce:G5EGM9;Dr:F1Q6K1;Rn:F1LSM0	Mm:E9PV45
Q6N021	O95167	54790	4696	TET2	NDUFA3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Dr:F1R809;Mm:Q9CQ91;Rn:A0A0G2KAA3	Rn:M0RB63;Rn:D4A1B0
Q6N021	Q9P2J5	54790	51520	TET2	LARS1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Ce:Q09996;Dm:Q9VQR8;Mm:Q8BMJ2;Rn:Q5PPJ6;Sc:P26637	Dr:F1QFN3
Q6N021	Q9UJT0	54790	51175	TET2	TUBE1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Mm:Q9D6T1;Rn:D3ZRL5	Dr:Q5SNS3
Q6N021	Q9UJ41	54790	27342	TET2	RABGEF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Ce:Q8I100;Dm:Q9W0H9;Dr:Q6P6Y4;Mm:Q9JM13	Rn:G3V631
Q6N021	P16333	54790	4690	TET2	NCK1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Dr:E7F6M0;Mm:Q99M51;Rn:G3V7X3	-
Q6N021	Q59EK9	54790	10900	TET2	RUNDC3A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Mm:O08576;Rn:F1LRZ9	Dr:F1QAZ4;Dr:F1QCE8
Q6N021	Q9BVM4	54790	87769	TET2	GGACT	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Ce:Q65ZK1;Dm:Q9W0Y1;Mm:Q923B0;Rn:Q4KM86	Dr:A3KNL6;Dr:Q66I06;Dr:F1QN86
Q6N021	Q9ULC6	54790	29943	TET2	PADI1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Mm:Q9Z185	Rn:G3V6Y0
Q6N021	Q5T1V6	54790	83479	TET2	DDX59	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Mm:Q9DBN9	Rn:D4A2T7
Q6N021	P49591	54790	6301	TET2	SARS1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Ce:Q18678;Dm:Q9VQL1;Dr:Q6DRC0;Sc:P07284	Mm:Q8C483;Rn:A0A0G2JZG7
Q6N021	Q15388	54790	9804	TET2	TOMM20	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Ce:Q19766;Dm:Q95RF6;Dr:Q6DH66;Dr:Q6PC05;Mm:Q9DCC8;Rn:Q62760	-
Q6N021	Q9C0D5	54790	85461	TET2	TANC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Mm:Q0VGY8;Rn:G3V917	-
Q6N021	Q96G97	54790	26580	TET2	BSCL2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	Mm:Q9Z2E9;Rn:A0A0G2JVP0	-
Q6N021	A5PL33	54790	84626	TET2	KRBA1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:D4AC33	Mm:A0A0G2JF55	-	-
