UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q5VWG9	Q96DH6	83860	124540	TAF3	MSI2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	Dr:Q7ZW10;Mm:Q920Q6;Rn:F1LWE6	Dm:M9PCV2
Q5VWG9	Q9BQY9	83860	55861	TAF3	DBNDD2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	Mm:Q9CRD4;Rn:Q331S7	Dr:E7F9P7
Q5VWG9	Q9P2K3	83860	55758	TAF3	RCOR3	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	Rn:B5DFE7	Mm:A0A0A6YWP7
Q5VWG9	Q9NRH3	83860	27175	TAF3	TUBG2	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	Mm:Q8VCK3;Rn:F1LUW9	-
Q5VWG9	Q53TN4	83860	79901	TAF3	CYBRD1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	Mm:Q925G2	Rn:Q5RKJ2
Q5VWG9	Q9ULD4	83860	27154	TAF3	BRPF3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	Dr:F6P390;Mm:B2KF05;Rn:D3ZMD3	-
Q5VWG9	P38935	83860	3508	TAF3	IGHMBP2	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	Dr:M9MM98;Mm:A0A0B4J1E3;Rn:F1LQE6;Sc:P34243	-
Q5VWG9	P36915	83860	2794	TAF3	GNL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	Dm:Q9VIJ9;Dr:Q1LXP8;Mm:P36916;Rn:Q6MG06	-
Q5VWG9	O15397	83860	10526	TAF3	IPO8	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	Dr:B7ZV68;Mm:Q7TMY7;Rn:A0A0G2K6J6	-
Q5VWG9	Q9UHR4	83860	55971	TAF3	BAIAP2L1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	Mm:Q9DBJ3;Rn:Q3KR97	Dr:F1QAX6
Q5VWG9	Q9Y3M2	83860	25776	TAF3	CBY1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	-	-
Q5VWG9	K7EQM0	83860	-	TAF3	-	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	-	-
Q5VWG9	Q8NFD5	83860	57492	TAF3	ARID1B	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	-	-
Q5VWG9	Q9NUZ1	83860	55289	TAF3	ACOXL	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	-	-
Q5VWG9	O14640	83860	1855	TAF3	DVL1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	Dr:F1QNA4;Dr:F8W5A4;Mm:P51141;Rn:Q9WVB9	-
Q5VWG9	Q5VTJ3	83860	127707	TAF3	KLHDC7A	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	Mm:A2APT9;Rn:M0R439	-
Q5VWG9	P09001	83860	11222	TAF3	MRPL3	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	Dm:Q9VXQ0;Mm:Q99N95;Rn:G3V7P3	-
Q5VWG9	P60953	83860	998	TAF3	CDC42	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Ce:E9P861;Dr:Q5RH27;Mm:Q5HZG4	Rn:D3ZPB7	Dm:P40793;Dr:Q6PFU4;Mm:P60766;Sc:P19073	Rn:A0A0G2JSM8
