UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q6IQ21	Q96F24	54989	29982	ZNF770	NRBF2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Mm:Q8VCQ3;Rn:G3V622	Dr:Q6DHJ4
Q6IQ21	P30414	54989	4820	ZNF770	NKTR	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Dr:E7F5I0;Mm:P30415;Rn:M0R991	-
Q6IQ21	Q5THJ4	54989	55187	ZNF770	VPS13D	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Dm:Q9VU08;Dr:E7F307;Mm:B1ART2;Rn:D3ZKC6	-
Q6IQ21	P29973	54989	1259	ZNF770	CNGA1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	-	-
Q6IQ21	O43294	54989	7041	ZNF770	TGFB1I1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Mm:Q62219	Rn:Q99PD6
Q6IQ21	Q96MV1	54989	148534	ZNF770	TLCD4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Dr:A0A0R4IJ79;Dr:F1Q640;Mm:Q8CGF5;Rn:D4AAE5	-
Q6IQ21	Q9P2R6	54989	473	ZNF770	RERE	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Mm:Q80TZ9;Rn:Q62901	Dr:F1QQN6
Q6IQ21	Q86TL0	54989	84971	ZNF770	ATG4D	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Dr:R4GER2;Mm:Q8BGV9;Rn:M0R5T6	Ce:Q9U1N6
Q6IQ21	Q6PDB4	54989	400713	ZNF770	ZNF880	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Mm:F6VKC7	-
Q6IQ21	O95631	54989	9423	ZNF770	NTN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Ce:P34710;Dr:O42140;Mm:O09118;Rn:F1LPC8	Dm:M9NF48
Q6IQ21	Q5VV41	54989	27237	ZNF770	ARHGEF16	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Mm:Q3U5C8;Rn:B2GUW2	-
Q6IQ21	O75448	54989	9862	ZNF770	MED24	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Dm:Q9VSF2;Dr:Q2PW47;Mm:Q99K74;Rn:Q4V8B3	-
Q6IQ21	Q7L5D6	54989	51608	ZNF770	GET4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Ce:Q19824;Dm:Q9VN19;Dr:F1R3Y3;Mm:Q9D1H7;Rn:F1LXF5;Sc:Q12125	-
Q6IQ21	Q9UHY7	54989	58478	ZNF770	ENOPH1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Ce:Q21012;Dm:Q9VN95;Dr:Q6GMI7;Mm:Q8BGB7;Rn:Q5PPH0;Sc:P32626	-
Q6IQ21	P52907	54989	829	ZNF770	CAPZA1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Dr:Q6NWK1;Mm:Q5RKN9;Rn:B2GUZ5	-
Q6IQ21	Q9BYG4	54989	84552	ZNF770	PARD6G	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Mm:Q9JK84	Rn:E9PT71
Q6IQ21	Q5TC84	54989	79627	ZNF770	OGFRL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Dr:E7EYE2;Mm:Q8VE52;Rn:F1M9G3	-
Q6IQ21	Q15013	54989	9587	ZNF770	MAD2L1BP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Mm:Q9DCX1	Rn:Q5I0J2
Q6IQ21	O15014	54989	23060	ZNF770	ZNF609	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Dr:F1QRV8;Mm:Q8BZ47	Dr:A0A0G2KSU4;Rn:D4ACN4
Q6IQ21	Q9UKK6	54989	29107	ZNF770	NXT1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Mm:Q9QZV9;Rn:B2RZ65	-
Q6IQ21	Q13608	54989	5190	ZNF770	PEX6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Dr:F1QMB0;Mm:Q99LC9;Rn:P54777	-
Q6IQ21	Q6NT76	54989	79618	ZNF770	HMBOX1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Ce:Q9TYT0	Mm:H3BKM3;Rn:D3ZER1
Q6IQ21	O75347	54989	6902	ZNF770	TBCA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Ce:Q95XR1;Dm:Q9V9U7;Mm:P48428;Rn:Q6PEC1;Rn:F1M825;Sc:P48606	Dr:Q7ZV25
Q6IQ21	Q9NXS3	54989	54813	ZNF770	KLHL28	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	-	-
Q6IQ21	P24468	54989	7026	ZNF770	NR2F2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Mm:P43135;Rn:O09018	-
Q6IQ21	P54826	54989	2619	ZNF770	GAS1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Mm:Q01721;Rn:M0RBH9	-
Q6IQ21	Q10571	54989	4330	ZNF770	MN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Dm:Q9W3G1;Dr:B8JKI7;Mm:D3YWE6;Rn:D4AAP6	-
Q6IQ21	Q96GD0	54989	57026	ZNF770	PDXP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Dm:Q9VZW4;Dr:B3DI21;Mm:P60487;Rn:M0R416	-
Q6IQ21	O15528	54989	1594	ZNF770	CYP27B1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Dm:Q9V5L3;Dr:A0A140LGN8;Mm:O35084	Rn:M0R3V1;Rn:A0A0G2K339
Q6IQ21	Q6TDU7	54989	55259	ZNF770	CASC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	-	-
Q6IQ21	Q96I36	54989	84987	ZNF770	COX14	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Mm:Q8BH51;Rn:Q5XFV8	-
Q6IQ21	Q9H2Y9	54989	81796	ZNF770	SLCO5A1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	Dr:E7F2I7;Mm:E9PVD9;Rn:D3ZZM7	-
Q6IQ21	Q3ZCQ8	54989	92609	ZNF770	TIMM50	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8BIQ8	Rn:F1M076	-	-
