UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q61142	Q8K2W6	20729	230936	Spin1	Phf13	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:Q86YI8;Dr:A0A0G2L648;Rn:D3ZG56	-
Q61142	Q5SUF7	20729	12291	Spin1	Cacna1g	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	-	-
Q61142	H7BWZ9	20729	320615	Spin1	Dop1a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Dr:F1R226;Rn:D4A0Y2	Hs:Q5TA12
Q61142	P41158	20729	13714	Spin1	Elk4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:P28324;Dr:F1R0K1;Rn:B4F7D4	-
Q61142	Q8C2A2	20729	76265	Spin1	Tsen54	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:Q7Z6J9;Dr:F1QIM0;Rn:D3ZZT6	-
Q61142	Q923T7	20729	94089	Spin1	Trim7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:Q9C029;Rn:D3ZNJ9	-
Q61142	P99028	20729	66576	Spin1	Uqcrh	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:A0A096LP55;Hs:P07919;Ce:O45864;Dm:Q4QPY6;Dm:A8Y535;Dr:Q3B750;Rn:Q5M9I5	-
Q61142	Q80U56	20729	78937	Spin1	Avl9	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:Q8NBF6;Dm:Q9VYB2;Dr:A0A0R4IRC7;Rn:D3ZVU6;Sc:Q12500	Ce:Q22794
Q61142	O70291	20729	14772	Spin1	Grk4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:P32298;Rn:P70507	-
Q61142	Q8BP56	20729	212974	Spin1	Pgghg	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Dm:Q9VKD9	Hs:E7EMA9;Dr:F1Q6T5;Rn:D3ZY02
Q61142	Q6PD19	20729	71617	Spin1	Armh3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:Q5T2E6;Dm:Q7KSU3;Rn:D3ZZE3	Dr:Q6PGW3
Q61142	Q64705	20729	22282	Spin1	Usf2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:Q15853;Dr:Q1L959;Rn:A0A0G2K3J3	-
Q61142	Q9D9Y8	20729	75647	Spin1	Ssmem1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:Q8WWF3;Rn:D3ZDF5	-
Q61142	Q9D384	20729	76167	Spin1	Snrnp35	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:Q16560;Dr:Q4KMD3;Rn:G3V639	-
Q61142	Q6PGC7	20729	215436	Spin1	Slc35e3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:Q7Z769;Dr:Q5VSE1;Rn:B2GUZ8	-
Q61142	Q9ESN9	20729	30957	Spin1	Mapk8ip3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	-	-
Q61142	L7N267	20729	449000	Spin1	Zfp960	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	-	-
Q61142	Q8BKC5	20729	70572	Spin1	Ipo5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Dr:B8JHR9;Rn:D4A781	Hs:E7ETV8
Q61142	Q9CZP7	20729	67072	Spin1	Cdc37l1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:Q7L3B6;Dr:F1QVZ5;Rn:Q5XIC3	-
Q61142	Q9Z1N2	20729	18392	Spin1	Orc1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:Q13415	Dr:A0A2R8QHH5;Rn:G3V768
Q61142	Q9WU28	20729	56612	Spin1	Pfdn5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:Q99471;Ce:Q21993;Dm:Q9VCZ8;Rn:B5DFN4;Sc:Q04493	Dr:A9JT16
Q61142	Q8CHK4	20729	81601	Spin1	Kat5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:Q92993;Ce:Q9TYU5;Dm:Q960X4;Dr:B8JKI8;Rn:A0A0G2KA75;Sc:Q08649	Dr:B0R0X6
Q61142	Q9CZ30	20729	67059	Spin1	Ola1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Ce:P91917;Dm:Q8SWU7;Rn:A0JPJ7;Sc:P38219	Hs:C9JCJ9;Dr:Q7ZU42
Q61142	Q8C4Q6	20729	108909	Spin1	Aida	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:Q96BJ3;Dr:Q6PBN2;Rn:B1WBV1	-
Q61142	A0A0F6AIX5	20729	68832	Spin1	Ldah	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9Y657	Rn:Q4V8J7	Hs:Q9H6V9;Ce:Q19347;Dm:Q9W0H3;Dr:F1QII3;Rn:Q5HZX7	Ce:Q93595
