UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q7TS63	Q8C7V3	380993	105372	Zfat	Utp15	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P243	Dr:F1QF56;Rn:D4A2U0	Hs:Q8TED0;Dm:Q9W4Z9;Rn:A2RRU3;Sc:Q04305	Ce:Q9N477;Dr:Q7ZW33
Q7TS63	Q6PGH1	380993	231889	Zfat	Bud31	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P243	Dr:F1QF56;Rn:D4A2U0	Hs:P41223;Ce:P34313;Dm:O97454;Dr:A0A0R4I9A3;Rn:O70454;Sc:P25337	-
Q7TS63	Q9QUN9	380993	50781	Zfat	Dkk3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P243	Dr:F1QF56;Rn:D4A2U0	Hs:Q9UBP4	Dr:A2CEU2;Dr:A0A0R4IQS3;Rn:B1H219
Q7TS63	Q68FM7	380993	213498	Zfat	Arhgef11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P243	Dr:F1QF56;Rn:D4A2U0	Hs:O15085;Rn:A0A0G2JZC6	Dr:B0S635
Q7TS63	Q9ES34	380993	117146	Zfat	Ube3b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P243	Dr:F1QF56;Rn:D4A2U0	Hs:Q7Z3V4;Ce:Q9XXE6;Dm:M9PEV2	Dr:A2BGM8;Rn:M0R8Z5
Q7TS63	P97364	380993	20768	Zfat	Sephs2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P243	Dr:F1QF56;Rn:D4A2U0	Hs:Q99611	Dr:A0A6I8MWV8
Q7TS63	A2ASP7	380993	230996	Zfat	9430015G10Rik	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P243	Dr:F1QF56;Rn:D4A2U0	Hs:Q96HA4;Rn:Q5XIR1	-
Q7TS63	Q9DC40	380993	71718	Zfat	Telo2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P243	Dr:F1QF56;Rn:D4A2U0	Hs:Q9Y4R8;Rn:D3ZQ30	Ce:Q95YE9;Dr:T1ECU6
Q7TS63	A0A0R4J1S2	380993	54614	Zfat	Prpf40b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P243	Dr:F1QF56;Rn:D4A2U0	-	Hs:F8VU11;Rn:F1LTJ8
Q7TS63	Q61879	380993	77579	Zfat	Myh10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P243	Dr:F1QF56;Rn:D4A2U0	-	-
