UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8VCY6	Q8BIE6	216987	209630	Utp6	Frmd4a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	Hs:Q9P2Q2	Dr:A2CGB3;Rn:D3ZU85
Q8VCY6	E9PYL2	216987	233210	Utp6	Prr12	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	Hs:Q9ULL5	-
Q8VCY6	E9Q9D8	216987	213121	Utp6	Ankrd35	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	Rn:D3ZHR4	-
Q8VCY6	G3XA48	216987	319554	Utp6	Idi1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	Dm:Q9VDC2;Rn:A0A0H2UHN2	Ce:G5EFQ1;Dr:F1QVG2
Q8VCY6	E9Q529	216987	751865	Utp6	Sap25	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	-	-
Q8VCY6	Q3U0P5	216987	12497	Utp6	Entpd6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	Hs:O75354;Dr:F1R4L9;Rn:Q9ER31	-
Q8VCY6	Q9CWR7	216987	70358	Utp6	Steap1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	Hs:Q9UHE8;Rn:D3ZEK7	Hs:C9JE84
Q8VCY6	Q9CQ13	216987	66423	Utp6	Coprs	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	Hs:Q9NQ92;Rn:D3ZB92	-
Q8VCY6	O88939	216987	16969	Utp6	Zbtb7a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	Hs:O95365;Rn:G3V8P6	-
Q8VCY6	Q61164	216987	13018	Utp6	Ctcf	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	Hs:P49711;Dr:Q6JAA4;Rn:A0A0H2UHP0	-
Q8VCY6	Q9Z2B2	216987	20523	Utp6	Slc25a14	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	Hs:O95258;Rn:Q9EP88	Dr:Q7ZVV6
Q8VCY6	Q6P9R1	216987	69663	Utp6	Ddx51	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	Hs:Q8N8A6;Dm:P26802;Sc:P53734	Dr:F1R9W2;Rn:A0A0G2K4S4
Q8VCY6	P60603	216987	67067	Utp6	Romo1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	Hs:P60602;Ce:Q93511;Dm:Q9VUM2;Dr:Q6NYD1;Sc:Q02889	Rn:D4A742
Q8VCY6	Q5U5M8	216987	232946	Utp6	Bloc1s3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	Hs:Q6QNY0;Dr:Q4V924;Rn:D4A3V6	-
Q8VCY6	Q9CPQ1	216987	12864	Utp6	Cox6c	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	Hs:P09669;Dm:Q9VMS1;Dr:Q6ZM23;Rn:P11951	-
Q8VCY6	O88838	216987	14794	Utp6	Spsb2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	Hs:Q99619	Rn:Q5M877
Q8VCY6	A3KN90	216987	110784	Utp6	Nr3c2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	Hs:P08235	Rn:F1M6V2
Q8VCY6	P47743	216987	14823	Utp6	Grm8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	-	-
Q8VCY6	Q3TZZ7	216987	52635	Utp6	Esyt2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9NYH9;Dm:Q9W397;Dr:A0A0R4IGM5;Rn:F1M805	-	Rn:D3ZJ32	Hs:H7BXI1
