UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q969R5	Q9NZM6	83746	27039	L3MBTL2	PKD2L2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Mm:Q9JLG4;Rn:D4A828	-
Q969R5	Q8NEV4	83746	53904	L3MBTL2	MYO3A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	-	Dr:X1WHF0;Dr:F8W392;Dr:A0A1D5NSJ2
Q969R5	Q9UIS9	83746	4152	L3MBTL2	MBD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Rn:Q66HB8	Mm:A0A286YDI1
Q969R5	Q8N6N7	83746	414149	L3MBTL2	ACBD7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Dr:Q4V8S5;Mm:Q9D258	Rn:D3ZB36
Q969R5	P51809	83746	6845	L3MBTL2	VAMP7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Dm:Q7JYX5;Dr:E9QC42;Rn:Q9JHW5	Mm:P70280
Q969R5	Q6P9F7	83746	23507	L3MBTL2	LRRC8B	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Mm:Q5DU41;Rn:D4A758	-
Q969R5	Q99611	83746	22928	L3MBTL2	SEPHS2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Mm:P97364	Dr:A0A6I8MWV8
Q969R5	Q9Y5Q0	83746	3995	L3MBTL2	FADS3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Mm:Q9JJE7;Rn:Q8K1P9	-
Q969R5	P33993	83746	4176	L3MBTL2	MCM7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Ce:O16297;Dm:Q9XYU0;Mm:Q61881;Rn:Q6AYN8;Sc:P38132	Dr:A0A0E3D6N5
Q969R5	Q9H790	83746	64789	L3MBTL2	EXO5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Dr:F1Q514;Mm:Q9CXP9;Rn:D3ZLE0	-
Q969R5	Q8NDV3	83746	27127	L3MBTL2	SMC1B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	-	-
Q969R5	P57768	83746	64089	L3MBTL2	SNX16	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Mm:Q8C080	Rn:A0A0G2JT47
Q969R5	P02654	83746	341	L3MBTL2	APOC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Mm:P34928;Rn:P19939	Dr:E9QFX0;Rn:M0R547
Q969R5	Q8TBY9	83746	144406	L3MBTL2	CFAP251	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Mm:E9Q743	Dr:A3QK38;Rn:F1LWI8
Q969R5	Q8NBS9	83746	81567	L3MBTL2	TXNDC5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Dm:Q9VYV3;Dr:F1R184;Mm:Q91W90;Rn:D3ZZC1	-
Q969R5	Q01094	83746	1869	L3MBTL2	E2F1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Mm:Q61501;Rn:O09139	-
Q969R5	P10809	83746	3329	L3MBTL2	HSPD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Ce:P50140;Dm:Q9VMN5;Dm:O02649;Dr:Q803B0;Mm:P63038;Rn:P63039;Sc:P19882	-
Q969R5	Q9ULH0	83746	57498	L3MBTL2	KIDINS220	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Dr:Z4YJ74;Rn:D3ZWB2	Dm:A0A0B4LH32;Mm:A0A1Y7VME9
Q969R5	P60866	83746	6224	L3MBTL2	RPS20	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Ce:Q8WQA8;Dm:P55828;Mm:P60867;Rn:M0RB28;Rn:A0A0G2K8W1;Rn:M0R566;Rn:P60868;Sc:P38701	Rn:D3ZZK1
Q969R5	O60447	83746	7813	L3MBTL2	EVI5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Dr:E7FA51;Mm:F8VPT6;Rn:D3ZJN9	-
Q969R5	P43351	83746	5893	L3MBTL2	RAD52	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	-	Mm:G5E879;Rn:D3ZZL1
Q969R5	Q13188	83746	6788	L3MBTL2	STK3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Dr:Q7ZUQ3;Mm:Q9JI10;Rn:B1WBQ5	-
Q969R5	P02452	83746	1277	L3MBTL2	COL1A1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	-	-
Q969R5	Q71H61	83746	387597	L3MBTL2	ILDR2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Mm:B5TVM2;Rn:D3ZGJ1	-
Q969R5	O75925	83746	8554	L3MBTL2	PIAS1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Dr:X1WDM3;Dr:A0A1D5NSS2;Mm:O88907;Rn:G3V9T0	-
Q969R5	Q8IWP9	83746	25901	L3MBTL2	CCDC28A	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	-	-
Q969R5	Q8WXA3	83746	55680	L3MBTL2	RUFY2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Ce:Q19088;Mm:Q8R4C2	Dr:B8A5E3;Rn:D3ZSW9
Q969R5	O00628	83746	5191	L3MBTL2	PEX7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Dm:Q9VSN7;Dr:F1QFW8;Mm:P97865;Rn:Q498S5;Sc:P39108	-
Q969R5	P38646	83746	3313	L3MBTL2	HSPA9	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Ce:P11141;Dm:P29845;Dr:F1QFC0;Mm:P38647;Rn:F1M953;Sc:P39987;Sc:P0CS90	-
Q969R5	P43250	83746	2870	L3MBTL2	GRK6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Rn:A0A0G2K6E5	Dr:E7F3T7;Mm:Q9EP84
Q969R5	Q969E8	83746	90121	L3MBTL2	TSR2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1R4V8;Mm:P59178;Rn:Q3MIF2	-	Ce:Q2HQJ8;Dm:Q9VBI0;Dr:F1QR86;Rn:G3V6B8;Sc:Q06672	Mm:Q8C8T8
