UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q6NZI2	P49588	284119	16	CAVIN1	AARS1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:A6NA21;Mm:O54724;Rn:G3V8L9	-	Ce:O01541;Dm:Q9VLM8;Mm:Q8BGQ7;Rn:P50475;Sc:P40825	Dr:Q1LVL2
Q6NZI2	Q5NDL2	284119	285203	CAVIN1	EOGT	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A6NA21;Mm:O54724;Rn:G3V8L9	-	Ce:Q9XTX0;Dm:Q9VQB7;Mm:Q8BYW9	Dr:X1WGG5;Rn:A0A0G2K4R9
Q6NZI2	Q14527	284119	6596	CAVIN1	HLTF	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:A6NA21;Mm:O54724;Rn:G3V8L9	-	Dr:B0V118;Mm:Q6PCN7;Rn:A0A0G2JVH5	-
Q6NZI2	A0A1B0GV96	284119	-	CAVIN1	-	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:A6NA21;Mm:O54724;Rn:G3V8L9	-	-	Mm:A0A1B0GSF9
Q6NZI2	Q86UT8	284119	338657	CAVIN1	CCDC84	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:A6NA21;Mm:O54724;Rn:G3V8L9	-	Mm:Q4VA36;Rn:D4A553	-
Q6NZI2	P84243	284119	3020;3021	CAVIN1	H3-3A;H3-3B	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A6NA21;Mm:O54724;Rn:G3V8L9	-	-	-
Q6NZI2	Q96NA2	284119	83547	CAVIN1	RILP	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:A6NA21;Mm:O54724;Rn:G3V8L9	-	Mm:Q5ND29;Rn:D3ZGA5	-
Q6NZI2	P57682	284119	51274	CAVIN1	KLF3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:A6NA21;Mm:O54724;Rn:G3V8L9	-	Mm:Q60980;Rn:D4A4V3	-
Q6NZI2	P47898	284119	3361	CAVIN1	HTR5A	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:A6NA21;Mm:O54724;Rn:G3V8L9	-	Mm:P30966;Rn:P35364	Dr:A3KPY3;Dr:Q7ZZ32
Q6NZI2	O60673	284119	5980	CAVIN1	REV3L	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:A6NA21;Mm:O54724;Rn:G3V8L9	-	Mm:Q61493;Rn:F1M8G6	Dr:F1QSQ9
