UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q7TNE6	C0HKE5	100039227;100039293;278672	319164;319165;319166;319167;319170;319171;319172;319191;665433	Duxbl2	H2ac11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q7TNE6	Q8BG89	100039227;100039293;278672	216049	Duxbl2	Znf365	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q70YC5	Rn:Q5PQS2
Q7TNE6	P28662	100039227;100039293;278672	55950	Duxbl2	Bri3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O95415;Rn:Q5PPK1	Dr:E7FAC9
Q7TNE6	G5E874	100039227;100039293;278672	16782	Duxbl2	Lamc2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q13753;Rn:F1LRH4	-
Q7TNE6	Q9CYY7	100039227;100039293;278672	66390	Duxbl2	Prelid3b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9Y3B1;Dr:Q7ZVG4;Rn:M0RBS0	-
Q7TNE6	Q6P5D8	100039227;100039293;278672	74355	Duxbl2	Smchd1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:A6NHR9;Rn:D4AAG8	-
Q7TNE6	Q4VBE8	100039227;100039293;278672	216156	Duxbl2	Wdr18	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9BV38;Dm:Q9W550;Dr:Q68EI0;Rn:F1LR39	-
Q7TNE6	Q9D0B1	100039227;100039293;278672	66056	Duxbl2	Znf524	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Rn:A0A0G2JUJ1	-
Q7TNE6	P61807	100039227;100039293;278672	20621	Duxbl2	Snn	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O75324;Rn:P61808	Dr:Q6P957
Q7TNE6	P14246	100039227;100039293;278672	20526	Duxbl2	Slc2a2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P11168;Ce:O44827;Rn:Q68FZ1	Dr:B0UY92
Q7TNE6	Q9Z1Z0	100039227;100039293;278672	56041	Duxbl2	Uso1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O60763;Ce:G5EGG0;Dm:Q9W3N6;Rn:P41542	-
Q7TNE6	Q8R5F3	100039227;100039293;278672	106821	Duxbl2	Oard1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9Y530	Dm:Q9VP69;Dr:Q503C5;Rn:A0A0G2K831
Q7TNE6	Q69Z99	100039227;100039293;278672	269639	Duxbl2	Znf512	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96ME7;Rn:D3ZIF0	-
Q7TNE6	Q922R5	100039227;100039293;278672	104570	Duxbl2	Ppp4r3b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q5MIZ7;Rn:D3ZCR4	-
Q7TNE6	A8Y5H7	100039227;100039293;278672	74136	Duxbl2	Sec14l1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q92503;Rn:D3ZKG3	-
Q7TNE6	P53996	100039227;100039293;278672	12785	Duxbl2	Cnbp	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P62633;Dr:E7FCQ0;Dr:F1Q6Z5;Rn:P62634	-
Q7TNE6	P29352	100039227;100039293;278672	19260	Duxbl2	Ptpn22	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Rn:D4A2D5	Hs:A0A0B4J1S7
Q7TNE6	Q80Y84	100039227;100039293;278672	75605	Duxbl2	Kdm5b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9UGL1;Rn:A0A0G2K6G9	-
Q7TNE6	Q9EQN9	100039227;100039293;278672	116914	Duxbl2	Slc19a2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O60779;Dr:E7F340;Rn:F1LNC9	-
Q7TNE6	Q14BA6	100039227;100039293;278672	70717	Duxbl2	Medag	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q5VYS4	Rn:D3ZTT1
Q7TNE6	Q3UKJ7	100039227;100039293;278672	74255	Duxbl2	Smu1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q2TAY7;Ce:G5EEG7;Dm:Q9VE18;Dr:F1QKC0;Rn:G3V702	-
Q7TNE6	Q8C0Q4	100039227;100039293;278672	208583	Duxbl2	Nek11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Dr:F6NJG8	Rn:D4A3H8
Q7TNE6	O35732	100039227;100039293;278672	12633	Duxbl2	Cflar	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O15519;Dr:F1R706;Rn:C0H5Y5	-
Q7TNE6	E9Q4R4	100039227;100039293;278672	382019	Duxbl2	Zfp882	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Ce:Q20709	Rn:F1M4E4
Q7TNE6	Q3TVI4	100039227;100039293;278672	71059	Duxbl2	Hexim2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96MH2;Rn:B2RZ69	-
Q7TNE6	D3YXI6	100039227;100039293;278672	67956	Duxbl2	Kmt5a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q7TNE6	Q6PFH3	100039227;100039293;278672	212123	Duxbl2	Dcaf15	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q66K64;Dr:E7F3Z0;Rn:D3ZFW6	-
Q7TNE6	Q99NH0	100039227;100039293;278672	81702	Duxbl2	Ankrd17	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O75179;Rn:A0A0G2JVW3	-
Q7TNE6	O35250	100039227;100039293;278672	53413	Duxbl2	Exoc7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9UPT5;Ce:P91149;Dm:Q9VSJ8;Sc:P19658	Dr:U3JAN6;Rn:O54922
Q7TNE6	Q03385	100039227;100039293;278672	19730	Duxbl2	Ralgds	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q12967;Hs:A0A2R8Y471;Rn:F1LN84	-
Q7TNE6	Q7TT18	100039227;100039293;278672	54343	Duxbl2	Atf7ip	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q6VMQ6	Rn:D3ZS88
Q7TNE6	Q7TNP2	100039227;100039293;278672	73699	Duxbl2	Ppp2r1b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q7TNE6	P33434	100039227;100039293;278672	17390	Duxbl2	Mmp2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P08253	Dr:Q6DG10;Rn:E9PSM5
Q7TNE6	C0HKE2	100039227;100039293;278672	319164;319165;319166;319167;319170;319171;319172;319191;665433	Duxbl2	H2ac6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q7TNE6	A2A590	100039227;100039293;278672	69664	Duxbl2	Krtap1-5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q7TNE6	Q8CIA9	100039227;100039293;278672	66631	Duxbl2	Mfsd14b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q5SR56;Rn:B2RYH9	-
Q7TNE6	Q8C3Y4	100039227;100039293;278672	208628	Duxbl2	Kntc1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P50748;Dm:Q9V9W7;Dr:A0A0R4IHW6;Rn:D3ZVJ3	-
Q7TNE6	Q9Z2W1	100039227;100039293;278672	59041	Duxbl2	Stk25	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O00506;Ce:Q11112;Dr:Q7ZVG8;Rn:Q6V9V9	-
Q7TNE6	C0HKE7	100039227;100039293;278672	319164;319165;319166;319167;319170;319171;319172;319191;665433	Duxbl2	Hist1h2an	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q7TNE6	Q78YZ6	100039227;100039293;278672	56367	Duxbl2	Scoc	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9UIL1;Dr:A0A0H2UKD1;Rn:Q5RJZ6	-
Q7TNE6	G3X983	100039227;100039293;278672	382117	Duxbl2	Tcaim	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8N3R3;Ce:Q7JPI4;Dm:Q9VRT6;Dm:Q9W4Z5;Dr:F1QHT7;Rn:P0DKR2	-
Q7TNE6	P84228	100039227;100039293;278672	15077;260423;319148;319149;319150;319151;319154;97114	Duxbl2	H3c2;H3c3;H3c4;H3c6;H3c7;H3c13;H3c14;H3c15	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q7TNE6	Q63918	100039227;100039293;278672	20324	Duxbl2	Cavin2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O95810;Dr:F1Q688;Rn:Q66H98	-
Q7TNE6	Q7TQF2	100039227;100039293;278672	269529	Duxbl2	Fbxo10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9UK96;Dr:E7F5M1	Rn:D3ZVN3
Q7TNE6	Q04887	100039227;100039293;278672	20682	Duxbl2	Sox9	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P48436;Dr:Q9DFH2;Rn:F1LYL9	-
Q7TNE6	Q80TQ2	100039227;100039293;278672	74256	Duxbl2	Cyld	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9NQC7;Rn:F1LPJ6	Dr:F8W5E2
Q7TNE6	Q8R3C6	100039227;100039293;278672	74111	Duxbl2	Rbm19	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9Y4C8;Ce:Q9XU67;Dm:Q9VT19;Dr:F1QF98;Rn:D3ZHU8;Sc:Q06106	-
Q7TNE6	Q8K354	100039227;100039293;278672	109857	Duxbl2	Cbr3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O75828;Rn:B2GV72	-
Q7TNE6	Q8BGN2	100039227;100039293;278672	73852	Duxbl2	D3Ertd751e	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8N1A6;Ce:Q18357;Dr:F1Q6V3;Rn:Q5M845	-
Q7TNE6	Q9CR89	100039227;100039293;278672	67456	Duxbl2	Ergic2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96RQ1;Dm:M9PGB8;Dr:Q7T2D4;Rn:A0A0G2JYN4;Sc:Q04651	-
Q7TNE6	Q9CQ88	100039227;100039293;278672	67125	Duxbl2	Tspan31	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q12999;Rn:Q5U1V9	Dr:Q7ZUB3
Q7TNE6	P31996	100039227;100039293;278672	12514	Duxbl2	Cd68	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q7TNE6	P47199	100039227;100039293;278672	12972	Duxbl2	Cryz	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q08257;Ce:O45496;Dr:A5PN39;Rn:Q6AYT0	-
Q7TNE6	Q8CB65	100039227;100039293;278672	227094	Duxbl2	Nemp2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:A6NFY4;Rn:P0C8N6	-
Q7TNE6	Q9D7H4	100039227;100039293;278672	69534	Duxbl2	Avpi1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q5T686;Rn:F1LRX4	-
