UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q6VMQ6	Q5T013	55729	81888	ATF7IP	HYI	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q7KMH9;Mm:Q7TT18	Rn:D3ZS88	Dm:P36951;Mm:E9QLT0;Rn:F1LZJ4	Ce:Q11185;Dr:X1WC35
Q6VMQ6	O15235	55729	6183	ATF7IP	MRPS12	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q7KMH9;Mm:Q7TT18	Rn:D3ZS88	Ce:Q9XTY5;Dm:P10735;Dr:E7F8G8;Mm:O35680;Rn:D3ZQX3;Sc:P53732	-
Q6VMQ6	P35613	55729	682	ATF7IP	BSG	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q7KMH9;Mm:Q7TT18	Rn:D3ZS88	Mm:P18572;Rn:P26453	-
Q6VMQ6	Q13214	55729	7869	ATF7IP	SEMA3B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q7KMH9;Mm:Q7TT18	Rn:D3ZS88	-	-
Q6VMQ6	Q96LU7	55729	196446	ATF7IP	MYRFL	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q7KMH9;Mm:Q7TT18	Rn:D3ZS88	Ce:G5EFI7;Ce:D9PTN5;Mm:Q3UN70	Rn:F1LUC2
Q6VMQ6	Q9HDC9	55729	57136	ATF7IP	APMAP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q7KMH9;Mm:Q7TT18	Rn:D3ZS88	Ce:O62265;Ce:Q22437;Ce:O62040;Dm:Q9VAQ9;Dr:A0A0R4I9A0;Mm:Q9D7N9	Rn:A0A0G2K6G2
Q6VMQ6	Q14094	55729	10983	ATF7IP	CCNI	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q7KMH9;Mm:Q7TT18	Rn:D3ZS88	Ce:H2KZJ3;Dr:Q6NUZ7;Mm:Q9Z2V9;Rn:D4A5E4	-
Q6VMQ6	P51149	55729	7879	ATF7IP	RAB7A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q7KMH9;Mm:Q7TT18	Rn:D3ZS88	Dm:O76742;Mm:P51150;Rn:P09527;Sc:P32939	Ce:I7FN66;Dr:Q7T2C6
Q6VMQ6	Q13952	55729	4802	ATF7IP	NFYC	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q7KMH9;Mm:Q7TT18	Rn:D3ZS88	Dr:Q7ZVY3;Mm:P70353	Rn:Q62725
Q6VMQ6	Q9P246	55729	57620	ATF7IP	STIM2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q7KMH9;Mm:Q7TT18	Rn:D3ZS88	-	-
Q6VMQ6	Q9NR16	55729	283316	ATF7IP	CD163L1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q7KMH9;Mm:Q7TT18	Rn:D3ZS88	-	-
Q6VMQ6	Q9HAT2	55729	54414	ATF7IP	SIAE	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q7KMH9;Mm:Q7TT18	Rn:D3ZS88	Mm:P70665;Rn:A0A0A0MY22	Dr:Q1LUX8
Q6VMQ6	Q9H2L5	55729	83937	ATF7IP	RASSF4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q7KMH9;Mm:Q7TT18	Rn:D3ZS88	Dr:B8JII7;Mm:Q8CB96;Rn:Q566C5	-
