UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9NQV5	O75643	56981	23020	PRDM11	SNRNP200	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q9U2G0;Dm:Q9VUV9;Mm:Q6P4T2;Rn:M3ZCQ2;Sc:P32639	Dr:B0S754
Q9NQV5	Q9H082	56981	83452	PRDM11	RAB33B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9NQV5	P49903	56981	22929	PRDM11	SEPHS1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q7ZW38;Mm:Q8BH69;Rn:D3ZFY0	-
Q9NQV5	Q5H9S7	56981	80067	PRDM11	DCAF17	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:A8WHR0;Mm:Q3TUL7;Rn:A0A140TAE5	-
Q9NQV5	O95602	56981	25885	PRDM11	POLR1A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:G5ED21;Mm:O35134;Rn:G3V7B7;Sc:P10964	Dr:A0A0R4IPG4
Q9NQV5	Q6DJT9	56981	5324	PRDM11	PLAG1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q29YB2;Mm:Q9QYE0	Rn:Q5U2T6
Q9NQV5	Q6PKC3	56981	51061	PRDM11	TXNDC11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VSG9;Dr:A0A0R4IQE1;Mm:Q8K2W3;Rn:B2RYB1	-
Q9NQV5	Q99417	56981	26292	PRDM11	MYCBP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9NQV5	Q08AD1	56981	23271	PRDM11	CAMSAP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Rn:D4AEC2	Mm:A0A0A6YY67
Q9NQV5	O43164	56981	9867	PRDM11	PJA2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q80U04	Rn:Q63364
Q9NQV5	Q93097	56981	7482	PRDM11	WNT2B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:B0S7E3;Mm:O70283;Rn:G3V7U3	-
Q9NQV5	Q86YJ5	56981	92979	PRDM11	MARCHF9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q3TZ87;Rn:M0RDZ7	-
Q9NQV5	Q9BUR5	56981	79135	PRDM11	APOO	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9DCZ4;Rn:M0R7V3	-
Q9NQV5	B4DSR2	56981	-	PRDM11	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9NQV5	Q96KS0	56981	112398	PRDM11	EGLN2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q91YE2;Rn:Q6AYU4	-
Q9NQV5	Q14582	56981	10608	PRDM11	MXD4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:E7F6Q1;Mm:Q91VN7;Rn:A0A096MIW8	-
Q9NQV5	P15918	56981	5896	PRDM11	RAG1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1QD74;Mm:P15919	Rn:G3V6K9
Q9NQV5	Q9UNZ5	56981	28974	PRDM11	C19orf53	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q24JV4;Mm:Q8R1F0;Rn:G3V6C7	Rn:A0A0G2KAB3
Q9NQV5	Q9BT25	56981	93323	PRDM11	HAUS8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:A0A2R8QND7;Mm:Q99L00;Rn:Q5BK57	-
Q9NQV5	P54920	56981	8775	PRDM11	NAPA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9DB05;Rn:P54921	Dr:Q7T2F5
Q9NQV5	Q16378	56981	11272	PRDM11	PRR4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9NQV5	P26358	56981	1786	PRDM11	DNMT1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1RCN0;Mm:P13864;Rn:F1LQT9	-
Q9NQV5	Q13601	56981	11103	PRDM11	KRR1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:O16311;Dm:Q9VPU8;Dr:F1R1V6;Mm:Q8BGA5;Rn:A1A5R3;Sc:P25586	-
Q9NQV5	Q9BWD3	56981	26071	PRDM11	RTL8A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9NQV5	Q86SX3	56981	283643	PRDM11	TEDC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:E7F7J2;Mm:Q3UK37;Rn:D4A8N6	-
Q9NQV5	O75116	56981	9475	PRDM11	ROCK2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q90Y37;Mm:F8VPK5;Rn:A0A0G2K5N6	-
Q9NQV5	Q9NVP2	56981	55723	PRDM11	ASF1B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9DAP7;Rn:B0BN69	-
Q9NQV5	Q9NUP1	56981	55330	PRDM11	BLOC1S4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VTC2;Dr:A3KQK3;Mm:Q8VED2;Rn:G3V6R9	-
Q9NQV5	Q96T58	56981	23013	PRDM11	SPEN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1QMN6;Rn:F1M455	Mm:A2ADB0
Q9NQV5	Q9NXB0	56981	54903	PRDM11	MKS1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:A3QK09;Mm:Q5SW45;Rn:F1LSL4	-
Q9NQV5	Q8NEZ3	56981	57728	PRDM11	WDR19	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:G5ECZ4;Dm:A1ZBM3;Mm:Q3UGF1;Rn:F1LV01	Dr:E7FGG5
Q9NQV5	Q9UEE9	56981	10428	PRDM11	CFDP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:A3KPL8;Mm:O88271;Rn:Q75UQ2	-
Q9NQV5	Q96MT1	56981	153830	PRDM11	RNF145	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9NQV5	Q9H0Y0	56981	83734	PRDM11	ATG10	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:A0A0R4J029;Rn:D4A9K6	Dr:A0A0R4IWH6
Q9NQV5	Q9BVS5	56981	55006	PRDM11	TRMT61B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:X1WF30	-
Q9NQV5	Q6P587	56981	81889	PRDM11	FAHD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:P34673;Dm:Q9VDE2;Dr:F1Q6L1;Mm:Q8R0F8;Rn:Q6AYQ8;Sc:P53889	-
Q9NQV5	Q8IU60	56981	167227	PRDM11	DCP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9CYC6	Rn:M0RBQ1;Rn:A0A096MJT7;Rn:A0A0G2QC37
Q9NQV5	Q99426	56981	1155	PRDM11	TBCB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9NQV5	Q9H9L4	56981	54934	PRDM11	KANSL2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9NQV5	Q7Z4P5	56981	151449	PRDM11	GDF7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1QLZ2;Mm:P43029	Rn:F1MAE8
Q9NQV5	Q8WVS4	56981	55112	PRDM11	WDR60	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q7JR82;Dr:A0A1D5NS24;Mm:Q8C761;Rn:A0A0G2K1X3	-
Q9NQV5	Q9BQA5	56981	25988	PRDM11	HINFP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:O45494;Dm:Q9W5E6;Dr:A2BFS7;Mm:Q8K1K9	Rn:D3ZAT1
Q9NQV5	Q07352	56981	677	PRDM11	ZFP36L1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q6P3H0;Mm:P23950;Rn:P17431	Dr:F1RCP3
Q9NQV5	Q9H4Z3	56981	63935	PRDM11	PCIF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VPB7;Mm:P59114;Rn:D4A417	Dr:A0A0R4IKJ1
Q9NQV5	Q8TF21	56981	170961	PRDM11	ANKRD24	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F6P805;Mm:Q80VM7	Rn:D3ZCC5
Q9NQV5	Q86XK3	56981	119392	PRDM11	SFR1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:B7ZD04;Mm:Q8BP27	Rn:A0A0H2UHK0
Q9NQV5	O60486	56981	10154	PRDM11	PLXNC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9QZC2;Rn:D4A7M0	Dr:Q5RGW1
Q9NQV5	P24347	56981	4320	PRDM11	MMP11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1RA45;Mm:Q02853	Dr:E7FCZ5;Rn:Q499S5
Q9NQV5	Q13610	56981	11137	PRDM11	PWP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:A1Z8D0;Mm:Q99LL5;Rn:D4A1H8;Sc:P21304	Ce:Q9NAQ2;Dr:Q7ZWE1
Q9NQV5	O75964	56981	10632	PRDM11	ATP5MG	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9NQV5	Q2YD98	56981	57654	PRDM11	UVSSA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q23088;Dr:E7EXT2;Mm:Q9D479;Rn:A0A096P6L4	-
