UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8IV16	P14174	338328	4282	GPIHBP1	MIF	inferred by curator	29087512;20383199	Homo sapiens	TRRUST	Yes	-	-	Ce:Q9U228;Mm:P34884;Rn:D3ZE63	Dr:Q0ZBR7;Rn:D4A3P7;Rn:P30904
Q8IV16	P14598	338328	653361	GPIHBP1	NCF1	inferred by curator	18258815;29087512;15024088	Homo sapiens	TRRUST	Yes	-	-	Dr:A2BFP2;Rn:F1M707	Mm:F8WH69
Q8IV16	P03971	338328	268	GPIHBP1	AMH	inferred by curator	29087512;20383199	Homo sapiens	TRRUST	Yes	-	-	Mm:Q5EC55	Dr:A8E7B8;Rn:P49000
Q8IV16	P38936	338328	1026	GPIHBP1	CDKN1A	chromatin immunoprecipitation assay;inferred by curator	10030670;29087512;29126285	Homo sapiens	ReMap;TRRUST	Yes	-	-	Mm:P39689;Rn:Q64315	Dr:A5WWG3
Q8IV16	P26358	338328	1786	GPIHBP1	DNMT1	chromatin immunoprecipitation assay;inferred by curator	29087512;29126285;23249948	Homo sapiens	ReMap;TRRUST	Yes	-	-	Dr:F1RCN0;Mm:P13864;Rn:F1LQT9	-
Q8IV16	Q9NX07	338328	54952	GPIHBP1	TRNAU1AP	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Dm:Q8SXG7;Mm:Q80VC6;Rn:A0A0G2JZ46	Dr:Q503H1
Q8IV16	Q5MNZ9	338328	55062	GPIHBP1	WIPI1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Dm:Q9VIE1;Dr:B0S7L1;Mm:Q8R3E3;Rn:B2RYM2	-
Q8IV16	Q9ULK2	338328	222255	GPIHBP1	ATXN7L1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	-	Mm:F7C0E4;Rn:F1M9V0
Q8IV16	P02585	338328	7125	GPIHBP1	TNNC2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Mm:P20801	Dr:Q9I8U8;Rn:Q304F3
Q8IV16	Q14584	338328	10781	GPIHBP1	ZNF266	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	-	-
Q8IV16	P49703	338328	379	GPIHBP1	ARL4D	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Dr:Q6P5L0;Mm:Q99PE9;Rn:B2RZ70	-
Q8IV16	Q96GA3	338328	84946	GPIHBP1	LTV1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Ce:O02327;Dm:Q7KN79;Mm:Q6NSQ7;Rn:Q68FR7	Dr:F1R9T9
Q8IV16	Q6P3W7	338328	55681	GPIHBP1	SCYL2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	-	-
Q8IV16	A0A0U1RR37	338328	-	GPIHBP1	C1orf232	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Rn:A0A0G2K128	Dr:A0A0G2L4T6;Mm:A0A0U1RNT7
Q8IV16	H3BRB1	338328	-	GPIHBP1	-	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	-	-
Q8IV16	Q8NHZ8	338328	246184	GPIHBP1	CDC26	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Dr:Q68EK9;Mm:Q99JP4;Rn:Q6YDN7	-
Q8IV16	Q9UQL6	338328	10014	GPIHBP1	HDAC5	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Mm:B7ZDF5	Dr:X1WED5;Rn:F1LM64
Q8IV16	Q8WXD5	338328	79833	GPIHBP1	GEMIN6	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Dr:A0A140LG88;Mm:Q9CX53;Rn:G3V972	-
Q8IV16	P83916	338328	10951	GPIHBP1	CBX1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Ce:G5EET5;Dm:Q9W396;Dr:Q6IQ71;Mm:P83917;Rn:D4A3T3	Ce:G5EDE2
Q8IV16	Q9BS26	338328	23071	GPIHBP1	ERP44	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Ce:Q304D5;Dm:Q95TL8;Dr:Q6P3G9;Mm:Q9D1Q6;Rn:Q5VLR5	-
Q8IV16	O94776	338328	9219	GPIHBP1	MTA2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Mm:Q9R190;Rn:B2GV01	Dr:F1R6T0
