UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8C796	Q3UZ09	104383	232371	Rcor2	C1rl	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IZ40;Dr:Q6P116;Rn:Q5FWT8	-	Hs:Q9NZP8;Rn:F1LP96	-
Q8C796	P70279	104383	20935	Rcor2	Surf6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IZ40;Dr:Q6P116;Rn:Q5FWT8	-	Hs:O75683;Dr:Q6DRK9	Rn:Q5BJZ4
Q8C796	Q61136	104383	19134	Rcor2	Prpf4b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IZ40;Dr:Q6P116;Rn:Q5FWT8	-	Hs:Q13523;Dm:Q9VP22;Dr:B0V1K6;Rn:Q5RKH1	-
Q8C796	A0A0R4J0F2	104383	74249	Rcor2	Lrrc2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IZ40;Dr:Q6P116;Rn:Q5FWT8	-	Hs:Q9BYS8;Rn:Q5U2S4	-
Q8C796	Q3UE92	104383	170750	Rcor2	Xpnpep1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IZ40;Dr:Q6P116;Rn:Q5FWT8	-	-	-
Q8C796	Q8BWY7	104383	69806	Rcor2	Slc39a11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IZ40;Dr:Q6P116;Rn:Q5FWT8	-	Hs:Q8N1S5;Ce:P91354;Dm:Q8SWW2;Rn:Q6P6S2	-
Q8C796	Q9CZD0	104383	67096	Rcor2	Mmachc	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IZ40;Dr:Q6P116;Rn:Q5FWT8	-	Hs:Q9Y4U1;Ce:Q7Z144;Dr:F1QZ86;Rn:D4A729	-
Q8C796	Q8C0P7	104383	98403	Rcor2	Znf451	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IZ40;Dr:Q6P116;Rn:Q5FWT8	-	Hs:Q9Y4E5;Rn:G3V7N7	-
Q8C796	Q8BGT1	104383	71436	Rcor2	Flrt3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IZ40;Dr:Q6P116;Rn:Q5FWT8	-	Hs:Q9NZU0;Dr:B8A507;Rn:A0A0H2UHD5	-
Q8C796	P62806	104383	100041230;319155;319156;319157;319158;319159;319160;319161;320332;326619;326620;69386;97122	Rcor2	H4c1;H4c2;H4c3;H4c4;H4c6;H4c8;H4c9;H4c11;H4c12;Hist1h4m;H4c14;H4f16	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IZ40;Dr:Q6P116;Rn:Q5FWT8	-	-	-
