UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9BYN7	Q9UPS6	84905	23067	ZNF341	SETD1B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	Dr:F1Q6L6;Mm:Q8CFT2	Rn:F1LWJ1
Q9BYN7	P20393	84905	9572	ZNF341	NR1D1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	Mm:Q3UV55;Rn:G3V770	-
Q9BYN7	O95271	84905	8658	ZNF341	TNKS	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	Dr:E9QD73;Mm:Q6PFX9;Rn:D3Z8Q6	-
Q9BYN7	Q15369	84905	6921	ZNF341	ELOC	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	Dm:Q7JWD6;Dr:Q66IB1;Dr:Q502M9;Mm:P83940;Rn:P83941;Sc:Q03071	Ce:Q9BKS1;Rn:A0A096MIY6
Q9BYN7	Q01892	84905	6689	ZNF341	SPIB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	-	-
Q9BYN7	P40967	84905	6490	ZNF341	PMEL	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	Dr:F1R9D2;Mm:Q9CZB2;Rn:D3ZED8	Dr:B8A520
Q9BYN7	O43708	84905	2954	ZNF341	GSTZ1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	-	-
Q9BYN7	P57727	84905	64699	ZNF341	TMPRSS3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	Mm:Q8K1T0;Rn:D3ZY65	-
Q9BYN7	O14613	84905	10435	ZNF341	CDC42EP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	Dr:Q5BKX1;Mm:Q8JZX9;Rn:Q5PQP4	-
Q9BYN7	Q6PI98	84905	125476	ZNF341	INO80C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	Mm:Q8BHA0;Rn:Q5BJY3	-
Q9BYN7	Q6PIY7	84905	167153	ZNF341	TENT2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	Dr:A0A0R4IRV1;Mm:Q91YI6;Rn:Q5U315	Ce:P91361
Q9BYN7	Q01668	84905	776	ZNF341	CACNA1D	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	Rn:F1LNB7	Mm:A0A2C9F2E5
Q9BYN7	O94905	84905	11160	ZNF341	ERLIN2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	Dr:A3QK16;Mm:Q8BFZ9;Rn:B5DEH2	-
Q9BYN7	Q8TCX1	84905	51626	ZNF341	DYNC2LI1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	Ce:Q19119;Dm:Q9VLB9;Dr:F1R764;Mm:Q8K0T2;Rn:Q6AY43	-
Q9BYN7	P39687	84905	8125	ZNF341	ANP32A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	Mm:O35381;Rn:F7EL36	Rn:A0A0G2K7X0
Q9BYN7	Q5QNW6	84905	440689	ZNF341	H2BC18	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	-	-
Q9BYN7	Q9Y2J4	84905	51421	ZNF341	AMOTL2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	Dr:A1YB07	Mm:B8JK87;Rn:A0A0G2KAV3
Q9BYN7	Q6ZWK4	84905	440712	ZNF341	RHEX	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	-	-
Q9BYN7	Q16531	84905	1642	ZNF341	DDB1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	Ce:Q21554;Dm:Q9XYZ5;Mm:Q3U1J4;Rn:G3V8T4	-
Q9BYN7	Q9Y4Y9	84905	23658	ZNF341	LSM5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A0A0R4IQE7;Mm:Q6PGC9	-	Ce:O18694;Dm:Q9VRT7;Dr:A7E2L8;Mm:P62322;Rn:D3ZBJ0;Sc:P40089	Rn:D3ZD76
