UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9CWR2	Q8VCX2	69726	228875	Smyd3	Slc35c2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9H7B4;Dm:Q9W4X8;Dr:E7EZZ6	-	Hs:Q9NQQ7;Ce:Q9N3S9;Dm:Q9VZP2;Rn:B2RYM9;Sc:Q03697	Dr:F1R7R7
Q9CWR2	B1AWD9	69726	12757	Smyd3	Clta	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9H7B4;Dm:Q9W4X8;Dr:E7EZZ6	-	Hs:P09496;Ce:P90961;Rn:P08081	Dr:E7F1Q8
Q9CWR2	P39053	69726	13429	Smyd3	Dnm1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9H7B4;Dm:Q9W4X8;Dr:E7EZZ6	-	Hs:Q05193;Rn:P21575	-
Q9CWR2	Q9Z0P5	69726	23999	Smyd3	Twf2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9H7B4;Dm:Q9W4X8;Dr:E7EZZ6	-	Hs:Q6IBS0;Rn:B0BMY7	-
Q9CWR2	Q9CZU3	69726	72198	Smyd3	Mtrex	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9H7B4;Dm:Q9W4X8;Dr:E7EZZ6	-	Hs:P42285;Ce:Q23223;Dm:Q9Y134;Rn:D4AE49;Sc:P47047	-
Q9CWR2	Q8R0Z5	69726	246696	Smyd3	Slc25a28	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9H7B4;Dm:Q9W4X8;Dr:E7EZZ6	-	Hs:Q96A46;Dr:B8A686;Rn:G3V865	-
Q9CWR2	Q3U108	69726	214855	Smyd3	Arid5a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9H7B4;Dm:Q9W4X8;Dr:E7EZZ6	-	Hs:Q03989;Rn:A0A0G2K0Q5	-
Q9CWR2	Q61490	69726	11658	Smyd3	Alcam	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9H7B4;Dm:Q9W4X8;Dr:E7EZZ6	-	Hs:Q13740;Dr:F1QE54;Rn:O35112	Dr:F1QD88
Q9CWR2	Q8C050	69726	73086	Smyd3	Rps6ka5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9H7B4;Dm:Q9W4X8;Dr:E7EZZ6	-	Hs:O75582;Dr:E7FE05;Rn:A0A0G2K366	-
Q9CWR2	F8VQ05	69726	72313	Smyd3	Fryl	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9H7B4;Dm:Q9W4X8;Dr:E7EZZ6	-	Hs:O94915;Rn:D3ZQY4	-
