UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9UGU5	Q9UK53	10042	3621	HMGXB4	ING1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B0UXS3;Mm:Q80Y32;Rn:D4A2N0	-	Dm:Q9VEF5;Mm:Q9QXV3;Sc:P50947	Rn:G3V7V1
Q9UGU5	Q7RTS1	10042	168620	HMGXB4	BHLHA15	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B0UXS3;Mm:Q80Y32;Rn:D4A2N0	-	Mm:Q9QYC3;Rn:P70562	-
Q9UGU5	Q9H3C7	10042	79893	HMGXB4	GGNBP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B0UXS3;Mm:Q80Y32;Rn:D4A2N0	-	Mm:Q5SV77	Rn:A0A0G2K6D9
Q9UGU5	Q86WT6	10042	140691	HMGXB4	TRIM69	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B0UXS3;Mm:Q80Y32;Rn:D4A2N0	-	Mm:Q80X56	Rn:Q5BK82
Q9UGU5	Q9BX10	10042	54676	HMGXB4	GTPBP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B0UXS3;Mm:Q80Y32;Rn:D4A2N0	-	Ce:Q22174;Dr:Q1LXN6;Mm:Q3UJK4;Rn:D4ABV1	-
Q9UGU5	Q8N6M6	10042	84909	HMGXB4	AOPEP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B0UXS3;Mm:Q80Y32;Rn:D4A2N0	-	Dr:B0V1A5;Mm:Q3UQZ7;Rn:F1LRV1	-
Q9UGU5	Q16763	10042	27338	HMGXB4	UBE2S	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B0UXS3;Mm:Q80Y32;Rn:D4A2N0	-	Dm:Q9VX25;Dr:Q4V908;Mm:Q921J4;Rn:B5DFI8	Mm:A0A6I8MX03
Q9UGU5	Q08999	10042	5934	HMGXB4	RBL2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B0UXS3;Mm:Q80Y32;Rn:D4A2N0	-	Dr:E7FDM3;Mm:Q64700;Rn:G3V7P7	-
Q9UGU5	O14744	10042	10419	HMGXB4	PRMT5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B0UXS3;Mm:Q80Y32;Rn:D4A2N0	-	Ce:P46580;Dm:Q9U6Y9;Dr:B0R026;Mm:A0A0R4J049;Rn:D4A0E8;Sc:P38274	-
Q9UGU5	P09105	10042	3049	HMGXB4	HBQ1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B0UXS3;Mm:Q80Y32;Rn:D4A2N0	-	Mm:Q3U0A6;Mm:Q8BYM1;Rn:D4A021	Dr:F6P497
Q9UGU5	O95178	10042	4708	HMGXB4	NDUFB2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B0UXS3;Mm:Q80Y32;Rn:D4A2N0	-	Dr:Q6PBN0;Mm:Q9CPU2;Rn:B2RYU0	-
Q9UGU5	Q9P2K6	10042	57542	HMGXB4	KLHL42	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B0UXS3;Mm:Q80Y32;Rn:D4A2N0	-	Dr:Q5RGJ4;Mm:Q8BFQ9;Rn:D4A9Z3	-
Q9UGU5	P24723	10042	5583	HMGXB4	PRKCH	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B0UXS3;Mm:Q80Y32;Rn:D4A2N0	-	Dr:B1H1I7;Mm:P23298;Rn:Q64617	-
