UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8BGU5	Q5IBH7	67974	70891	Ccny	Spdya	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Hs:Q5MJ70;Rn:Q8R496	-
Q8BGU5	Q8C5G2	67974	226841	Ccny	Vash2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Hs:Q86V25	Dr:U3JAF6
Q8BGU5	Q8BH65	67974	211922	Ccny	Dennd6a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Hs:Q8IWF6;Rn:D4A544	-
Q8BGU5	Q99NF3	67974	83922	Ccny	Cep41	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Hs:Q9BYV8;Dr:Q6GQN0	Rn:A0A096MJP4
Q8BGU5	Q99PU8	67974	72831	Ccny	Dhx30	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	-	-
Q8BGU5	Q91YT0	67974	17995	Ccny	Ndufv1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Hs:P49821;Ce:Q17880;Dm:Q9VMI3;Rn:Q5XIH3	Dr:Q6AZA2
Q8BGU5	Q9D5L7	67974	74646	Ccny	Spsb1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Hs:Q96BD6;Dr:Q4V8W1;Rn:B0BMX8	-
Q8BGU5	P19096	67974	14104	Ccny	Fasn	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Hs:P49327;Ce:P91871;Dr:E7F5V3;Rn:P12785	Dm:Q9VQL6
Q8BGU5	Q8VC85	67974	67207	Ccny	Lsm1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Hs:O15116;Ce:Q20229;Dm:Q9W2K2;Rn:D3ZWB1	Dr:Q6DBW5
Q8BGU5	Q3U3S3	67974	-	Ccny	Cenpl	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	-	-
Q8BGU5	O35435	67974	56749	Ccny	Dhodh	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Hs:Q02127;Ce:O01815;Dm:P32748;Rn:Q63707;Sc:P28272	Dr:F1QNH4
Q8BGU5	F6ZDS4	67974	108989	Ccny	Tpr	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Hs:P12270;Dm:A1Z8P9;Dr:Q5RI09;Rn:F1MA98	-
Q8BGU5	Q811C2	67974	242557	Ccny	Atg4c	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Hs:Q96DT6;Dr:Q6IQ96;Sc:P53867	Rn:F1M3M0
Q8BGU5	Q6XUX1	67974	213452	Ccny	Dstyk	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Hs:Q6XUX3;Dr:Q4VSN1;Rn:Q6XUX2	-
Q8BGU5	Q9Z131	67974	24056	Ccny	Sh3bp5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Hs:O60239;Rn:Q91Y80	Dr:A0A0R4IGN6
Q8BGU5	P23949	67974	12193	Ccny	Zfp36l2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Hs:P47974;Rn:D3ZHK9	Rn:M0RBK3
Q8BGU5	E9PUZ5	67974	18693	Ccny	Pick1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Ce:O18246	-
Q8BGU5	O54992	67974	17165	Ccny	Mapkapk5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	-	-
Q8BGU5	Q8C790	67974	231946	Ccny	Fam221a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Hs:A4D161;Dr:E9QIF4;Rn:Q4V8D7	-
Q8BGU5	Q91V16	67974	67636	Ccny	Etfrf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Hs:Q6IPR1;Ce:Q7YWR3;Dm:Q9VJG4;Dr:Q503U1	Dr:A3KNJ8;Rn:D4AD58
Q8BGU5	Q8BFV2	67974	234069	Ccny	Pcid2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8ND76;Ce:P34624;Dr:E7F3H3;Rn:F1MA89	-	Hs:Q5JVF3;Ce:Q95QU0;Dm:Q9VTL1;Dr:F1QPP5;Rn:F1MAF5;Sc:P47130	-
