UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9Y5B9	Q9ULW5	11198	25837	SUPT16H	RAB26	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9N5R9;Dm:Q8IRG6;Mm:G3X956;Rn:D4A4J0;Sc:P32558	-	Ce:G5EFA6;Mm:Q504M8;Rn:P51156	-
Q9Y5B9	Q02447	11198	6670	SUPT16H	SP3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9N5R9;Dm:Q8IRG6;Mm:G3X956;Rn:D4A4J0;Sc:P32558	-	Mm:O70494;Rn:A0A0G2K5M1	Dr:B0R082
Q9Y5B9	P80217	11198	3430	SUPT16H	IFI35	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9N5R9;Dm:Q8IRG6;Mm:G3X956;Rn:D4A4J0;Sc:P32558	-	Mm:Q9D8C4	Rn:Q5M849
Q9Y5B9	Q86SG6	11198	284086	SUPT16H	NEK8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9N5R9;Dm:Q8IRG6;Mm:G3X956;Rn:D4A4J0;Sc:P32558	-	-	-
Q9Y5B9	Q8WY64	11198	29116	SUPT16H	MYLIP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9N5R9;Dm:Q8IRG6;Mm:G3X956;Rn:D4A4J0;Sc:P32558	-	Dm:A0A0B4KFY0;Dr:Q6TEM9;Mm:Q8BM54;Rn:D3ZDI6	-
Q9Y5B9	Q9BUV0	11198	57035	SUPT16H	RSRP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9N5R9;Dm:Q8IRG6;Mm:G3X956;Rn:D4A4J0;Sc:P32558	-	Dr:B8A501;Mm:Q3UC65;Rn:Q5U2S0	-
Q9Y5B9	Q14393	11198	2621	SUPT16H	GAS6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9N5R9;Dm:Q8IRG6;Mm:G3X956;Rn:D4A4J0;Sc:P32558	-	Dr:F1QGG9;Mm:Q61592;Rn:Q63772	-
Q9Y5B9	P09493	11198	7168	SUPT16H	TPM1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9N5R9;Dm:Q8IRG6;Mm:G3X956;Rn:D4A4J0;Sc:P32558	-	-	-
Q9Y5B9	Q6Q0C0	11198	84231	SUPT16H	TRAF7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9N5R9;Dm:Q8IRG6;Mm:G3X956;Rn:D4A4J0;Sc:P32558	-	Dr:A1L1U9;Mm:F8WJF7;Rn:B1WBW7	-
Q9Y5B9	O00469	11198	5352	SUPT16H	PLOD2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q9N5R9;Dm:Q8IRG6;Mm:G3X956;Rn:D4A4J0;Sc:P32558	-	Dr:A4U7F9;Mm:Q9R0B9;Rn:D3ZQR7	-
