UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q921N8	Q3UWL8	56310	109054	Gps2	Pfdn4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13227;Dr:Q7SZ61;Rn:Q5XII2	-	Hs:Q9NQP4;Ce:Q17435;Dm:Q9VRL3;Dr:F1R0Z8;Rn:M0R5N4;Sc:P53900	-
Q921N8	Q9CQJ7	56310	30939	Gps2	Pttg1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13227;Dr:Q7SZ61;Rn:Q5XII2	-	Hs:Q9NZH5;Hs:O95997;Dr:B8A4J0;Rn:P97613	-
Q921N8	Q14AM7	56310	69053	Gps2	-	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13227;Dr:Q7SZ61;Rn:Q5XII2	-	Hs:Q14CZ0;Dr:A0A0R4I9A2;Dr:F1Q4T4;Rn:D3ZK25	-
Q921N8	Q80W47	56310	74781	Gps2	Wipi2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13227;Dr:Q7SZ61;Rn:Q5XII2	-	-	-
Q921N8	O08705	56310	20493	Gps2	Slc10a1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13227;Dr:Q7SZ61;Rn:Q5XII2	-	Hs:Q14973;Rn:P26435	Dr:Q5SPG0
Q921N8	Q6AXB7	56310	14265	Gps2	Fmr1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13227;Dr:Q7SZ61;Rn:Q5XII2	-	-	-
Q921N8	Q9WTP6	56310	11637	Gps2	Ak2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13227;Dr:Q7SZ61;Rn:Q5XII2	-	Hs:P54819;Ce:P34346;Dm:Q9U915;Rn:A0A0G2JSG6;Sc:P07170	Dr:A0A0F6PK88
Q921N8	Q3USZ8	56310	68861	Gps2	Dipk2a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13227;Dr:Q7SZ61;Rn:Q5XII2	-	Hs:Q8NDZ4;Dr:F1QBM7;Dr:A2CEC6;Rn:A0A0G2K1M5	-
Q921N8	F8VQL0	56310	17295	Gps2	Met	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13227;Dr:Q7SZ61;Rn:Q5XII2	-	Hs:P08581;Dr:F1QLR7	Rn:A0A0G2JY19
Q921N8	Q7TNF8	56310	207777	Gps2	Tspoap1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q13227;Dr:Q7SZ61;Rn:Q5XII2	-	Hs:O95153;Rn:F1LPI6	-
