UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9NUA8	O75503	9923	1203	ZBTB40	CLN5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6PCS8	Dr:E7F660;Rn:D4A365	Mm:Q3UMW8	Dr:E7F6N2;Rn:A0A0G2K6S0
Q9NUA8	Q5T4I8	9923	347744	ZBTB40	C6orf52	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6PCS8	Dr:E7F660;Rn:D4A365	Rn:D4AAN9	-
Q9NUA8	Q9NQH7	9923	63929	ZBTB40	XPNPEP3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6PCS8	Dr:E7F660;Rn:D4A365	Ce:O61710;Dm:Q9W5W7;Dr:A8KBZ9;Mm:B7ZMP1;Rn:G3V9W4;Sc:P40051	-
Q9NUA8	Q01085	9923	7073	ZBTB40	TIAL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6PCS8	Dr:E7F660;Rn:D4A365	Mm:P70318;Rn:Q5BJN3	Dr:Q7SXQ1
Q9NUA8	Q8IZ26	9923	80778	ZBTB40	ZNF34	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6PCS8	Dr:E7F660;Rn:D4A365	-	-
Q9NUA8	Q5VUM1	9923	135154	ZBTB40	SDHAF4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6PCS8	Dr:E7F660;Rn:D4A365	Mm:Q8BTE0;Rn:D4A7Q3	-
Q9NUA8	Q9BV10	9923	79087	ZBTB40	ALG12	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6PCS8	Dr:E7F660;Rn:D4A365	Dm:Q9VH78;Mm:Q8VDB2;Rn:B1WBY3;Sc:P53730	Ce:Q23361
Q9NUA8	Q9ULG1	9923	54617	ZBTB40	INO80	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6PCS8	Dr:E7F660;Rn:D4A365	Dm:Q9VDY1;Dr:Q5SPB7;Mm:Q6ZPV2	Rn:D4A6Q6
Q9NUA8	O43639	9923	8440	ZBTB40	NCK2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6PCS8	Dr:E7F660;Rn:D4A365	Ce:Q95PW9;Dr:Q4V9A1;Dr:F1R1C3;Mm:O55033;Rn:D4A3M8	-
Q9NUA8	Q16563	9923	6856	ZBTB40	SYPL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6PCS8	Dr:E7F660;Rn:D4A365	Dr:Q6TLG1;Mm:O09117	Dr:F1Q7F9;Rn:A0A0G2KA82
Q9NUA8	O14544	9923	9306	ZBTB40	SOCS6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6PCS8	Dr:E7F660;Rn:D4A365	Mm:Q9JLY0;Rn:D3ZS84	Dr:E7F166
Q9NUA8	B1APH4	9923	-	ZBTB40	ZNF487	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6PCS8	Dr:E7F660;Rn:D4A365	-	-
