UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8TBZ5	Q9Y5B6	91392	94104	ZNF502	PAXBP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VI54;Mm:P58501;Rn:D4A8C8	-
Q8TBZ5	B8ZZ34	91392	440829	ZNF502	SHISA8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:J3QNX5	Dr:E7F0R2;Rn:M0R5B1
Q8TBZ5	O00567	91392	10528	ZNF502	NOP56	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q21276;Dm:Q95WY3;Mm:Q9D6Z1;Rn:Q4KLK7;Sc:Q12460	-
Q8TBZ5	Q9HCE9	91392	57719	ZNF502	ANO8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:H2L2L3;Mm:Q6PB70;Rn:A0A0G2K5K1	Dr:E7F191
Q8TBZ5	Q9Y5J3	91392	23462	ZNF502	HEY1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q8AXV6;Rn:D3ZNI5	Mm:Q9QUM5
Q8TBZ5	Q9UPW8	91392	23025	ZNF502	UNC13A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q8TBZ5	Q969Y2	91392	84705	ZNF502	GTPBP3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VC87;Dr:F1Q694;Mm:Q923K4;Rn:Q5PQQ1;Sc:P32559	Ce:Q9XTZ1
Q8TBZ5	P0C875	91392	375190	ZNF502	FAM228B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q497Q6;Rn:M0R8F7	-
Q8TBZ5	Q9Y282	91392	51614	ZNF502	ERGIC3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q93878;Dm:Q9VUM3;Dr:Q803I2;Mm:Q9CQE7;Rn:D3ZU83	-
Q8TBZ5	Q9Y5J5	91392	23612	ZNF502	PHLDA3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9WV95;Rn:Q5PQT7	-
Q8TBZ5	Q99598	91392	7257	ZNF502	TSNAX	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VF77;Dr:A0A2R8QG76;Mm:Q9QZE7;Rn:Q9JHB5	-
Q8TBZ5	Q8NHR9	91392	375189	ZNF502	PFN4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9D6I3;Rn:Q5IRJ7;Sc:P07274	Dr:X1WCU6
Q8TBZ5	Q8TAF7	91392	92283	ZNF502	ZNF461	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q8TBZ5	Q8N907	91392	199699	ZNF502	DAND5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q76LW6	Rn:D3ZGN3
Q8TBZ5	Q7KZ85	91392	6830	ZNF502	SUPT6H	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:P34703;Dm:Q9W420;Dr:Q8UVK2;Mm:Q62383;Rn:F1LR36;Sc:P23615	-
