UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8NA19	Q96RY7	91133	9742	L3MBTL4	IFT140	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:D3YW39;Rn:F1M8A7	-	Ce:P90757;Dm:Q7KTZ4;Mm:E9PY46;Rn:F1LY69	Dr:F1QG20
Q8NA19	Q8N6Y0	91133	83878	L3MBTL4	USHBP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:D3YW39;Rn:F1M8A7	-	Dr:E7F1E7;Mm:Q8R370;Rn:Q3T1I3	-
Q8NA19	C9J442	91133	-	L3MBTL4	C22orf46	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:D3YW39;Rn:F1M8A7	-	-	-
Q8NA19	Q96FC9	91133	1663	L3MBTL4	DDX11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:D3YW39;Rn:F1M8A7	-	Ce:Q21489;Dm:Q9XZS9;Dr:F1R345;Sc:P22516	Mm:A0A2Y9CZM3;Rn:A0A0G2K8J3
Q8NA19	P33908	91133	4121	L3MBTL4	MAN1A1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:D3YW39;Rn:F1M8A7	-	Dr:Q5RHM7;Mm:P45700;Rn:A0A0G2JW29	-
Q8NA19	O60911	91133	1515	L3MBTL4	CTSV	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:D3YW39;Rn:F1M8A7	-	Mm:P06797;Rn:P07154	-
Q8NA19	P54132	91133	641	L3MBTL4	BLM	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:D3YW39;Rn:F1M8A7	-	Mm:O88700;Rn:D3ZQW1	-
Q8NA19	Q96PY5	91133	114793	L3MBTL4	FMNL2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:D3YW39;Rn:F1M8A7	-	Rn:A0A0G2K132	Mm:F8VPR2
Q8NA19	P10073	91133	342945	L3MBTL4	ZSCAN22	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:D3YW39;Rn:F1M8A7	-	Mm:Q8BGS5	Rn:D4ADL6
Q8NA19	Q9UPQ4	91133	23087	L3MBTL4	TRIM35	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:D3YW39;Rn:F1M8A7	-	Dr:F1QZQ5;Dr:A0A0R4ILE2;Mm:A0A0R4J031;Rn:G3V769	Dr:F1R7D2;Dr:B8JLS7;Dr:F2Z4W9;Dr:I3ITQ0;Dr:F1QMZ7;Dr:F1QWI8;Dr:E7F8T5;Dr:A0A0R4ICE2;Dr:A0A0R4IPB1;Dr:A0A0J9YJA4;Dr:Q1MT09;Dr:A0A0R4IIJ3;Dr:Q1MT11;Dr:A0A0R4INQ4;Dr:A0A0R4IBN3;Dr:F1Q6F7;Dr:F1QS63
