UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
P50247	Q9CXC3	11615;269378	74528	Ahcy	Mgme1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9BQP7;Dr:B8A4D5;Rn:Q5PPI6	-
P50247	Q9CQQ0	11615;269378	66291	Ahcy	Smim8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96KF7;Dr:F1QLE8;Rn:G3V8Z7	-
P50247	Q9CWE0	11615;269378	76824	Ahcy	Mtfr1l	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9H019;Dr:Q7T3E8;Rn:Q5XII9	-
P50247	Q3UGK8	11615;269378	-	Ahcy	Gm5113	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
P50247	Q91ZU0	11615;269378	117589	Ahcy	Asb7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9H672;Dr:F6NLA2;Rn:D3ZVT6	-
P50247	Q9CY73	11615;269378	69163	Ahcy	Mrpl44	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9H9J2;Dm:Q9VNC1;Dr:F1RB48;Rn:Q4G067	-
P50247	P62754	11615;269378	105244208;20104	Ahcy	Rps6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P62753;Ce:Q9NEN6;Dm:P29327;Dr:Q6DHL6;Sc:P0CX37	Rn:M0RD75
P50247	P28660	11615;269378	50884	Ahcy	Nckap1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9Y2A7;Dm:P55162;Rn:F1LSM5	Dr:B0S6R1
P50247	Q9Z1D7	11615;269378	22758	Ahcy	Zscan12	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O43309;Rn:A0A0G2K4Z9	-
P50247	Q9CRT8	11615;269378	-	Ahcy	Xpot	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
P50247	A2AUY4	11615;269378	407823	Ahcy	Baz2b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9UIF8;Dr:I3ITF1;Rn:A0A0G2K175	-
P50247	Q8K025	11615;269378	212398	Ahcy	Frat2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Rn:M0R5Z2	-
