UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8TAQ2	Q53EP0	6601	64778	SMARCC2	FNDC3B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:B0S5P9;Mm:A0A0R4J0H8	Rn:D4A0W7
Q8TAQ2	Q9Y4C8	6601	9904	SMARCC2	RBM19	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Ce:Q9XU67;Dm:Q9VT19;Dr:F1QF98;Mm:Q8R3C6;Rn:D3ZHU8;Sc:Q06106	-
Q8TAQ2	P63244	6601	10399	SMARCC2	RACK1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q21215;Dm:O18640;Dr:O42248;Mm:P68040;Rn:P63245;Sc:P38011	Rn:A0A0G2JZE6
Q8TAQ2	Q5VZ52	6601	254956	SMARCC2	MORN5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q4VBJ9;Mm:Q9DAI9	-
Q8TAQ2	Q9H2Y7	6601	64397	SMARCC2	ZNF106	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q8TAQ2	Q9UHH9	6601	51447	SMARCC2	IP6K2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q6DG55;Dr:Q6PBN6;Mm:Q80V72;Rn:Q9R0U1	-
Q8TAQ2	Q76N89	6601	23072	SMARCC2	HECW1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8K4P8;Rn:F1M4Q8	-
Q8TAQ2	G3V3Y1	6601	-	SMARCC2	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q8TAQ2	Q13404	6601	387522;7335	SMARCC2	UBE2V1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Dr:F1R1E9;Mm:Q9CZY3;Rn:D3ZFY8	-
Q8TAQ2	O75143	6601	9776	SMARCC2	ATG13	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Dr:Q7SYE0;Mm:Q91YI1	Rn:D3ZA45
Q8TAQ2	P17025	6601	7569	SMARCC2	ZNF182	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	Rn:M0RBY6
Q8TAQ2	Q9P2D0	6601	25998	SMARCC2	IBTK	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:A1ZAE2;Mm:Q6ZPR6;Rn:D3ZH46	Dr:F8W340
Q8TAQ2	Q9NRA0	6601	56848	SMARCC2	SPHK2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9JIA7;Rn:Q6AYB2	-
Q8TAQ2	Q7Z736	6601	79990	SMARCC2	PLEKHH3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8VCE9;Rn:Q3B7L1	-
Q8TAQ2	P20962	6601	5763	SMARCC2	PTMS	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9D0J8;Rn:P04550	-
Q8TAQ2	K7ELQ4	6601	-	SMARCC2	ATF7-NPFF	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	-	-
Q8TAQ2	Q13303	6601	8514	SMARCC2	KCNAB2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P62482	Dr:A0A140LGM3;Rn:A0A0G2K670
Q8TAQ2	P46019	6601	5256	SMARCC2	PHKA2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1R3D9;Mm:Q8BWJ3	-
Q8TAQ2	P49917	6601	3981	SMARCC2	LIG4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VYA5;Dr:F1Q9E8;Mm:Q8BTF7;Rn:D4A0U6;Sc:Q08387	-
Q8TAQ2	O00483	6601	4697	SMARCC2	NDUFA4	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Dm:Q8SYJ2;Dr:Q7ZTT8;Mm:Q62425;Rn:B2RZD6	Dr:Q6PBH5
Q8TAQ2	Q5MIZ7	6601	57223	SMARCC2	PPP4R3B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q922R5;Rn:D3ZCR4	-
Q8TAQ2	H0YIS7	6601	-	SMARCC2	RNASEK-C17orf49	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	-	-
Q8TAQ2	Q9Y6D9	6601	8379	SMARCC2	MAD1L1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q7KND8;Dr:D9IWE2;Mm:Q9WTX8;Rn:D3ZIV3	-
Q8TAQ2	Q8N8D9	6601	-	SMARCC2	IRF1-AS1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q8TAQ2	Q8IZW8	6601	84951	SMARCC2	TNS4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8BZ33	Rn:G3V8W6
Q8TAQ2	Q9HAS0	6601	64149	SMARCC2	C17orf75	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Dr:F1R0L3;Mm:Q9CYI0;Rn:D3ZEJ9	-
Q8TAQ2	Q9Y2R9	6601	51081	SMARCC2	MRPS7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q95Q11;Dm:Q9VKX4;Mm:Q80X85;Rn:Q5I0K8	Dr:A0A0R4IMM2
Q8TAQ2	Q9BVV2	6601	79025	SMARCC2	FNDC11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Rn:D4A0C8	Mm:A2AS00
Q8TAQ2	A0A024R161	6601	552891	SMARCC2	DNAJC25-GNG10	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	-	-
Q8TAQ2	Q5VXD3	6601	148418	SMARCC2	SAMD13	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
