UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q96JP5	O60241	80829	576	ZFP91	ADGRB2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8CGM1;Rn:D3ZN99	-
Q96JP5	Q08378	80829	2802	ZFP91	GOLGA3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Rn:D3ZLD5	Mm:A0A0R4J1H6;Rn:A0A0G2K5A4
Q96JP5	Q9UBP6	80829	4234	ZFP91	METTL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q23126;Dm:O77263;Dr:Q5XJ57;Mm:Q9Z120;Rn:M0R637;Sc:Q12009	-
Q96JP5	K7EPL6	80829	-	ZFP91	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q96JP5	Q8N0Z8	80829	126789	ZFP91	PUSL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q95XD5;Dm:Q0E8K6;Mm:A2ADA5;Rn:A0A0G2K730	Dr:F1QJL2
Q96JP5	Q8IY17	80829	10908	ZFP91	PNPLA6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1R844;Mm:Q3TRM4;Rn:M0R715	-
Q96JP5	Q9BUP0	80829	80303	ZFP91	EFHD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9D4J1;Rn:D4A9T5	-
Q96JP5	Q6ZVM7	80829	146691	ZFP91	TOM1L2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q5SRX1;Rn:A0A0G2K9L2;Sc:Q06336	Dr:E7FC90
Q96JP5	Q58A45	80829	255967	ZFP91	PAN3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:E7EXP6;Mm:Q640Q5;Rn:D4ADM2	-
Q96JP5	P36508	80829	7629	ZFP91	ZNF76	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8BMU0	Rn:F1LNL6
Q96JP5	P51511	80829	4324	ZFP91	MMP15	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:E7F6P2;Mm:O54732;Rn:D3ZCG5	-
Q96JP5	Q53FZ2	80829	6296	ZFP91	ACSM3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:A9JRA7;Mm:Q3UNX5;Rn:Q6SKG1	-
Q96JP5	Q96FK6	80829	112840	ZFP91	WDR89	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q7JZ37;Dr:B8A4L8;Mm:Q9D0R9	Rn:Q5FVP5
Q96JP5	Q14008	80829	9793	ZFP91	CKAP5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:K3W4R5	Dm:E1JIM4;Dr:A0A0R4IA93;Rn:F1M949
Q96JP5	Q9H9G7	80829	192669	ZFP91	AGO3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1Q7S8;Mm:Q8CJF9;Rn:F1LUS2	-
Q96JP5	P80303	80829	4925	ZFP91	NUCB2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q6NX06;Mm:P81117;Rn:G3V8R1	Dr:F1QW82
Q96JP5	P02545	80829	4000	ZFP91	LMNA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P48678;Rn:G3V8L3	Dr:B3DKC5
Q96JP5	O43561	80829	27040	ZFP91	LAT	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:O54957	Rn:O70601
Q96JP5	Q9UBC1	80829	4795	ZFP91	NFKBIL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q96JP5	Q9H993	80829	79624	ZFP91	ARMT1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:O45417;Dm:Q9V3Z7;Dm:Q9W299;Dm:Q9W298;Dr:Q58EM4;Mm:A6H630;Rn:Q6AYT5;Sc:Q04371	-
Q96JP5	P29401	80829	7086	ZFP91	TKT	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P40142;Rn:G3V826	Dr:E7F8S4
Q96JP5	Q07002	80829	5129	ZFP91	CDK18	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q04899;Rn:A0A0H2UHG4	Dr:E7F9R5
Q96JP5	O00541	80829	23481	ZFP91	PES1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q95Y89;Dm:Q9VL96;Rn:Q3B8N8;Sc:P53261	Dr:P79741;Mm:Q5SQ20
Q96JP5	Q96S19	80829	84326	ZFP91	METTL26	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q7YWR7;Mm:Q9DCS2;Rn:Q497C3	Dm:M9MRG1;Dr:B7ZVF3
Q96JP5	P00736	80829	715	ZFP91	C1R	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q96JP5	Q14140	80829	9792	ZFP91	SERTAD2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q7ZZ27;Mm:Q9JJG5	Rn:F7F8X3
Q96JP5	Q9UPW8	80829	23025	ZFP91	UNC13A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q96JP5	Q6NYC8	80829	170954	ZFP91	PPP1R18	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8BQ30;Rn:G3V629	-
Q96JP5	Q00013	80829	4354	ZFP91	MPP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:A5WV25;Mm:P70290	-
Q96JP5	Q8IVP9	80829	284306	ZFP91	ZNF547	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q96JP5	P0CJ78	80829	100507290	ZFP91	ZNF865	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q3U3I9	Rn:M0R740
Q96JP5	Q14764	80829	9961	ZFP91	MVP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:E9Q3X0;Rn:A0A140TAE0	Dr:F1Q781
Q96JP5	Q3BBV0	80829	55672	ZFP91	NBPF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q96JP5	Q6UWR7	80829	133121	ZFP91	ENPP6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q22129;Mm:Q8BGN3;Rn:B0BND0	Ce:O45359;Dr:F1QVT8
Q96JP5	Q2TAZ0	80829	23130	ZFP91	ATG2A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:A0A0R4IKT5;Mm:Q6P4T0;Rn:D3ZT64	-
Q96JP5	P14859	80829	5451	ZFP91	POU2F1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Rn:F1LRD7	Mm:A0A0R4J1Z4
Q96JP5	Q07960	80829	392	ZFP91	ARHGAP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q5FWK3;Rn:D4A6C5	Dr:F1R2J2
Q96JP5	Q92733	80829	5546	ZFP91	PRCC	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9W0B6;Dr:A3KQS1;Mm:Q9EQC8;Rn:B2RYA6	-
Q96JP5	P41240	80829	1445	ZFP91	CSK	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:G5ECJ6;Dr:A0JMN4;Mm:P41241;Rn:P32577	-
Q96JP5	Q66K66	80829	130612	ZFP91	TMEM198	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VWD2;Dr:Q498W5;Mm:Q8BG75;Rn:D3ZHB8	Dr:E7EZQ2
Q96JP5	Q99832	80829	10574	ZFP91	CCT7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q9TZS5;Dm:Q9VHL2;Dr:B3DKJ0;Mm:P80313;Rn:D4AC23;Sc:P42943	-
