UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9HBU1	Q9H993	56033	79624	BARX1	ARMT1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Ce:O45417;Dm:Q9V3Z7;Dm:Q9W299;Dm:Q9W298;Dr:Q58EM4;Mm:A6H630;Rn:Q6AYT5;Sc:Q04371	-
Q9HBU1	P0C7P0	56033	284106	BARX1	CISD3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	-	Mm:B2RWE3;Rn:A0A0G2JW34
Q9HBU1	O14980	56033	7514	BARX1	XPO1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Ce:Q23089;Dm:Q9TVM2;Dr:E7FBU7;Mm:Q6P5F9;Rn:Q80U96;Sc:P30822	-
Q9HBU1	Q96L03	56033	128153	BARX1	SPATA17	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Dr:B6VAM9;Mm:Q9D552;Rn:M0R8U7	-
Q9HBU1	P0DJ07	56033	100131801	BARX1	PET100	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Dm:Q4QPR8;Dr:X1WHJ8;Mm:P0DJE0;Rn:D3ZHD3	-
Q9HBU1	Q9NPI6	56033	55802	BARX1	DCP1A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Mm:Q91YD3;Rn:D4AE80	Dr:A0A0R4IBD6
Q9HBU1	P09429	56033	3146	BARX1	HMGB1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Dr:Q6NX86;Dr:X1WFI9;Mm:P63158	Rn:D3ZXR5;Rn:A0A0G2K6P4;Rn:D3ZCR3
Q9HBU1	Q9BY32	56033	3704	BARX1	ITPA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Dm:Q9VMW7;Dr:A5WVX0;Mm:Q9D892;Rn:D3ZW55;Sc:P47119	Ce:Q9GYG4
Q9HBU1	Q02446	56033	6671	BARX1	SP4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Dm:Q9VEW6;Mm:A0A1Y7VJR5;Rn:Q63158	Dr:F1QVQ1
Q9HBU1	Q8IYE0	56033	57639	BARX1	CCDC146	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Mm:E9Q9F7;Rn:F1LNS6	-
Q9HBU1	Q14562	56033	1659	BARX1	DHX8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Ce:Q09530;Dm:A1Z9L3;Mm:A2A4P0;Rn:A0A0G2K283;Sc:P24384	-
Q9HBU1	Q9BXB4	56033	114885	BARX1	OSBPL11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Dr:B0S5M3;Mm:G5E8A0;Rn:B5DF74	-
Q9HBU1	Q92733	56033	5546	BARX1	PRCC	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Dm:Q9W0B6;Dr:A3KQS1;Mm:Q9EQC8;Rn:B2RYA6	-
Q9HBU1	Q9P2N6	56033	55683	BARX1	KANSL3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Mm:A2RSY1	Rn:A0A0G2K522
Q9HBU1	Q9Y530	56033	221443	BARX1	OARD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Mm:Q8R5F3	Dm:Q9VP69;Dr:Q503C5;Rn:A0A0G2K831
Q9HBU1	A0A0A6YYG8	56033	100533952	BARX1	RBAK-RBAKDN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	-	-
Q9HBU1	O43768	56033	2029	BARX1	ENSA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	-	-
Q9HBU1	Q8IVC4	56033	201514	BARX1	ZNF584	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	-	-
Q9HBU1	Q9BZR8	56033	79370	BARX1	BCL2L14	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	-	-
Q9HBU1	P22307	56033	6342	BARX1	SCP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Ce:G5EDP2;Dm:Q9VJ44;Dm:Q9VJ43;Dr:Q6P4V5;Mm:P32020;Rn:F1LQ55	-
Q9HBU1	Q4G0X4	56033	283219	BARX1	KCTD21	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Mm:B2RTJ2;Rn:D4ADH5	-
Q9HBU1	Q96MP8	56033	154881	BARX1	KCTD7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Mm:Q8BJK1;Rn:B1WC97	Dr:F1R224
Q9HBU1	Q9H5J0	56033	-	BARX1	ZBTB3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	-	-
Q9HBU1	Q8NHH9	56033	64225	BARX1	ATL2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Mm:Q6PA06;Rn:F1LQ09	-
Q9HBU1	Q9UKY1	56033	11244	BARX1	ZHX1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Mm:P70121;Rn:G3V6S9	-
Q9HBU1	Q5VWQ0	56033	54665	BARX1	RSBN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Mm:Q80T69;Rn:D4A1U7	Dr:A0A0G2KGQ1
Q9HBU1	Q9BZD4	56033	83540	BARX1	NUF2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Ce:Q21952;Dr:Q7ZW63;Mm:Q99P69;Rn:Q6AYL9;Sc:P33895	-
Q9HBU1	O14682	56033	8507	BARX1	ENC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Dr:F1QKP6;Mm:O35709;Rn:Q6DKY8	-
Q9HBU1	O43676	56033	4709	BARX1	NDUFB3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Mm:Q9CQZ6;Rn:D4A4P3	Dr:Q6P119;Rn:M0RA24
Q9HBU1	Q8IXS8	56033	285172	BARX1	FAM126B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Mm:Q8C729	Dr:A1A5W7;Rn:Q4V7D4
Q9HBU1	Q9BXS5	56033	8907	BARX1	AP1M1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:B2GRF3;Mm:Q9ER42	Rn:D3ZA67	Ce:P35602;Dm:O62531;Dr:A0A0R4IRS1;Mm:P35585;Rn:Q32Q06	-
