UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8TE85	P05023	57822	476	GRHL3	ATP1A1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F6C3;Mm:Q5FWH3	Rn:D4A1E5	Dr:B0R068;Mm:Q8VDN2;Rn:P06685	-
Q8TE85	V9GYQ6	57822	-	GRHL3	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F6C3;Mm:Q5FWH3	Rn:D4A1E5	-	-
Q8TE85	Q6L8G4	57822	440051	GRHL3	KRTAP5-11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F6C3;Mm:Q5FWH3	Rn:D4A1E5	-	-
Q8TE85	Q8WV44	57822	90933	GRHL3	TRIM41	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F6C3;Mm:Q5FWH3	Rn:D4A1E5	Mm:Q5NCC3;Rn:F1LMK2	-
Q8TE85	Q8WVT3	57822	51112	GRHL3	TRAPPC12	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F6C3;Mm:Q5FWH3	Rn:D4A1E5	Dr:F1RE04;Mm:Q8K2L8;Rn:D3ZE49	-
Q8TE85	Q9UKJ5	57822	26511	GRHL3	CHIC2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F6C3;Mm:Q5FWH3	Rn:D4A1E5	Mm:Q9D9G3;Rn:G3V6A1	Dr:Q802W1
Q8TE85	Q8N8E3	57822	201134	GRHL3	CEP112	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F6C3;Mm:Q5FWH3	Rn:D4A1E5	Dr:E7EZM2;Mm:Q5PR68;Rn:D4ABV2	-
Q8TE85	Q8IZ83	57822	126133	GRHL3	ALDH16A1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F6C3;Mm:Q5FWH3	Rn:D4A1E5	Mm:A0A1B0GSU0;Rn:Q3T1L0	Dr:F1QGP1
Q8TE85	Q92973	57822	3842	GRHL3	TNPO1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F6C3;Mm:Q5FWH3	Rn:D4A1E5	Dr:F1RDR1;Rn:F1LQP9	Mm:Q3TKD0
Q8TE85	Q9BWC9	57822	29903	GRHL3	CCDC106	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F6C3;Mm:Q5FWH3	Rn:D4A1E5	Dr:Q5EB04;Dr:Q1LUD6;Rn:D4AAV8	Mm:A0A140LIV9
