UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q6P9G9	Q9BQ52	203523	60528	ZNF449	ELAC2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CB76;Rn:M0R5T3	-	Ce:O44476;Dr:F1QHE2;Mm:Q80Y81;Rn:G3V6F5;Sc:P36159	-
Q6P9G9	Q4UJ75	203523	-	ZNF449	ANKRD20A4P	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CB76;Rn:M0R5T3	-	-	-
Q6P9G9	Q9BSD7	203523	84284	ZNF449	NTPCR	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CB76;Rn:M0R5T3	-	Dm:Q9VP84;Mm:Q9CQA9;Rn:D4A478	Dr:B8K0C4
Q6P9G9	Q49AH0	203523	441549	ZNF449	CDNF	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CB76;Rn:M0R5T3	-	Dr:A4QNW4;Mm:Q8CC36;Rn:P0C5I0	-
Q6P9G9	Q8N0T1	203523	401466	ZNF449	RBIS	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CB76;Rn:M0R5T3	-	Dr:X1WDU0;Rn:D3ZXR6	-
Q6P9G9	F2Z2N8	203523	-	ZNF449	ZNF670-ZNF695	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CB76;Rn:M0R5T3	-	-	-
Q6P9G9	P36383	203523	10052	ZNF449	GJC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CB76;Rn:M0R5T3	-	Mm:P28229;Rn:A4GG66	Dr:Q1LYE5
Q6P9G9	A6H8Y1	203523	55814	ZNF449	BDP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CB76;Rn:M0R5T3	-	Ce:G5EDI2;Mm:Q571C7;Rn:D3ZDI4	-
Q6P9G9	Q8N556	203523	60312	ZNF449	AFAP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CB76;Rn:M0R5T3	-	Dr:U3JAR6;Mm:Q80YS6;Rn:A0A0G2JVI5	-
Q6P9G9	O75581	203523	4040	ZNF449	LRP6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CB76;Rn:M0R5T3	-	Mm:A0A0R4J0A9;Rn:A0A0G2K0H3	-
