UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9Y2D9	O00273	22834	1676	ZNF652	DFFA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Dr:F1R3G3;Mm:O54786;Rn:A0A0G2JY18	-
Q9Y2D9	Q5SR56	22834	84641	ZNF652	MFSD14B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Mm:Q8CIA9;Rn:B2RYH9	-
Q9Y2D9	Q8IZY2	22834	10347	ZNF652	ABCA7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Rn:F1LR67	Mm:E9Q6G4
Q9Y2D9	P61326	22834	4116	ZNF652	MAGOH	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	-	-
Q9Y2D9	Q9Y244	22834	51371	ZNF652	POMP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Dm:Q9VIJ5;Dr:Q6DGT9;Mm:Q9CQT5	Rn:A5HKJ3
Q9Y2D9	Q10570	22834	29894	ZNF652	CPSF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Ce:Q9N4C2;Dm:Q9V726;Sc:Q06632	Dr:F6NXE7;Mm:A0A2R8VK76;Rn:B5DEL2
Q9Y2D9	Q8TF40	22834	96459	ZNF652	FNIP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Dr:A0A0R4IT71;Mm:Q68FD7	Rn:F1LUD4
Q9Y2D9	Q76I76	22834	85464	ZNF652	SSH2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	-	-
Q9Y2D9	Q8TBB0	22834	152815	ZNF652	THAP6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Rn:A0A0G2K0Q4	-
Q9Y2D9	P00367	22834	2746	ZNF652	GLUD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Mm:P26443;Rn:P10860	-
Q9Y2D9	P0C2S0	22834	399697	ZNF652	CTXN2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	-	Mm:Q3URE8;Rn:D4A1T4
Q9Y2D9	Q9Y3C8	22834	51506	ZNF652	UFC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Ce:Q03598;Dm:Q7K1Z5;Dr:Q6DEN0;Mm:Q9CR09;Rn:Q6BBI8	-
Q9Y2D9	Q8IWV7	22834	197131	ZNF652	UBR1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Mm:O70481;Rn:D3ZQC6	-
Q9Y2D9	Q9NUP7	22834	54482	ZNF652	TRMT13	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Ce:Q9XW93;Dm:Q8SX24;Dr:A0A0R4ID18;Mm:Q8BYH3;Rn:B2GV29;Sc:Q12383	-
Q9Y2D9	Q6MZP7	22834	132660	ZNF652	LIN54	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Dr:F1QDM3;Mm:Q571G4	Rn:Q641Z1
Q9Y2D9	Q13405	22834	740	ZNF652	MRPL49	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Ce:Q21939;Dm:Q9VYI3;Dr:E7F2U2;Mm:Q9CQ40;Rn:Q7TP77	-
Q9Y2D9	Q9Y4F1	22834	10160	ZNF652	FARP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	-	-
Q9Y2D9	P98198	22834	57198	ZNF652	ATP8B2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	-	-
Q9Y2D9	Q4V339	22834	644019	ZNF652	CBWD6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	-	-
Q9Y2D9	Q9BX66	22834	10580	ZNF652	SORBS1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	-	Mm:A0A5F8MPJ2;Rn:F1M8Z8
Q9Y2D9	Q8WUD6	22834	56994	ZNF652	CHPT1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Mm:Q8C025;Rn:Q66H21	-
Q9Y2D9	Q9UDY2	22834	9414	ZNF652	TJP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	-	-
Q9Y2D9	Q8IYH5	22834	26009	ZNF652	ZZZ3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4
Q9Y2D9	Q6PIU2	22834	57552	ZNF652	NCEH1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Dr:A0A2R8RW49;Mm:Q8BLF1;Rn:B2GV54	Dr:F1Q8P9
Q9Y2D9	Q15223	22834	5818	ZNF652	NECTIN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Dr:F1QXJ2;Rn:F1LNP8	Mm:A0A668KLC0
Q9Y2D9	Q8TAQ2	22834	6601	ZNF652	SMARCC2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	-	-
Q9Y2D9	Q9NRP4	22834	57001	ZNF652	SDHAF3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Ce:P91989;Dr:A3KQK6;Mm:Q8BQU3;Rn:Q6TUF2;Sc:Q04401	-
Q9Y2D9	Q6PKG0	22834	23367	ZNF652	LARP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Mm:Q6ZQ58;Rn:F1M062	-
Q9Y2D9	Q8N554	22834	92822	ZNF652	ZNF276	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Mm:Q8CE64;Rn:F1LN08	-
Q9Y2D9	O95415	22834	25798	ZNF652	BRI3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Mm:P28662;Rn:Q5PPK1	Dr:E7FAC9
Q9Y2D9	Q6PID6	22834	23548	ZNF652	TTC33	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Mm:Q9D6K7;Rn:D3ZBZ9	Dr:Q6DI40
Q9Y2D9	O14497	22834	8289	ZNF652	ARID1A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Dr:A0A0R4IKJ3;Mm:A2BH40;Rn:D4A3E3	Dr:A0A0R4IR17
Q9Y2D9	Q9Y253	22834	5429	ZNF652	POLH	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Ce:G5EFY1;Mm:Q9JJN0;Rn:D4ADZ0;Sc:Q04049	-
Q9Y2D9	Q9NZC7	22834	51741	ZNF652	WWOX	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Ce:Q19062;Ce:O45680;Ce:Q9UAW2;Dm:Q9VLU5;Dr:F8W4Q2;Mm:Q91WL8	-
Q9Y2D9	Q96Q83	22834	221120	ZNF652	ALKBH3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Dr:F1QRD8;Mm:Q8K1E6;Rn:Q5XIC8	-
Q9Y2D9	Q5GH70	22834	389668	ZNF652	XKR9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Dm:M9PHA4;Mm:Q5GH62;Rn:Q5GH54	Dr:B3DGC8
Q9Y2D9	Q9P0S2	22834	51241	ZNF652	COX16	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Dr:B8JHU3;Mm:Q9CR63;Rn:D3Z8B0	Dm:A0A6I8WFC0
Q9Y2D9	P05556	22834	3688	ZNF652	ITGB1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Ce:Q27874;Dm:P11584;Mm:P09055;Rn:A0A0G2JSK5	Dr:F1QG85
Q9Y2D9	Q7Z333	22834	23064	ZNF652	SETX	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Dr:E7FBJ2;Mm:A2AKX3	Rn:D4AEB3
Q9Y2D9	Q8N2R8	22834	131583	ZNF652	FAM43A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1ZBC5;Mm:Q5DU09;Rn:A1L1J6	-	Mm:Q8BUP8;Rn:Q4KLG0	Dr:Q6NXA7
