UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9Y2H8	Q9NVX2	22869	54475	ZNF510	NLE1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q9TYV3;Dm:Q9VPR4;Dr:F1QDT3;Mm:Q8VEJ4;Rn:B2GV82;Sc:P25382	-
Q9Y2H8	Q92730	22869	27289	ZNF510	RND1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q52WX7;Mm:Q8BLR7;Rn:Q5FVG9	-
Q9Y2H8	K7EIZ5	22869	-	ZNF510	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9Y2H8	Q99614	22869	7265	ZNF510	TTC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VEV3;Dr:F1QZK4;Mm:Q91Z38;Rn:Q66H09	Ce:O44951
Q9Y2H8	P07332	22869	2242	ZNF510	FES	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P16879	Dr:F8W425;Rn:D4A584
Q9Y2H8	Q8NI99	22869	83854	ZNF510	ANGPTL6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8R0Z6;Rn:B2RYM1	-
Q9Y2H8	Q9H7Z6	22869	84148	ZNF510	KAT8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VAV6;Mm:Q9D1P2;Rn:Q5XI06	Dr:F1QX50
Q9Y2H8	P58658	22869	59271	ZNF510	EVA1C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:E9QCY1;Mm:P58659;Rn:D4A895	-
Q9Y2H8	A6NED7	22869	-	ZNF510	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9Y2H8	Q96SK3	22869	84775	ZNF510	ZNF607	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9Y2H8	Q9GZV7	22869	60484	ZNF510	HAPLN2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:A2CF10;Mm:Q9ESM3;Rn:G3V8G6	-
Q9Y2H8	Q53G44	22869	10964	ZNF510	IFI44L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	Rn:M0R4J5
Q9Y2H8	Q9Y5Z4	22869	23593	ZNF510	HEBP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q5SPA1;Mm:Q9WU63;Rn:D3ZHC4	-
Q9Y2H8	P00813	22869	100	ZNF510	ADA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P03958;Rn:Q920P6;Sc:P53909	Dr:F1RA33
Q9Y2H8	K7EQM0	22869	-	ZNF510	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9Y2H8	Q92521	22869	9488	ZNF510	PIGB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9Y2H8	Q9ULG6	22869	9236	ZNF510	CCPG1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q640L3	Rn:A0A0G2K4M3
Q9Y2H8	P55160	22869	3071	ZNF510	NCKAP1L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8K1X4	Dr:F1Q6L5;Rn:A0A0G2JUF9
Q9Y2H8	Q9H1J5	22869	7478	ZNF510	WNT8A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9Y2H8	Q9Y2V7	22869	57511	ZNF510	COG6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q21270;Dm:Q9V564;Mm:A0A0R4J0L5;Rn:Q68FP9	-
