UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9HAW0	O15155	55290	10282	BRF2	BET1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Ce:G5EEU1;Dm:Q9VVX6;Dr:Q6IQT6;Mm:O35623;Rn:Q62896	-
Q9HAW0	Q9BQ69	55290	28992	BRF2	MACROD1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Dr:F6PBM1;Mm:Q922B1	Rn:A0A0G2K5F1
Q9HAW0	O75396	55290	9554	BRF2	SEC22B	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	-	-
Q9HAW0	A6NEK1	55290	645432	BRF2	ARRDC5	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	-	-
Q9HAW0	Q49AM3	55290	64427	BRF2	TTC31	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	-	-
Q9HAW0	Q96NL8	55290	157657	BRF2	C8orf37	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Mm:Q3UJP5	Rn:Q6AY71
Q9HAW0	P38936	55290	1026	BRF2	CDKN1A	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Mm:P39689;Rn:Q64315	Dr:A5WWG3
Q9HAW0	P62873	55290	2782	BRF2	GNB1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Dr:Q803H5;Dr:Q6PH57;Mm:P62874;Rn:P54311	-
Q9HAW0	Q96HJ9	55290	100996928;154791	BRF2	FMC1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Ce:Q8MNU8;Dm:Q0KI97;Dr:E7F208;Mm:Q9CR13;Rn:Q4G012	-
Q9HAW0	A8K0R7	55290	55778	BRF2	ZNF839	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Mm:E9PUU5;Rn:F1M2B6	-
Q9HAW0	P33260	55290	1562	BRF2	CYP2C18	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	-	-
Q9HAW0	Q14232	55290	1967	BRF2	EIF2B1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Ce:P34604;Dm:Q9VAD4;Dr:A0A0R4ILD9;Mm:Q99LC8;Sc:P14741	Rn:A0A0U1RRZ2
Q9HAW0	Q16665	55290	3091	BRF2	HIF1A	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Dr:Q6EHI4;Mm:Q61221;Rn:D4A8P8	-
Q9HAW0	Q4ZIN3	55290	91304	BRF2	TMEM259	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Ce:Q9TZC7;Dr:E7FCD1;Mm:Q8CIV2;Rn:F1LPC5	-
Q9HAW0	O94956	55290	11309	BRF2	SLCO2B1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	-	-
Q9HAW0	O43557	55290	8740	BRF2	TNFSF14	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Mm:Q9QYH9	Rn:M0RCN2
Q9HAW0	Q9BWQ6	55290	78992	BRF2	YIPF2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Mm:Q99LP8;Rn:Q5XIT3	-
Q9HAW0	A6NND4	55290	341152	BRF2	OR2AT4	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Mm:E9Q518	Rn:G3V8B7
Q9HAW0	P62277	55290	6207	BRF2	RPS13	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Ce:P51404;Dm:Q03334;Dr:Q6IMW6;Mm:P62301;Sc:P05756	Rn:P62278
Q9HAW0	P51451	55290	640	BRF2	BLK	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Mm:P16277	Dr:Q5TYU7;Rn:Q4KM97
Q9HAW0	P03950	55290	283	BRF2	ANG	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Mm:P21570	Rn:Q5GAM5
Q9HAW0	P68431	55290	8350;8351;8352;8353;8354;8355;8356;8357;8358;8968	BRF2	H3C1;H3C2;H3C3;H3C4;H3C6;H3C7;H3C8;H3C10;H3C11;H3C12	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	-	-
Q9HAW0	O75251	55290	374291	BRF2	NDUFS7	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Ce:Q94360;Dm:Q9VAK5;Dr:F1QHE9;Mm:Q9DC70;Rn:Q5RJN0	-
Q9HAW0	O60287	55290	9875	BRF2	URB1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Dm:Q9VD07;Dr:A0A0R4ILM9;Mm:E9PU96;Rn:D4A7S4	-
Q9HAW0	O15217	55290	2941	BRF2	GSTA4	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	-	-
Q9HAW0	Q9P2R7	55290	8803	BRF2	SUCLA2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	-	-
Q9HAW0	Q9P1D2	55290	-	BRF2	-	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	-	-
Q9HAW0	Q96T88	55290	29128	BRF2	UHRF1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	-	-
Q9HAW0	Q9P2S6	55290	51281	BRF2	ANKMY1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Mm:E0CYY3;Rn:M0RC04	Dr:Q1LXM4
Q9HAW0	P49841	55290	2932	BRF2	GSK3B	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Dm:P18431;Dr:Q9YH60;Mm:Q9WV60;Rn:A0A0G2KB98;Sc:P38615	-
Q9HAW0	Q9NPB0	55290	55776	BRF2	SAYSD1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Mm:Q8K190;Rn:D3ZQ21	-
Q9HAW0	P52926	55290	8091	BRF2	HMGA2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Ce:G5EEL9;Mm:P52927;Rn:O88791	Dr:Q6P038
Q9HAW0	Q2KHR2	55290	64864	BRF2	RFX7	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	-	-
Q9HAW0	P50502	55290	6767	BRF2	ST13	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Ce:G5EE04;Dm:C4NYP8;Dr:Q6NX98;Mm:Q99L47;Rn:P50503	-
Q9HAW0	P62807	55290	3017;8339;8343;8344;8346;8347	BRF2	H2BC4;H2BC6;H2BC7;H2BC8;H2BC10	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	-	-
Q9HAW0	O75072	55290	2218	BRF2	FKTN	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:A0A0R4J0C6;Rn:Q4V8D6	Dr:F1QD13	Dr:B8JMA5;Mm:Q8R507;Rn:D3ZI33	-
