UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q96C28	Q96G75	286075	64777	ZNF707	RMND5B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:B1WC07;Rn:B1WC62	Mm:D3Z445	Mm:Q91YQ7	Dr:Q6PBS0;Rn:Q566Q9
Q96C28	Q86V40	286075	129293	ZNF707	TRABD2A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:B1WC07;Rn:B1WC62	Mm:D3Z445	-	-
Q96C28	Q02218	286075	4967	ZNF707	OGDH	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:B1WC07;Rn:B1WC62	Mm:D3Z445	Mm:Q60597;Rn:Q5XI78	Dr:B8JI08
Q96C28	Q9UHV7	286075	9969	ZNF707	MED13	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:B1WC07;Rn:B1WC62	Mm:D3Z445	Mm:Q5SWW4;Rn:F1LXU0	Dr:E9QD13
Q96C28	Q8N653	286075	8216	ZNF707	LZTR1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:B1WC07;Rn:B1WC62	Mm:D3Z445	Dm:Q9V410;Mm:Q9CQ33;Rn:B5DFI4	Dr:F1R533
Q96C28	Q6ZNR0	286075	641649	ZNF707	TMEM91	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:B1WC07;Rn:B1WC62	Mm:D3Z445	Mm:Q8C581	Rn:D4A8D1
Q96C28	Q9Y6G5	286075	51397	ZNF707	COMMD10	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:B1WC07;Rn:B1WC62	Mm:D3Z445	Mm:Q8JZY2;Rn:Q68FS9	Dm:Q0KHT4
Q96C28	P47928	286075	3400	ZNF707	ID4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:B1WC07;Rn:B1WC62	Mm:D3Z445	Mm:P41139;Rn:E9PU21	Dr:Q32PN8
Q96C28	P26006	286075	3675	ZNF707	ITGA3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:B1WC07;Rn:B1WC62	Mm:D3Z445	Dr:F1R2R3;Mm:Q62470;Rn:D3ZQM3	-
Q96C28	Q9BYT3	286075	65975	ZNF707	STK33	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:B1WC07;Rn:B1WC62	Mm:D3Z445	Dr:Q5RHZ0;Mm:Q924X7	Rn:D4A165
