UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8WUU5	Q96AJ9	57798	143187	GATAD1	VTI1A	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	Ce:O18230;Dm:Q9W0N6;Mm:O89116;Rn:F1LT41	Dr:F1Q7S0
Q8WUU5	P18084	57798	3693	GATAD1	ITGB5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	-	Dr:B0UY74;Mm:Q6PE70
Q8WUU5	P21283	57798	528	GATAD1	ATP6V1C1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	Ce:Q9XXU9;Dm:Q9V7N5;Mm:Q9Z1G3;Rn:Q5FVI6;Sc:P31412	Dr:Q7T385
Q8WUU5	P10619	57798	5476	GATAD1	CTSA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	Ce:P52717;Ce:Q09991;Rn:Q6AYS3;Sc:P38109;Sc:P00729	Mm:G3X8T3
Q8WUU5	Q9UIF7	57798	4595	GATAD1	MUTYH	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	-	-
Q8WUU5	Q9P000	57798	29099	GATAD1	COMMD9	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	Mm:Q8K2Q0;Rn:Q3MIE7	Dr:A4QN68
Q8WUU5	Q13099	57798	8100	GATAD1	IFT88	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	Ce:G5ED37;Rn:A0A096MK92	Dm:Q7KRS6;Dr:B0UYB0;Mm:Q61371
Q8WUU5	O15503	57798	3638	GATAD1	INSIG1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	Dr:Q8AV61;Mm:Q8BGI3;Rn:Q08755;Rn:D4A242	-
Q8WUU5	P61201	57798	9318	GATAD1	COPS2	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	Ce:O01422;Dm:Q94899;Dr:Q6IQT4;Mm:P61202;Rn:P61203	-
Q8WUU5	O14978	57798	10127	GATAD1	ZNF263	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	Mm:Q8CF60;Rn:D3ZQ68	-
Q8WUU5	P62081	57798	6201	GATAD1	RPS7	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	Ce:Q23312;Dm:Q9VA91;Dr:P62084;Mm:P62082;Rn:P62083;Sc:P48164;Sc:P26786	-
Q8WUU5	F8WBI7	57798	-	GATAD1	-	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	-	-
Q8WUU5	Q9BRP4	57798	80227	GATAD1	PAAF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	Ce:Q95XR3	-
Q8WUU5	O43581	57798	9066	GATAD1	SYT7	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	Dr:D4P8S0;Mm:Q9R0N7;Rn:Q62747	-
Q8WUU5	Q9Y3A4	57798	27341	GATAD1	RRP7A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	Dm:Q9VMJ1;Dr:A0A0R4IGH7;Mm:Q9D1C9;Rn:D4AE65	-
Q8WUU5	Q8IWT3	57798	23113	GATAD1	CUL9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	Mm:S4R1Y1;Rn:D3ZZP8	-
Q8WUU5	Q9BY43	57798	29082	GATAD1	CHMP4A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	-	-
Q8WUU5	P67775	57798	5515	GATAD1	PPP2CA	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	Dr:Q567Y8;Dr:F1Q6Z7;Mm:P63330	Rn:A0A0G2JYA4;Rn:P63331
Q8WUU5	P0DPD8	57798	110599583;9718	GATAD1	EEF1AKMT4-ECE2	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	-	-
Q8WUU5	Q8WVB3	57798	284004	GATAD1	HEXD	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q920S3;Rn:D4A3T2	Dr:Q1L8G7	Dm:Q9VEB8;Dr:F1R118;Mm:Q3U4H6;Rn:F1LR76	Ce:Q8WTK2
