UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
O60934	P0CAP2	4683	81488	NBN	POLR2M	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:Q5I2W8;Mm:Q9R207;Rn:G3V766	-	Dr:F1Q864;Mm:Q6P6I6	Rn:D4A3N7
O60934	Q8IYN6	4683	283991	NBN	UBALD2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:Q5I2W8;Mm:Q9R207;Rn:G3V766	-	Mm:Q8BQH4;Rn:D3ZX60	-
O60934	Q9BPX7	4683	79020	NBN	C7orf25	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:Q5I2W8;Mm:Q9R207;Rn:G3V766	-	Dm:Q9W0M6;Dr:B0V0W9;Mm:Q91WD4;Rn:Q5M888	Ce:Q19987
O60934	Q8NB15	4683	118472	NBN	ZNF511	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:Q5I2W8;Mm:Q9R207;Rn:G3V766	-	Dr:Q7ZZ00;Mm:Q6P0X2;Rn:D4AAR5	-
O60934	Q9NQG1	4683	63905	NBN	MANBAL	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:Q5I2W8;Mm:Q9R207;Rn:G3V766	-	Mm:A2BGN7;Rn:Q5BJY8	Dr:E7F7U5
O60934	Q8WVM0	4683	51106	NBN	TFB1M	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:Q5I2W8;Mm:Q9R207;Rn:G3V766	-	Ce:P91424;Dm:Q9VTM5;Mm:Q8JZM0;Rn:A0A0G2JZ68	Dr:F1QQ24
O60934	P82921	4683	54460	NBN	MRPS21	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:Q5I2W8;Mm:Q9R207;Rn:G3V766	-	Ce:Q9GYI2;Dm:Q8I0J3;Dr:F1QKS9;Mm:P58059;Rn:B2RYT0	Rn:M0R3S1
O60934	O94921	4683	5218	NBN	CDK14	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q5I2W8;Mm:Q9R207;Rn:G3V766	-	Mm:O35495	Dm:Q7KM04
O60934	Q92900	4683	5976	NBN	UPF1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:Q5I2W8;Mm:Q9R207;Rn:G3V766	-	Dm:Q9VYS3;Mm:Q9EPU0;Rn:A0A0U1RS25;Sc:P30771	Dr:F1RCY6
O60934	Q96JK2	4683	8816	NBN	DCAF5	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:Q5I2W8;Mm:Q9R207;Rn:G3V766	-	Mm:Q80T85;Rn:G3V6K4	-
O60934	Q96LZ7	4683	151393	NBN	RMDN2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q5I2W8;Mm:Q9R207;Rn:G3V766	-	Ce:Q8MQB5;Mm:Q8BSE0;Rn:Q498D5	-
