UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q7JJ13	Q8CC84	14312	75099	Brd2	Lysmd4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:P25440	Dr:Q1LWX7;Rn:Q6MGA9	Hs:Q5XG99;Rn:M0R4W5	Dr:Q6P606
Q7JJ13	Q6P9L6	14312	209737	Brd2	Kif15	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:P25440	Dr:Q1LWX7;Rn:Q6MGA9	Hs:Q9NS87;Rn:A0A0G2K0M1;Sc:P25386	-
Q7JJ13	Q80X80	14312	71764	Brd2	C2cd2l	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:P25440	Dr:Q1LWX7;Rn:Q6MGA9	Hs:O14523;Rn:Q5U2P5	Dr:A2BFN9
Q7JJ13	Q9D6X5	14312	69698	Brd2	Slc52a3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:P25440	Dr:Q1LWX7;Rn:Q6MGA9	Hs:Q9NQ40;Ce:Q3LFN0;Ce:G4SDH4;Dm:Q9V9S9	Dr:A0A0R4I9C5;Rn:G3V6N3
Q7JJ13	Q8C407	14312	67864	Brd2	Yipf4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:P25440	Dr:Q1LWX7;Rn:Q6MGA9	Hs:Q9BSR8;Ce:A5PEX8;Dr:Q6NYF1;Rn:Q5M7T4	-
Q7JJ13	Q9D071	14312	72199	Brd2	Mms19	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:P25440	Dr:Q1LWX7;Rn:Q6MGA9	Hs:Q96T76;Dm:Q95U54;Rn:M0R6T4;Sc:P40469	Dr:R4GEM8
Q7JJ13	Q9JLJ1	14312	80795	Brd2	Selenok	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:P25440	Dr:Q1LWX7;Rn:Q6MGA9	Hs:Q9Y6D0;Rn:A0A0G2JSN7	Dr:B5DDG0
Q7JJ13	Q6ZQ18	14312	668212	Brd2	Efr3b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:P25440	Dr:Q1LWX7;Rn:Q6MGA9	Hs:Q9Y2G0;Rn:F1LTW9	Dr:Q5SPP5
Q7JJ13	Q8BRU6	14312	214084	Brd2	Slc18a2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:P25440	Dr:Q1LWX7;Rn:Q6MGA9	Hs:Q05940;Dr:F1QVV1	Rn:A0A0G2JSJ6
Q7JJ13	A2AGW6	14312	277668	Brd2	Gm13088	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:P25440	Dr:Q1LWX7;Rn:Q6MGA9	-	-
