UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q99PP7	Q8BHP2	94093	213765	Trim33	Nutm1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q86Y26;Rn:D3ZMR4	-
Q99PP7	Q6NVH0	94093	383103	Trim33	Tvp23a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:A6NH52;Rn:D4A2T2	-
Q99PP7	Q8K3F6	94093	110862	Trim33	Kcnq3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O43525;Rn:A0A0H2UI30	-
Q99PP7	A2AJ76	94093	-	Trim33	Hmcn2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q99PP7	A2AJW5	94093	71532	Trim33	Fam217b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9NTX9;Rn:D3ZSF0	-
Q99PP7	Q6PCP3	94093	70686	Trim33	Dusp16	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9BY84;Dr:F1RDV6;Rn:D4A3W6	-
Q99PP7	P70371	94093	21749	Trim33	Terf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P54274;Dr:F1QKQ7;Rn:Q5EB98	-
Q99PP7	Q9JK81	94093	60315	Trim33	Myg1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Ce:O17606;Dr:A0A140LG01;Rn:Q641W2;Sc:P40093	-
Q99PP7	Q8VI38	94093	227671	Trim33	Gbgt1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8N5D6;Dr:A2CED5	Dr:B0R0W5;Dr:A2BIR9;Dr:A2CED1;Dr:F1QT08;Dr:B0S7I1
Q99PP7	D3Z1I8	94093	-	Trim33	Gm10717	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q99PP7	Q80Y55	94093	100383	Trim33	Bsdc1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9NW68;Dr:A2BIJ3;Rn:D4A3M7	-
Q99PP7	Q5RJH2	94093	244049	Trim33	Mctp2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q6DN12	Rn:A0A096MKH3
Q99PP7	Q62187	94093	22130	Trim33	Ttf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Rn:D4A1Z7	-
Q99PP7	Q8VEA8	94093	226421	Trim33	Rab7b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96AH8;Rn:D4A7A8	-
Q99PP7	Q7TPG6	94093	329731	Trim33	Tafa3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q7Z5A8;Rn:F1LXB8	-
Q99PP7	Q925T4	94093	54711	Trim33	Plagl2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9UPG8;Dr:B3DK35;Rn:A0A0G2JZX7	-
