UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9BUJ2	P00338	11100	3939	HNRNPUL1	LDHA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	Mm:P06151;Rn:P04642	-
Q9BUJ2	Q7L9B9	11100	80820	HNRNPUL1	EEPD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	Dr:F1Q8T0;Mm:Q3TGW2;Rn:Q5XI74	-
Q9BUJ2	P07437	11100	203068	HNRNPUL1	TUBB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	Mm:P99024;Rn:P69897	Dr:F1R4K1
Q9BUJ2	P50395	11100	2665	HNRNPUL1	GDI2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	Dr:Q6TNT9;Mm:Q61598;Rn:P50399	-
Q9BUJ2	Q12974	11100	8073	HNRNPUL1	PTP4A2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	Mm:O70274;Rn:Q6P9X4	-
Q9BUJ2	Q14155	11100	8874	HNRNPUL1	ARHGEF7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	-	-
Q9BUJ2	Q9UKZ1	11100	55571	HNRNPUL1	CNOT11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	Dr:A4QP78;Mm:Q9CWN7;Rn:B0BNA9	-
Q9BUJ2	Q14669	11100	9320	HNRNPUL1	TRIP12	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	-	-
Q9BUJ2	P53990	11100	9798	HNRNPUL1	IST1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	-	-
Q9BUJ2	Q9ULX9	11100	23764	HNRNPUL1	MAFF	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	Mm:O54791;Rn:D3ZC87	-
Q9BUJ2	Q8WXE1	11100	84126	HNRNPUL1	ATRIP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	Dr:Q1LXB1;Mm:Q8BMG1	Rn:D4A4M3
Q9BUJ2	Q96NR8	11100	145226	HNRNPUL1	RDH12	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	Mm:Q8BYK4	Rn:D3ZEP9
Q9BUJ2	Q8IXW0	11100	256329	HNRNPUL1	LMNTD2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	Mm:Q0VET5;Rn:B1WC94	-
Q9BUJ2	Q9BQP7	11100	92667	HNRNPUL1	MGME1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	Dr:B8A4D5;Mm:Q9CXC3;Rn:Q5PPI6	-
Q9BUJ2	Q12983	11100	664	HNRNPUL1	BNIP3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	Mm:O55003;Rn:Q9ET45	-
Q9BUJ2	Q8N5D0	11100	23038	HNRNPUL1	WDTC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	Ce:Q4W5Q8;Dm:Q7K7W5;Mm:Q80ZK9;Rn:D4A7Z0	Dr:B3DJF2
Q9BUJ2	Q9HAN9	11100	64802	HNRNPUL1	NMNAT1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	Ce:P91851;Dr:E9QH56;Mm:Q9EPA7;Rn:A0JPJ0	Ce:Q9XXM2
Q9BUJ2	O43159	11100	23378	HNRNPUL1	RRP8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	Mm:Q9DB85;Rn:Q5U4F0	-
Q9BUJ2	Q96S65	11100	64651	HNRNPUL1	CSRNP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	Mm:P59054;Rn:D4AAK3	Dr:F1QNJ1
Q9BUJ2	Q9NXR1	11100	54820	HNRNPUL1	NDE1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:Q1L9A1;Dr:E7F071;Mm:Q8VDM6;Rn:D4A962	-	Dr:A0A0R4IFA2;Mm:Q9CZA6	Rn:Q9ES39
