UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8BTQ0	J3QPC3	69587	414069	PcgF3	BC024978	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q3KNV8;Dm:Q9VV77;Rn:B2RZ26	-	Hs:Q5BKX5;Dr:B0V3H4;Rn:F1M597	-
Q8BTQ0	Q9Z1G3	69587	66335	PcgF3	Atp6v1c1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q3KNV8;Dm:Q9VV77;Rn:B2RZ26	-	Hs:P21283;Ce:Q9XXU9;Dm:Q9V7N5;Rn:Q5FVI6	Dr:Q7T385
Q8BTQ0	Q60749	69587	20218	PcgF3	Khdrbs1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q3KNV8;Dm:Q9VV77;Rn:B2RZ26	-	Hs:Q07666;Dr:Q6NW62;Rn:Q91V33	-
Q8BTQ0	E9Q7L0	69587	239017	PcgF3	Ogdhl	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q3KNV8;Dm:Q9VV77;Rn:B2RZ26	-	Hs:Q9ULD0	Dr:E7FGK9;Rn:D3ZQD3
Q8BTQ0	Q8R3C1	69587	232196	PcgF3	-	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q3KNV8;Dm:Q9VV77;Rn:B2RZ26	-	Hs:Q9NWW7;Rn:B2RYC3	-
Q8BTQ0	P84228	69587	15077;260423;319148;319149;319150;319151;319154;97114	PcgF3	H3c2;H3c3;H3c4;H3c6;H3c7;H3c13;H3c14;H3c15	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q3KNV8;Dm:Q9VV77;Rn:B2RZ26	-	-	-
Q8BTQ0	O35493	69587	12750	PcgF3	Clk4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q3KNV8;Dm:Q9VV77;Rn:B2RZ26	-	Hs:Q9HAZ1;Rn:Q6AYK7	-
Q8BTQ0	Q8VE01	69587	75219	PcgF3	Dusp18	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q3KNV8;Dm:Q9VV77;Rn:B2RZ26	-	Hs:Q8NEJ0;Rn:F1LN58	-
Q8BTQ0	Q8K4D3	69587	215335	PcgF3	Slc36a1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q3KNV8;Dm:Q9VV77;Rn:B2RZ26	-	Hs:Q7Z2H8;Rn:Q924A5	-
Q8BTQ0	A0A0R4J025	69587	71330	PcgF3	Rcbtb1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q3KNV8;Dm:Q9VV77;Rn:B2RZ26	-	Hs:Q8NDN9;Dr:B8A4R1;Rn:D4AD40	-
Q8BTQ0	Q9CPW2	69587	68165	PcgF3	Fdx2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q3KNV8;Dm:Q9VV77;Rn:B2RZ26	-	Hs:Q6P4F2;Ce:Q9NA32;Dm:P37193;Rn:D4A8N2	-
Q8BTQ0	Q9D1R1	69587	68472	PcgF3	Tmem126b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q3KNV8;Dm:Q9VV77;Rn:B2RZ26	-	Hs:Q8IUX1;Rn:B2RZD2	-
Q8BTQ0	Q91Y86	69587	26419	PcgF3	Mapk8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q3KNV8;Dm:Q9VV77;Rn:B2RZ26	-	-	-
Q8BTQ0	Q8BR07	69587	12121	PcgF3	Bicd1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q3KNV8;Dm:Q9VV77;Rn:B2RZ26	-	-	-
Q8BTQ0	P09024	69587	15415	PcgF3	Hoxb7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q3KNV8;Dm:Q9VV77;Rn:B2RZ26	-	Hs:P09629;Dr:Q8AWY9;Rn:P18864	-
