UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q96LW1	F8W099	117608	-	ZNF354B	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	-	-
Q96LW1	P06132	117608	7389	ZNF354B	UROD	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Dm:Q9V595;Dr:Q9PTS2;Mm:P70697;Rn:B0BN55;Sc:P32347	-
Q96LW1	E7EQL1	117608	-	ZNF354B	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	-	-
Q96LW1	Q9UL26	117608	57403	ZNF354B	RAB22A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Dr:Q6TGV2;Mm:P35285;Rn:B0BN19	-
Q96LW1	Q9NVJ2	117608	55207	ZNF354B	ARL8B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Dr:Q6NZW8;Mm:Q9CQW2;Rn:Q66HA6	-
Q96LW1	Q8IV01	117608	91683	ZNF354B	SYT12	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Mm:Q920N7;Rn:P97610	Dr:B3DJ38
Q96LW1	Q5NDL2	117608	285203	ZNF354B	EOGT	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Ce:Q9XTX0;Dm:Q9VQB7;Mm:Q8BYW9	Dr:X1WGG5;Rn:A0A0G2K4R9
Q96LW1	Q13286	117608	1201	ZNF354B	CLN3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	-	-
Q96LW1	Q9UBC2	117608	58513	ZNF354B	EPS15L1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Ce:Q9BIF4;Mm:Q60902;Rn:D3ZJR1	Dm:E3CTP7;Dr:F8W5C4
Q96LW1	Q8N511	117608	147007	ZNF354B	TMEM199	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Mm:Q5SYH2;Rn:Q5BK13	Dr:X1WFW8
Q96LW1	Q12846	117608	6810	ZNF354B	STX4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Dr:Q7ZV18;Mm:P70452;Rn:G3V8I4	-
Q96LW1	Q9BWP8	117608	78989	ZNF354B	COLEC11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Rn:F1LSS7	Dr:F1RCL0;Mm:A0A1Y7VKG6
Q96LW1	O43681	117608	439	ZNF354B	GET3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Dm:Q7JWD3;Dr:Q6IQE5;Mm:O54984;Rn:G3V9T7;Sc:Q12154	Ce:P30632
Q96LW1	Q96FN4	117608	221184	ZNF354B	CPNE2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Dr:Q1LX40;Mm:P59108	Rn:F1M1L9
Q96LW1	H3BMM5	117608	-	ZNF354B	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	-	-
Q96LW1	Q8TCN5	117608	22847	ZNF354B	ZNF507	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Mm:Q6ZPY5;Rn:D3ZYC1	Dr:E7F342
Q96LW1	Q9BR09	117608	140825	ZNF354B	NEURL2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Dm:Q9W112;Mm:A2A5J5;Rn:B0BMZ0	Dr:F1R8J5
Q96LW1	P28799	117608	2896	ZNF354B	GRN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Rn:G3V8V1	Dr:F1R6I2;Mm:P28798
Q96LW1	O75436	117608	9559	ZNF354B	VPS26A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Dr:Q6TNP8;Mm:P40336;Rn:Q6AY86	-
Q96LW1	P55795	117608	3188	ZNF354B	HNRNPH2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Mm:P70333	Rn:Q6AY09
Q96LW1	Q12768	117608	9897	ZNF354B	WASHC5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Dm:Q9VUY8;Mm:Q8C2E7;Rn:F1M1B3	Ce:O01858;Dr:A0A0R4IF25
Q96LW1	Q8IVD9	117608	23386	ZNF354B	NUDCD3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Dm:Q8IN95;Dr:A0A0R4IY34;Mm:Q8R1N4	-
Q96LW1	Q5TB80	117608	22832	ZNF354B	CEP162	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Dr:E7F5E1;Mm:Q6ZQ06;Rn:Q4KLH6	-
Q96LW1	O15525	117608	4097	ZNF354B	MAFG	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Mm:O54790;Rn:Q76MX4	-
Q96LW1	Q9BZE9	117608	79058	ZNF354B	ASPSCR1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Dm:Q6NL44;Mm:Q8VBT9;Rn:F1LR71	Ce:Q17425
Q96LW1	Q9BSD3	117608	83695	ZNF354B	RHNO1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXT9	Rn:D3ZUE7	Dr:E7F2N1;Mm:E9Q1D4;Rn:Q6AY26	-
