UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9UHK0	Q96GN5	26747	55536	NUFIP1	CDCA7L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXX8;Rn:Q641W3	-	Mm:Q922M5;Rn:Q4G059	-
Q9UHK0	Q9Y316	26747	51072	NUFIP1	MEMO1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXX8;Rn:Q641W3	-	Ce:Q22915;Dm:Q9VG04;Dr:A9JTC4;Mm:Q91VH6;Sc:P47085	Rn:F1LNE5
Q9UHK0	Q9UBS9	26747	51430	NUFIP1	SUCO	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXX8;Rn:Q641W3	-	Dr:A0A0R4IAV9;Mm:Q8C341;Rn:A0A0G2KAG1	-
Q9UHK0	Q9Y366	26747	51098	NUFIP1	IFT52	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXX8;Rn:Q641W3	-	Ce:G5EDF6;Mm:Q62559;Rn:D4A5T7	Dr:A8DZG0
Q9UHK0	Q9BSG5	26747	83546	NUFIP1	RTBDN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXX8;Rn:Q641W3	-	Mm:Q8QZY4;Rn:D3ZWD2	-
Q9UHK0	Q06136	26747	2531	NUFIP1	KDSR	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXX8;Rn:Q641W3	-	Ce:U4PBL3;Dm:Q9VBU5;Dr:F1QWW8;Mm:Q6GV12;Rn:D3Z9P1	-
Q9UHK0	Q4G0U5	26747	200373	NUFIP1	CFAP221	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXX8;Rn:Q641W3	-	Mm:A9Q751;Rn:A0A0G2K0U0	Dr:E9QB66
Q9UHK0	Q6P4F1	26747	84750	NUFIP1	FUT10	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXX8;Rn:Q641W3	-	Dm:Q9VLC1;Mm:Q5F2L2;Rn:M0R8J2	-
Q9UHK0	P60484	26747	5728	NUFIP1	PTEN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXX8;Rn:Q641W3	-	Dr:Q7ZZ56;Dr:Q6TGR7;Mm:O08586;Rn:O54857	Dm:Q9Y0B6
Q9UHK0	O14497	26747	8289	NUFIP1	ARID1A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXX8;Rn:Q641W3	-	Dr:A0A0R4IKJ3;Mm:A2BH40;Rn:D4A3E3	Dr:A0A0R4IR17
Q9UHK0	Q9NZC7	26747	51741	NUFIP1	WWOX	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXX8;Rn:Q641W3	-	Ce:Q19062;Ce:O45680;Ce:Q9UAW2;Dm:Q9VLU5;Dr:F8W4Q2;Mm:Q91WL8	-
Q9UHK0	Q9NWD8	26747	55069	NUFIP1	TMEM248	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9QXX8;Rn:Q641W3	-	Dr:F1QDI7;Mm:Q3TBN1;Rn:Q6AY76	-
