UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9ULJ3	Q9NQY0	49854	55909	ZBTB21	BIN3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:E9Q444;Rn:D3ZVF2	-	Mm:Q9JI08;Rn:Q68FW8;Sc:P25343	-
Q9ULJ3	Q9NZL4	49854	23640	ZBTB21	HSPBP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:E9Q444;Rn:D3ZVF2	-	Dr:A0A0R4ILS8;Mm:Q99P31;Rn:Q6IMX7	-
Q9ULJ3	Q96BY2	49854	64112	ZBTB21	MOAP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:E9Q444;Rn:D3ZVF2	-	Mm:Q9ERH6;Rn:Q5BJV6	-
Q9ULJ3	Q53GI3	49854	84124	ZBTB21	ZNF394	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:E9Q444;Rn:D3ZVF2	-	Mm:Q9Z1D9;Rn:Q498N6	-
Q9ULJ3	Q86SQ9	49854	79947	ZBTB21	DHDDS	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:E9Q444;Rn:D3ZVF2	-	Ce:Q5FC21;Dm:Q9W3M6;Dr:F1R4X6;Mm:Q99KU1;Rn:Q5U2T2;Sc:P35196;Sc:Q03175	-
Q9ULJ3	Q7Z3K3	49854	23126	ZBTB21	POGZ	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:E9Q444;Rn:D3ZVF2	-	Dr:F1R5F8;Mm:Q8BZH4;Rn:A0A0G2JY58	-
Q9ULJ3	Q8NHV4	49854	121441	ZBTB21	NEDD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:E9Q444;Rn:D3ZVF2	-	Dm:Q9VJ57;Mm:P33215;Rn:D3ZAH3	-
Q9ULJ3	Q8N9N7	49854	255252	ZBTB21	LRRC57	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:E9Q444;Rn:D3ZVF2	-	Dm:Q9W3T9;Mm:Q8JZX5	-
Q9ULJ3	Q52WX2	49854	388228	ZBTB21	SBK1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:E9Q444;Rn:D3ZVF2	-	Ce:Q11090;Mm:Q8QZX0;Rn:Q9Z335	Dr:E7F802
Q9ULJ3	P48730	49854	1453	ZBTB21	CSNK1D	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:E9Q444;Rn:D3ZVF2	-	Mm:Q9DC28;Rn:Q06486	-
