UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q6P280	Q92608	57711	1794	ZNF529	DOCK2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8C3J5	-
Q6P280	P12236	57711	293	ZNF529	SLC25A6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	Dr:B0S730
Q6P280	Q9NX65	57711	54925	ZNF529	ZSCAN32	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q6P280	Q9NXE8	57711	54883	ZNF529	CWC25	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VQF5;Dr:Q7ZVW8;Mm:Q9DBF7;Rn:G3V6I3	-
Q6P280	O75185	57711	9914	ZNF529	ATP2C2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:A7L9Z8;Rn:M0RAF9	-
Q6P280	Q9Y2Z2	57711	25821	ZNF529	MTO1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q20680;Dm:Q9W245;Dr:F1R509;Mm:G5E889;Rn:F1LYH3;Sc:P53070	-
Q6P280	K7EPL6	57711	-	ZNF529	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q6P280	Q96JP0	57711	56929	ZNF529	FEM1C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8CEF1;Rn:D3ZZR4	-
Q6P280	Q6ZW33	57711	84953	ZNF529	MICALCL	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q6P280	F5H0A9	57711	-	ZNF529	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q6P280	Q15697	57711	7727	ZNF529	ZNF174	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:B9EJW5;Rn:D3ZNW1	-
Q6P280	Q9NSI6	57711	54014	ZNF529	BRWD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q921C3	Rn:D4AAI9
Q6P280	Q9NPH9	57711	55801	ZNF529	IL26	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q6P280	Q99614	57711	7265	ZNF529	TTC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VEV3;Dr:F1QZK4;Mm:Q91Z38;Rn:Q66H09	Ce:O44951
Q6P280	Q9P202	57711	25861	ZNF529	WHRN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q80VW5;Rn:G3V675	Dm:Q9VU98;Dr:E7F2D8
Q6P280	Q9H7Z6	57711	84148	ZNF529	KAT8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VAV6;Mm:Q9D1P2;Rn:Q5XI06	Dr:F1QX50
Q6P280	Q9NR09	57711	57448	ZNF529	BIRC6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q6P280	Q5T1R4	57711	59269	ZNF529	HIVEP3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:A2A884;Rn:D3ZRB5	-
Q6P280	P00813	57711	100	ZNF529	ADA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P03958;Rn:Q920P6;Sc:P53909	Dr:F1RA33
Q6P280	O43556	57711	8910	ZNF529	SGCE	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q6P280	P10827	57711	7067	ZNF529	THRA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:O45987;Dr:U3JAT9;Mm:P63058	Rn:G3V764
Q6P280	Q99941	57711	1388	ZNF529	ATF6B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:A0A0A0MQ69;Rn:Q4G097	-
Q6P280	Q96HA4	57711	54991	ZNF529	C1orf159	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:A2ASP7;Rn:Q5XIR1	Dr:X1WBI6
Q6P280	Q9NYQ6	57711	9620	ZNF529	CELSR1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q6P280	Q9Y2D2	57711	23443	ZNF529	SLC35A3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q6P280	Q6ZUT3	57711	90167	ZNF529	FRMD7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:A2AD83;Rn:F1M1Y3	-
Q6P280	Q15022	57711	23512	ZNF529	SUZ12	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9NJG9;Dr:B0R1D5;Mm:Q80U70;Rn:A0A0G2K2I0	-
Q6P280	P78417	57711	9446	ZNF529	GSTO1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:O09131;Rn:Q6AXR6	Dr:F1QN72;Dr:F1QBZ6
Q6P280	O95452	57711	10804	ZNF529	GJB6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P70689;Rn:Q6AZ42	-
