UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9UJN7	P55201	346157	7862	ZNF391	BRPF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Rn:D4A411	Dr:H9GXF8;Mm:Q80XK2
Q9UJN7	Q14721	346157	3745	ZNF391	KCNB1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Mm:Q03717;Rn:A0A0H2UI34	-
Q9UJN7	P56696	346157	9132	ZNF391	KCNQ4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Ce:Q8MQC5;Mm:Q9JK97;Rn:A0A0G2K666	-
Q9UJN7	Q9H1A3	346157	51108	ZNF391	METTL9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Ce:Q22123;Dm:Q9W1H1;Dr:F1R335;Mm:Q9EPL4;Rn:D3ZZ04	-
Q9UJN7	Q9Y2K2	346157	23387	ZNF391	SIK3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Ce:Q10925;Mm:E9PU87;Rn:M0RD40	-
Q9UJN7	O43615	346157	10469	ZNF391	TIMM44	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Ce:O02161;Dr:Q1LUQ3;Mm:O35857;Rn:G3V640;Sc:Q01852	Dm:Q9VDZ8
Q9UJN7	Q9P0I2	346157	55831	ZNF391	EMC3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Ce:Q9U1X6;Dm:Q9VKR0;Dr:Q7SXW4;Mm:Q99KI3;Rn:Q5U2V8;Sc:P36039	-
Q9UJN7	Q96EX3	346157	89891	ZNF391	WDR34	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Dr:A7MD87;Rn:A0A0G2QC64	Mm:Q5U4F6
Q9UJN7	Q96CU9	346157	55572	ZNF391	FOXRED1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Ce:Q21504;Dm:A1Z6N5;Dr:A0A0R4IHD6;Mm:Q3TQB2;Rn:D3ZEH2	-
Q9UJN7	O15075	346157	9201	ZNF391	DCLK1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	-	Rn:A0A0G2KB92
Q9UJN7	Q13568	346157	3663	ZNF391	IRF5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Mm:P56477;Rn:D3ZPU1	Dr:B7SEE1
Q9UJN7	Q15386	346157	9690	ZNF391	UBE3C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Dm:Q9W196;Mm:Q80U95	Rn:D3ZHB7
Q9UJN7	Q14919	346157	10589	ZNF391	DRAP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Dr:F1R8S0;Mm:Q9D6N5;Rn:A0JPP1	-
Q9UJN7	P28324	346157	2005	ZNF391	ELK4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Dr:F1R0K1;Mm:P41158;Rn:B4F7D4	-
Q9UJN7	Q52LA3	346157	91750	ZNF391	LIN52	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Dm:Q9W482;Mm:Q8CD94;Rn:D4A6T8	Dr:A0AUQ6
Q9UJN7	Q6UX04	346157	10283	ZNF391	CWC27	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Ce:Q9XXI7;Dm:Q9VTN7;Dr:F1QRY1;Mm:Q3TKY6;Rn:Q5XIB2	-
Q9UJN7	Q9NTW7	346157	55734	ZNF391	ZFP64	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Rn:Q5U2X9	Mm:A2AQR3
Q9UJN7	Q06136	346157	2531	ZNF391	KDSR	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Ce:U4PBL3;Dm:Q9VBU5;Dr:F1QWW8;Mm:Q6GV12;Rn:D3Z9P1	-
Q9UJN7	Q5SQN1	346157	116841	ZNF391	SNAP47	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Ce:Q8IG38	-	Dr:Q0P4A7;Mm:Q8R570;Rn:Q6P6S0	-
