UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9ULD5	P62273	27153	6235	ZNF777	RPS29	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:B9EKF4	Rn:F1LV17	Ce:P90983;Dm:Q9VH69;Dr:Q6Q419;Mm:P62274;Rn:P62275;Sc:P41058;Sc:P41057	-
Q9ULD5	Q92624	27153	10513	ZNF777	APPBP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:B9EKF4	Rn:F1LV17	Dr:Q6NY32;Mm:Q9DAX9;Rn:A5HK05	Dm:M9PGT5
Q9ULD5	P00338	27153	3939	ZNF777	LDHA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:B9EKF4	Rn:F1LV17	Mm:P06151;Rn:P04642	-
Q9ULD5	Q9BX46	27153	221662	ZNF777	RBM24	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:B9EKF4	Rn:F1LV17	Mm:D3Z4I3	Dr:E9QCG4;Rn:M0R7T6
Q9ULD5	Q96J84	27153	55243	ZNF777	KIRREL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:B9EKF4	Rn:F1LV17	Mm:Q80W68;Rn:Q6X936	Dr:B0V1H1;Dr:Q6NY23
Q9ULD5	Q9BR77	27153	84318	ZNF777	CCDC77	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:B9EKF4	Rn:F1LV17	Dr:E7FBZ5;Mm:Q9CZH8	Rn:D3ZHU5
Q9ULD5	Q05C16	27153	220416	ZNF777	LRRC63	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:B9EKF4	Rn:F1LV17	-	-
Q9ULD5	Q9UGP4	27153	8994	ZNF777	LIMD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:B9EKF4	Rn:F1LV17	Mm:Q9QXD8;Rn:B5DEH0	-
Q9ULD5	Q7Z6J9	27153	283989	ZNF777	TSEN54	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:B9EKF4	Rn:F1LV17	Dr:F1QIM0;Mm:Q8C2A2;Rn:D3ZZT6	-
Q9ULD5	P54098	27153	5428	ZNF777	POLG	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:B9EKF4	Rn:F1LV17	Ce:Q9U208;Dm:Q27607;Dr:F8W5R6;Mm:Q75WC0;Rn:Q9QYV8;Sc:P15801	-
Q9ULD5	Q9BYD1	27153	28998	ZNF777	MRPL13	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:B9EKF4	Rn:F1LV17	Ce:Q95QL2;Dm:Q9VJ38;Dr:F1QQ34;Mm:Q9D1P0;Rn:Q5XFW4;Sc:Q12487	-
Q9ULD5	Q96E40	27153	11092	ZNF777	SPACA9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:B9EKF4	Rn:F1LV17	Mm:Q7TPM5	Dr:A2BFD4;Rn:Q4V8P4
Q9ULD5	Q5BKY9	27153	257415	ZNF777	FAM133B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:B9EKF4	Rn:F1LV17	Dm:Q9W3Z5;Mm:Q9CVI2;Rn:Q505I5	-
Q9ULD5	P39880	27153	1523	ZNF777	CUX1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:B9EKF4	Rn:F1LV17	Dr:E7F4J9;Rn:P53565	-
Q9ULD5	Q9HA82	27153	79603	ZNF777	CERS4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:B9EKF4	Rn:F1LV17	Mm:Q9D6J1	Rn:D3ZU86
Q9ULD5	Q9UFC0	27153	222229	ZNF777	LRWD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:B9EKF4	Rn:F1LV17	Mm:Q8BUI3;Rn:A0A140UHX1	-
