UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
O88974	Q924S8	-	114715	Setdb1	Spred1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q7Z699;Dr:F1R8L9;Rn:Q3C2P9	-
O88974	Q8CD76	-	16593	Setdb1	Klc1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:E7EVH7	Hs:G3V2P7;Dm:M9PFG7;Rn:A0A140TAB3
O88974	Q9WV32	-	11867	Setdb1	Arpc1b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O15143;Rn:O88656;Sc:P38328	Dr:Q7T372
O88974	O54824	-	16170	Setdb1	Il16	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q14005;Dr:A0A0G2KD61	Rn:D4A4I9
O88974	Q9CQJ8	-	66218	Setdb1	Ndufb9	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9Y6M9;Dm:Q9VJZ4;Dr:Q567Y4;Rn:B2RYW3	Ce:Q18036
O88974	Q8BIA4	-	231672	Setdb1	Fbxw8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8N3Y1;Rn:P0DL28	Dr:F1R9M6
O88974	Q9WTP7	-	56248	Setdb1	Ak3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9UIJ7;Dr:F1R4S7;Rn:Q6P2A5	-
O88974	Q9D4H1	-	66482	Setdb1	Exoc2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96KP1;Ce:Q22706;Dm:Q9VQQ9;Dr:Q5RGD7;Sc:P89102	Rn:F1LMB9
O88974	P51859	-	15191	Setdb1	Hdgf	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P51858;Rn:F1LPC7	-
O88974	O35904	-	18707	Setdb1	Pik3cd	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
O88974	Q80X71	-	71900	Setdb1	Tmem106b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9NUM4;Dr:Z4YHQ6;Rn:Q6AYA5	-
O88974	Q8BHA3	-	328092	Setdb1	Dtd2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96FN9;Dr:F1QCP5;Rn:B0K034	-
O88974	A0A0A0MQB3	-	-	Setdb1	Slc26a6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9BXS9;Dr:A9C3T3	Rn:D3Z9I5
