UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9UL36	P61011	7776	6729	ZNF236	SRP54	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:G5EE80;Dm:Q9V3D9;Mm:P14576;Rn:Q6AYB5;Sc:P20424	Dr:Q7ZVN5
Q9UL36	Q9NXP7	7776	54826	ZNF236	GIN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8K259;Rn:Q66H30	-
Q9UL36	Q8IY67	7776	125950	ZNF236	RAVER1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9UL36	Q9Y5U2	7776	10078	ZNF236	TSSC4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1Q8E9;Mm:Q9JHE7;Rn:Q5XIB1	-
Q9UL36	Q9NZC4	7776	26298	ZNF236	EHF	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9UL36	P68431	7776	8350;8351;8352;8353;8354;8355;8356;8357;8358;8968	ZNF236	H3C1;H3C2;H3C3;H3C4;H3C6;H3C7;H3C8;H3C10;H3C11;H3C12	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9UL36	Q8WZ73	7776	117584	ZNF236	RFFL	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1QFN6;Mm:Q6ZQM0;Rn:Q8CIN9	-
Q9UL36	Q5JS54	7776	389362	ZNF236	PSMG4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P0C7N9;Rn:B2RZB8	Dr:A0A2R8QNS5
Q9UL36	O95834	7776	24139	ZNF236	EML2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q7TNG5;Rn:Q6P6T4	Dr:X1WFN0
Q9UL36	Q8TF42	7776	84959	ZNF236	UBASH3B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VCE9;Dr:A2BFG9;Mm:Q8BGG7;Rn:F1LV21	-
Q9UL36	Q9NUP9	7776	55327	ZNF236	LIN7C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q8IMT8;Dr:Q66IB0;Mm:O88952;Rn:Q792I0	-
Q9UL36	P63146	7776	7320	ZNF236	UBE2B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P63147	Dr:Q6DGE1;Rn:A0A0G2JYU5
Q9UL36	Q9UDY4	7776	11080	ZNF236	DNAJB4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q6DEF3;Mm:Q9D832;Rn:Q5XIP0	-
Q9UL36	O75581	7776	4040	ZNF236	LRP6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:A0A0R4J0A9;Rn:A0A0G2K0H3	-
Q9UL36	P49841	7776	2932	ZNF236	GSK3B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:P18431;Dr:Q9YH60;Mm:Q9WV60;Rn:A0A0G2KB98;Sc:P38615	-
