UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q7TN02	P60867	70625	67427	Med26	Rps20	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:B8ZZF3;Hs:O95402;Rn:D4A913	-	Hs:P60866;Ce:Q8WQA8;Dm:P55828;Rn:M0RB28;Rn:A0A0G2K8W1;Rn:M0R566;Rn:P60868;Sc:P38701	Rn:D3ZZK1
Q7TN02	Q7TSE6	70625	232533	Med26	Stk38l	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:B8ZZF3;Hs:O95402;Rn:D4A913	-	Hs:Q9Y2H1;Dr:Q5RH05	Rn:A4GW50
Q7TN02	Q8R326	70625	66645	Med26	Pspc1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:B8ZZF3;Hs:O95402;Rn:D4A913	-	Hs:Q8WXF1;Ce:B3GWA1;Rn:Q4KLH4	-
Q7TN02	B1B1D3	70625	22700	Med26	Zfp40	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:B8ZZF3;Hs:O95402;Rn:D4A913	-	-	Rn:F1LYD5
Q7TN02	Q9CQ75	70625	17991	Med26	Ndufa2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:B8ZZF3;Hs:O95402;Rn:D4A913	-	Hs:O43678;Ce:Q9XWG2;Dm:Q9VR00;Dr:Q4VBI5;Rn:D3ZS58	-
Q7TN02	Q8CIE6	70625	12847	Med26	Copa	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:B8ZZF3;Hs:O95402;Rn:D4A913	-	-	-
Q7TN02	Q14DL3	70625	74435	Med26	Lrriq3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:B8ZZF3;Hs:O95402;Rn:D4A913	-	Hs:A6PVS8;Rn:Q6AYL8	-
Q7TN02	Q9CPW3	70625	66047	Med26	Mrpl54	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:B8ZZF3;Hs:O95402;Rn:D4A913	-	Hs:Q6P161;Dr:Q1LXI5;Rn:D3Z9K2	-
Q7TN02	Q2VPA6	70625	191578	Med26	Helq	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:B8ZZF3;Hs:O95402;Rn:D4A913	-	Hs:Q8TDG4;Ce:H2KY86;Dm:Q9VSE2;Dr:F1Q4P2;Rn:E9PT19	-
Q7TN02	G5E8I2	70625	74446	Med26	Slc9b1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:B8ZZF3;Hs:O95402;Rn:D4A913	-	Hs:Q4ZJI4	Rn:F1LPN2
