UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q66JW3	Q8BP47	252838	70223	Tox	NARS1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O94900;Rn:D4A1U5	Dr:B0V356	Hs:O43776;Ce:Q19722;Dm:Q9V434;Dr:B8A5D3;Rn:F1LPV0;Sc:P38707	-
Q66JW3	Q7TSJ6	252838	50523	Tox	Lats2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O94900;Rn:D4A1U5	Dr:B0V356	-	-
Q66JW3	Q8BLB7	252838	237339	Tox	L3mbtl3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O94900;Rn:D4A1U5	Dr:B0V356	Hs:Q96JM7;Dr:X1WB99	Rn:D3ZJT9
Q66JW3	H7BWZ9	252838	320615	Tox	Dop1a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O94900;Rn:D4A1U5	Dr:B0V356	Dr:F1R226;Rn:D4A0Y2	Hs:Q5TA12
Q66JW3	Q8VIG1	252838	19712	Tox	Rest	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O94900;Rn:D4A1U5	Dr:B0V356	-	Rn:D4A7T2
Q66JW3	P41158	252838	13714	Tox	Elk4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O94900;Rn:D4A1U5	Dr:B0V356	Hs:P28324;Dr:F1R0K1;Rn:B4F7D4	-
Q66JW3	Q9D3W4	252838	68080	Tox	Gpn3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O94900;Rn:D4A1U5	Dr:B0V356	Hs:Q9UHW5;Ce:Q9XW68;Dm:Q9VI70;Rn:G3V652;Sc:Q06543	Dr:T1ECS8
Q66JW3	O08918	252838	12452	Tox	Ccng2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O94900;Rn:D4A1U5	Dr:B0V356	Hs:Q16589;Dr:Q6NZ31;Rn:B5DFJ6	-
Q66JW3	Q923E4	252838	93759	Tox	Sirt1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O94900;Rn:D4A1U5	Dr:B0V356	Hs:Q96EB6	Dr:E7F8W3;Rn:A0A182DWI7
Q66JW3	P63260	252838	11465	Tox	Actg1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O94900;Rn:D4A1U5	Dr:B0V356	Hs:P63261	-
Q66JW3	Q9D6I3	252838	382562	Tox	Pfn4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O94900;Rn:D4A1U5	Dr:B0V356	Hs:Q8NHR9;Rn:Q5IRJ7;Sc:P07274	Dr:X1WCU6
Q66JW3	Q8BGP6	252838	319653	Tox	Slc25a40	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O94900;Rn:D4A1U5	Dr:B0V356	Hs:Q8TBP6;Dm:Q9VWG0;Dr:Q6DHC3;Rn:Q498U3	Ce:Q09461
