UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9UKN5	Q2M1K9	11108	23090	PRDM4	ZNF423	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q80V63;Rn:F1LPR7	Dr:F1Q8L8	-	-
Q9UKN5	O43303	11108	9738	PRDM4	CCP110	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q80V63;Rn:F1LPR7	Dr:F1Q8L8	Mm:Q7TSH4	Rn:D4A3J9
Q9UKN5	Q12802	11108	11214	PRDM4	AKAP13	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q80V63;Rn:F1LPR7	Dr:F1Q8L8	Mm:E9Q394;Rn:F1M3G7	-
Q9UKN5	Q96F85	11108	25927	PRDM4	CNRIP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q80V63;Rn:F1LPR7	Dr:F1Q8L8	Mm:Q5M8N0;Rn:Q5M7A7	Dr:E9QJH9;Dr:Q6DBX3
Q9UKN5	P30049	11108	513	PRDM4	ATP5F1D	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q80V63;Rn:F1LPR7	Dr:F1Q8L8	Ce:Q09544;Dm:Q9W2X6;Dr:Q1LVG7;Mm:Q9D3D9;Rn:G3V7Y3;Sc:Q12165	-
Q9UKN5	Q8TDW7	11108	120114	PRDM4	FAT3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q80V63;Rn:F1LPR7	Dr:F1Q8L8	-	Dr:F1QA09;Mm:Q8BNA6;Rn:F1LMF4
Q9UKN5	P84103	11108	6428	PRDM4	SRSF3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q80V63;Rn:F1LPR7	Dr:F1Q8L8	Dm:Q02427;Dr:A5WWG4;Dr:Q801U3;Mm:P84104;Rn:Q0ZFS8	-
Q9UKN5	Q9HAH7	11108	64319	PRDM4	FBRS	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q80V63;Rn:F1LPR7	Dr:F1Q8L8	-	Mm:A0A1N9PTV1
Q9UKN5	Q9NQE9	11108	135114	PRDM4	HINT3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q80V63;Rn:F1LPR7	Dr:F1Q8L8	Ce:D3KFR7;Dm:Q6IIA4;Mm:Q9CPS6;Rn:F1M9G8	Dr:E7F132
Q9UKN5	Q06136	11108	2531	PRDM4	KDSR	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q80V63;Rn:F1LPR7	Dr:F1Q8L8	Ce:U4PBL3;Dm:Q9VBU5;Dr:F1QWW8;Mm:Q6GV12;Rn:D3Z9P1	-
