UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9ERR8	O35495	79233	18647	Znf319	Cdk14	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:O94921	Dm:Q7KM04
Q9ERR8	Q7TN37	79233	68667	Znf319	Trpm4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q8TD43;Dr:I3IS25	Dr:F1RC25;Rn:A0A0H2UHX0
Q9ERR8	G5E8X6	79233	320700	Znf319	A930033H14Rik	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	-	-
Q9ERR8	Q505G8	79233	622675	Znf319	Znf827	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	-	-
Q9ERR8	Q9CQ85	79233	56322	Znf319	Timm22	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q9Y584;Ce:Q9NAQ9;Dm:Q8IN78;Dr:E7FA60;Rn:Q9JKW1;Sc:Q12328	-
Q9ERR8	P46935	79233	17999	Znf319	Nedd4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:P46934;Ce:A0A061ACQ8;Dr:A0A0R4IDE6;Rn:A0A0G2K8P3	-
Q9ERR8	Q3V016	79233	233020	Znf319	Hipk4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q8NE63;Rn:Q4V793	-
Q9ERR8	Q99JY9	79233	74117	Znf319	Actr3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:P61158	Rn:A0A0G2K1C0
Q9ERR8	Q9JI44	79233	66233	Znf319	Dmap1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q9NPF5;Ce:A8XQE0;Dm:Q7K3D8;Dr:B8JI50;Rn:Q568Y6	-
Q9ERR8	Q8CB44	79233	223752	Znf319	Gramd4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q6IC98;Rn:F1LYJ8	-
Q9ERR8	P0DOV1	79233	381308	Znf319	Mnda	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	-	-
Q9ERR8	Q9DAK3	79233	69288	Znf319	Rhobtb1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:O94844;Rn:A0A0G2JWZ1	Dr:E7FDG6
Q9ERR8	Q62293	79233	100039796;21822	Znf319	Tgtp1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	-	-
Q9ERR8	Q8BQS4	79233	329739	Znf319	Fam102b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	-	-
Q9ERR8	Q61624	79233	22661	Znf319	Znf148	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q9UQR1;Dr:A0MS83;Rn:Q62806	-
Q9ERR8	Q52KG4	79233	232879	Znf319	Zbtb45	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q96K62;Rn:D4A1A3	-
Q9ERR8	Q9CQJ5	79233	66151	Znf319	Prr13	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q9NZ81;Rn:Q5U1W2	Dr:E7F816
Q9ERR8	Q9JKF6	79233	58235	Znf319	Nectin1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	-	-
Q9ERR8	G5E8K6	79233	217316	Znf319	Slc16a5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	-	-
Q9ERR8	F6S0S7	79233	-	Znf319	E130114P18Rik	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	-	-
Q9ERR8	P60487	79233	57028	Znf319	Pdxp	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q96GD0;Dm:Q9VZW4;Dr:B3DI21;Rn:M0R416	-
Q9ERR8	Q5SV80	79233	66196	Znf319	Myo19	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q96H55;Rn:D3Z8I9	-
Q9ERR8	A0A0R4J263	79233	55979	Znf319	Agpat1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q99943;Dm:Q9VYJ4;Rn:Q6MG85	-
Q9ERR8	Q3U4N2	79233	57295	Znf319	Icmt	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:O60725;Ce:P91266;Ce:P91402;Dm:Q9VU37;Sc:P32584	Dr:F1R5J9;Rn:Q9WVM4
Q9ERR8	O70274	79233	19244	Znf319	Ptp4a2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q12974;Rn:Q6P9X4	-
Q9ERR8	P70390	79233	20429	Znf319	Shox2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:O60902;Dr:Q7SZN8;Rn:G3V7M9	-
Q9ERR8	Q9WV34	79233	50997	Znf319	Mpp2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Dr:F1Q9P1;Rn:D3ZAA9	Hs:A0A087X0C7
Q9ERR8	P35710	79233	20678	Znf319	Sox5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	-	-
Q9ERR8	E9Q4N7	79233	239985	Znf319	Arid1b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	-	-
Q9ERR8	P48381	79233	19726	Znf319	Rfx3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:P48380	Rn:A0A0G2JYT9
Q9ERR8	Q8CDX6	79233	-	Znf319	Gm9996	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	-	-
Q9ERR8	Q9CYR0	79233	381760	Znf319	Ssbp1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	-	-
Q9ERR8	Q07475	79233	27528	Znf319	Nrep	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q16612;Rn:Q80Z34	-
Q9ERR8	P55194	79233	20401	Znf319	Sh3bp1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Ce:C5NU64;Dm:Q9VDS5;Dr:E7FFF8	-
Q9ERR8	Q61647	79233	15116	Znf319	Has1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	-	Hs:M0R2V0;Dr:X1WCR3;Rn:Q8CH93
Q9ERR8	Q80W68	79233	170643	Znf319	Kirrel1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q96J84;Rn:Q6X936	Dr:B0V1H1;Dr:Q6NY23
Q9ERR8	Q6ZQ29	79233	381921	Znf319	Taok2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q9UL54	Rn:F1LSD5
Q9ERR8	Q80TG1	79233	76719	Znf319	Kansl1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	-	-
Q9ERR8	P97857	79233	11504	Znf319	Adamts1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q9UHI8;Rn:Q68EJ2	-
Q9ERR8	O54743	79233	14238	Znf319	Foxf2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q12947;Dr:F1QHL6	-
Q9ERR8	O88816	79233	11298	Znf319	Aanat	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Dr:Q6V7J8;Rn:Q64666	-
Q9ERR8	Q8BWZ3	79233	231713	Znf319	Naa25	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:Q14CX7;Ce:Q21986;Dm:Q9VDQ7;Dr:E7FD56	Rn:A0A0G2K9Q3
Q9ERR8	Q8CFZ6	79233	21922	Znf319	Clec3b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9P2F9;Rn:D4AEC6	-	Hs:P05452;Rn:D3ZUU6	Dr:E7EYJ8;Dr:E7F0Y1
