UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8WXI9	H3BMM0	57459	-	GATAD2B	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	-	-
Q8WXI9	Q4JDL3	57459	26095	GATAD2B	PTPN20	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Ce:P91498;Mm:O55082	Rn:A1L1L3
Q8WXI9	Q5TF39	57459	91749	GATAD2B	MFSD4B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Dr:F1R9M5;Mm:J3QNS5;Mm:Q8VCV9;Rn:F1LTM4;Rn:D3Z9X5	Rn:M0RAV5
Q8WXI9	P41970	57459	2004	GATAD2B	ELK3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Dr:F1QIB0;Mm:P41971;Rn:D4A9V6	-
Q8WXI9	Q9ULW5	57459	25837	GATAD2B	RAB26	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Ce:G5EFA6;Mm:Q504M8;Rn:P51156	-
Q8WXI9	Q02548	57459	5079	GATAD2B	PAX5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Mm:Q02650	Dr:F1QGF8;Rn:F1M4W2
Q8WXI9	Q9HCM7	57459	57666	GATAD2B	FBRSL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Dr:A5WW09;Mm:E9Q9T0	Rn:F1M3A0
Q8WXI9	Q5TBA9	57459	10129	GATAD2B	FRY	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	-	-
Q8WXI9	P46926	57459	10007	GATAD2B	GNPDA1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Dr:Q567X3;Mm:O88958	Rn:M0RCH5
Q8WXI9	Q4VXA5	57459	80759	GATAD2B	KHDC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	-	-
Q8WXI9	P11388	57459	7153	GATAD2B	TOP2A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Mm:Q01320;Rn:A0A0G2JWP8	-
Q8WXI9	Q92624	57459	10513	GATAD2B	APPBP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Dr:Q6NY32;Mm:Q9DAX9;Rn:A5HK05	Dm:M9PGT5
Q8WXI9	P51530	57459	1763	GATAD2B	DNA2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Dr:B8A5D8;Mm:Q6ZQJ5;Sc:P38859	Dm:Q9W2Z4
Q8WXI9	Q9NUM3	57459	55334	GATAD2B	SLC39A9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Ce:Q9XVJ5;Dm:Q9V4C6;Dr:Q5BL29;Mm:Q8BFU1;Sc:Q12067	Rn:A0A0G2KAR8
Q8WXI9	P05412	57459	3725	GATAD2B	JUN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Dr:Q6NZT5;Mm:P05627;Rn:P17325	-
Q8WXI9	Q59H18	57459	100526835;51086	GATAD2B	TNNI3K	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	-	-
Q8WXI9	Q5SVS4	57459	253512	GATAD2B	SLC25A30	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Mm:Q9CR58;Rn:F1LR53	-
Q8WXI9	Q8N1N4	57459	196374	GATAD2B	KRT78	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	-	-
Q8WXI9	O43347	57459	4440	GATAD2B	MSI1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Mm:Q61474;Rn:F1LRH1	-
Q8WXI9	O14867	57459	571	GATAD2B	BACH1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Mm:P97302	Rn:D4ACD2
Q8WXI9	P19012	57459	3866	GATAD2B	KRT15	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Ce:Q19782;Mm:B1AQ77	Rn:Q6IFV3
Q8WXI9	O75110	57459	10079	GATAD2B	ATP9A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	-	Mm:B2FDH4;Rn:M0R6E0
Q8WXI9	Q9BUA3	57459	144097	GATAD2B	SPINDOC	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Mm:Q05AH6;Rn:D4AED1	-
Q8WXI9	Q12846	57459	6810	GATAD2B	STX4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Dr:Q7ZV18;Mm:P70452;Rn:G3V8I4	-
Q8WXI9	Q9UKW4	57459	10451	GATAD2B	VAV3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Mm:Q9R0C8;Rn:F1LWB1	Dr:B0S6C8
Q8WXI9	Q02447	57459	6670	GATAD2B	SP3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Mm:O70494;Rn:A0A0G2K5M1	Dr:B0R082
Q8WXI9	Q8N823	57459	81856	GATAD2B	ZNF611	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	-	-
Q8WXI9	Q9BWP8	57459	78989	GATAD2B	COLEC11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Rn:F1LSS7	Dr:F1RCL0;Mm:A0A1Y7VKG6
Q8WXI9	P48230	57459	7104	GATAD2B	TM4SF4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Dr:Q6DBQ4;Mm:Q3TMT3;Rn:Q9EQL5	-
Q8WXI9	Q8NCH0	57459	113189	GATAD2B	CHST14	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Dr:Q805E5;Mm:Q80V53;Rn:B2GV63	-
Q8WXI9	Q8IV33	57459	285600	GATAD2B	KIAA0825	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Mm:Q3UPC7	Rn:M0R647
Q8WXI9	Q8IVS2	57459	27349	GATAD2B	MCAT	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Dm:Q8T3L6;Mm:Q8R3F5;Rn:D3ZPF2	Ce:Q8ITY6;Dr:Q5RGV8
Q8WXI9	Q8TAK6	57459	116448	GATAD2B	OLIG1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Mm:Q9JKN5;Rn:A0A0H2UHA2	-
Q8WXI9	O60884	57459	10294	GATAD2B	DNAJA2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Ce:O16303;Mm:Q9QYJ0;Rn:Q5M9H7	Dr:A0A0R4IH71
Q8WXI9	P61604	57459	3336	GATAD2B	HSPE1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Ce:Q965Q1;Dm:Q9VU35;Dr:Q6IQI7;Mm:Q64433;Rn:A0A0G2JTG1;Sc:P38910	Mm:Q9JI95
Q8WXI9	P19526	57459	2523	GATAD2B	FUT1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Rn:Q10980	Mm:O09160
Q8WXI9	Q14765	57459	6775	GATAD2B	STAT4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Rn:Q66HB2	Dr:B0S790;Mm:Q3V157
Q8WXI9	Q8WUA2	57459	85313	GATAD2B	PPIL4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Ce:G5EEW6;Mm:Q9CXG3;Rn:D4AEG3	Dr:A5PM92
Q8WXI9	Q9UPX8	57459	22941	GATAD2B	SHANK2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	-	Dr:A2AV32;Mm:D3Z5K8;Rn:M0R805;Rn:M0R5T5
Q8WXI9	Q9H063	57459	84232	GATAD2B	MAF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	-	-
Q8WXI9	Q99622	57459	113246	GATAD2B	C12orf57	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Dm:A8DYT6;Dr:Q6TH01;Mm:O35127	Rn:D3ZMS0
Q8WXI9	Q8IYE1	57459	152206	GATAD2B	CCDC13	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	-	-
Q8WXI9	Q7Z5M8	57459	145447	GATAD2B	ABHD12B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Mm:G3UZN6	Dr:A8E7H0
Q8WXI9	O00327	57459	406	GATAD2B	ARNTL	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Dr:Q9I879;Mm:Q9WTL8;Rn:D3ZT62	-
Q8WXI9	Q96T52	57459	83943	GATAD2B	IMMP2L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8VHR5;Rn:Q4V8E1	-	Ce:Q9N371;Dm:Q4QQ12;Mm:Q8BPT6;Sc:P46972	Dr:Q6AZD4
