UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q7RTV0	Q7Z7F7	84844	128308	PHF5A	MRPL55	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	Ce:Q9TYJ8;Dr:A8WHP2;Mm:Q9CZ83;Rn:D3ZF99	-
Q7RTV0	O75493	84844	770	PHF5A	CA11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	Mm:O70354;Rn:Q811X3	-
Q7RTV0	Q9BXI6	84844	83874	PHF5A	TBC1D10A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	Rn:Q587K3	Dr:B8A5W2
Q7RTV0	P51689	84844	414	PHF5A	ARSD	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	-	-
Q7RTV0	Q9P0T7	84844	252839	PHF5A	TMEM9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	-	-
Q7RTV0	P49753	84844	10965	PHF5A	ACOT2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	-	-
Q7RTV0	Q96MG8	84844	115294	PHF5A	PCMTD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	Mm:P59913	Rn:D4A629
Q7RTV0	Q9H930	84844	93349	PHF5A	SP140L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	Mm:Q6NSQ5;Rn:A0A0G2JZU7	-
Q7RTV0	Q8N1G1	84844	57455	PHF5A	REXO1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	Dr:B0S6F3;Mm:Q7TT28;Rn:D3ZCX6	-
Q7RTV0	Q9NWU5	84844	29093	PHF5A	MRPL22	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	-	-
Q7RTV0	Q96PY6	84844	4750	PHF5A	NEK1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	Mm:P51954;Rn:D3ZB99	Dr:F1RC73
Q7RTV0	Q8N490	84844	25953	PHF5A	PNKD	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	Mm:Q69ZP3	Dr:F6NM08;Rn:D3ZXB0
Q7RTV0	Q53GD3	84844	80736	PHF5A	SLC44A4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	Mm:Q91VA1;Rn:Q6MG71	-
Q7RTV0	Q15572	84844	9013	PHF5A	TAF1C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	Mm:Q6PDZ2;Rn:Q6P773	-
Q7RTV0	Q9BVI4	84844	79050	PHF5A	NOC4L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	Mm:Q8BHY2;Rn:Q5I0I8	Dr:F1R1T1
Q7RTV0	P22392	84844	4831;654364	PHF5A	NME2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	Mm:Q01768	-
Q7RTV0	Q3MIT2	84844	150962	PHF5A	PUS10	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	Dm:Q9VPK7;Dr:F1QV54;Mm:Q9D3U0;Rn:A0A0G2K0U8	-
Q7RTV0	O95865	84844	23564	PHF5A	DDAH2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	Dr:A5PN62;Mm:Q99LD8;Rn:Q6MG60	-
Q7RTV0	P10588	84844	2063	PHF5A	NR2F6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	Dr:Q6P115;Dr:Q6P117;Mm:P43136;Rn:F1LP04	-
Q7RTV0	P27348	84844	10971	PHF5A	YWHAQ	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	Dr:Q7ZUM0;Mm:P68254;Rn:P68255	-
Q7RTV0	H3BVH4	84844	-	PHF5A	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VMC8;Dr:Q6YMR2;Mm:P83870;Rn:P83871;Sc:Q06835	Ce:G5EBY6	-	-
