UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q96PE6	P12429	114026	306	ZIM3	ANXA3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:O35639	Dr:Q5U369;Rn:P14669
Q96PE6	Q8IV35	114026	-	ZIM3	WDR49	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:A0A0N4SUK7	Rn:F1M344
Q96PE6	P07333	114026	1436	ZIM3	CSF1R	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P09581	Dr:A0A0R4IML5;Rn:D4ACA7
Q96PE6	O60271	114026	9043	ZIM3	SPAG9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q58A65	Rn:A0A0G2K6E8
Q96PE6	Q9UEE5	114026	9263	ZIM3	STK17A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1R026	-
Q96PE6	Q9BZE1	114026	51253	ZIM3	MRPL37	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VGW9;Dr:B0UYI3;Mm:Q921S7;Rn:Q6AXT0	-
Q96PE6	Q6UXD7	114026	84179	ZIM3	SLC49A3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:A3QMB7;Ce:Q11073;Ce:Q17675;Mm:Q8CE47;Rn:D3ZU10	-
Q96PE6	O43683	114026	699	ZIM3	BUB1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1QNS6;Mm:A2APR8;Rn:D4A5D3	-
Q96PE6	Q99835	114026	6608	ZIM3	SMO	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q5RH73;Mm:P56726;Rn:G3V736	-
Q96PE6	Q96P50	114026	116983	ZIM3	ACAP3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q6NXL5;Rn:A0A0G2K5N8	Dr:A0A0R4IAC2;Dr:E7FEY6
Q96PE6	P15822	114026	3096	ZIM3	HIVEP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q96PE6	Q9BYT3	114026	65975	ZIM3	STK33	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q5RHZ0;Mm:Q924X7	Rn:D4A165
Q96PE6	Q12857	114026	4774	ZIM3	NFIA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q1L9B0;Mm:Q02780;Rn:A0A0G2K5I9	-
Q96PE6	Q8IZF3	114026	221393	ZIM3	ADGRF4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:A0A0D9SEG9	Rn:D3ZTY4
Q96PE6	Q8N7S2	114026	285126	ZIM3	DNAJC5G	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:E5QCE7;Dr:Q7ZW85;Mm:Q8C632	Rn:F7EQX9
Q96PE6	Q8NDX5	114026	80012	ZIM3	PHC3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8CHP6	Dr:B0S6E8;Rn:A0A0G2K2B0
Q96PE6	O75534	114026	7812	ZIM3	CSDE1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:E9QFH8;Mm:Q91W50	Dm:Q9VSK3;Rn:P18395
Q96PE6	Q2M2E3	114026	146852	ZIM3	ODF4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q96PE6	P61927	114026	6167	ZIM3	RPL37	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q96PE6	Q96BN2	114026	117143	ZIM3	TADA1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q8IPA1;Mm:Q99LM9	Dm:Q8IP99;Rn:A0A0H2UHC2
Q96PE6	Q9GZP9	114026	51009	ZIM3	DERL2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q4VBS8;Mm:Q8BNI4;Rn:A0A0G2JTX9	Ce:Q21997
Q96PE6	Q8IYD9	114026	162681	ZIM3	LAS2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8CB14	Rn:Q66H35
Q96PE6	Q96H20	114026	11267	ZIM3	SNF8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q18258;Dm:Q9VD72;Dr:Q5U3V9;Mm:Q9CZ28;Rn:Q5RK19;Sc:Q12483	-
Q96PE6	Q7L5A8	114026	79152	ZIM3	FA2H	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q9XVS0;Dm:Q8SXY2;Dr:F1R936;Mm:Q5MPP0;Rn:Q2LAM0;Sc:Q03529	-
Q96PE6	Q9BWU0	114026	22950	ZIM3	SLC4A1AP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q96PE6	Q8N6T0	114026	79703	ZIM3	TOP6BL	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
